# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.219
metadata : {}


# id : NWRW1800000026.219.1.1
[사다리가 사라진다] '아메리칸 드림'도 붕괴;美 최하층 자녀 42%, 다시 최하층으로

[사다리가	[/SS+사다리/NNG+가/JKS
사라진다]	사라지/VV+ㄴ다/EF+]/SS
'아메리칸	'/SS+아메리칸/NNP
드림'도	드림/NNG+'/SS+도/JX
붕괴;美	붕괴/NNG+;/SP+美/SH
최하층	최/XPN+하층/NNG
자녀	자녀/NNG
42%,	42/SN+%/SW+,/SP
다시	다시/MAG
최하층으로	최/XPN+하층/NNG+으로/JKB


# id : NWRW1800000026.219.2.1
1963년 존 F 케네디 미국 대통령은 "밀물은 모두를 끌어올린다"고 말했다.

1963년	1963/SN+년/NNB
존	존/NNP
F	F/SL
케네디	케네디/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
"밀물은	"/SS+밀물/NNG+은/JX
모두를	모두/NNG+를/JKO
끌어올린다"고	끌어올리/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.219.2.2
경제가 성장하면 모든 계층의 경제적 지위가 함께 올라간다는 뜻이었다.

경제가	경제/NNG+가/JKS
성장하면	성장/NNG+하/XSV+면/EC
모든	모든/MMN
계층의	계층/NNG+의/JKG
경제적	경제/NNG+적/XSN
지위가	지위/NNG+가/JKS
함께	함께/MAG
올라간다는	올라가/VV+ㄴ다는/ETM
뜻이었다.	뜻/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.219.3.1
케네디의 말처럼 1947~73년의 26년 기간 중 미국 가정의 평균 소득은 두배로 뛰었다.

케네디의	케네디/NNP+의/JKG
말처럼	말/NNG+처럼/JKB
1947~73년의	1947/SN+~/SO+73/SN+년/NNB+의/JKG
26년	26/SN+년/NNB
기간	기간/NNG
중	중/NNB
미국	미국/NNP
가정의	가정/NNG+의/JKG
평균	평균/NNG
소득은	소득/NNG+은/JX
두배로	두/MMN+배/NNG+로/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.219.3.2
그러나 그후 1973~2007년 사이 34년 동안 미국 가정의 평균 소득은 22% 늘어나는 데 그쳤다.

그러나	그러나/MAJ
그후	그/MMD+후/NNG
1973~2007년	1973/SN+~/SO+2007/SN+년/NNB
사이	사이/NNG
34년	34/SN+년/NNB
동안	동안/NNG
미국	미국/NNP
가정의	가정/NNG+의/JKG
평균	평균/NNG
소득은	소득/NNG+은/JX
22%	22/SN+%/SW
늘어나는	늘어나/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.219.3.3
소득 불평등 정도를 나타내는 지니계수도 1970년 0.39에서 2008년 0.47로 악화됐다.

소득	소득/NNG
불평등	불/XPN+평등/NNG
정도를	정도/NNG+를/JKO
나타내는	나타내/VV+는/ETM
지니계수도	지니/NNG+계수/NNG+도/JX
1970년	1970/SN+년/NNB
0.39에서	0/SN+./SP+39/SN+에서/JKB
2008년	2008/SN+년/NNB
0.47로	0/SN+./SP+47/SN+로/JKB
악화됐다.	악화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.219.4.1
영국 이코노미스트지(誌)는 최근 이 같은 내용을 특집으로 소개하고 "미국인들의 경제적 신분 상승이 크게 어려워지고 있다"고 분석했다(4월 15일자).

영국	영국/NNP
이코노미스트지(誌)는	이코노미스트지/NNG+(/SS+誌/SH+)/SS+는/JX
최근	최근/NNG
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
특집으로	특집/NNG+으로/JKB
소개하고	소개/NNG+하/XSV+고/EC
"미국인들의	"/SS+미국인/NNG+들/XSN+의/JKG
경제적	경제/NNG+적/XSN
신분	신분/NNG
상승이	상승/NNG+이/JKS
크게	크/VA+게/EC
어려워지고	어렵/VA+어/EC+지/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
분석했다(4월	분석/NNG+하/XSV+았/EP+다/EF+(/SS+4/SN+월/NNB
15일자).	15/SN+일자/NNG+)/SS+./SF


# id : NWRW1800000026.219.4.2
산업구조가 개편되면서 전문 기술과 학력이 부족한 근로자들이 취업할 수 있는 기회가 크게 줄었고, 그 결과 상승의 사다리가 무너지는 현상이 미국 도처에서 벌어지고 있다는 것이다.

산업구조가	산업/NNG+구조/NNG+가/JKS
개편되면서	개편/NNG+되/XSV+면서/EC
전문	전문/NNG
기술과	기술/NNG+과/JC
학력이	학력/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
근로자들이	근로자/NNG+들/XSN+이/JKS
취업할	취업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKS
크게	크/VA+게/EC
줄었고,	줄/VV+었/EP+고/EC+,/SP
그	그/MMD
결과	결과/NNG
상승의	상승/NNG+의/JKG
사다리가	사다리/NNG+가/JKS
무너지는	무너지/VV+는/ETM
현상이	현상/NNG+이/JKS
미국	미국/NNP
도처에서	도처/NNG+에서/JKB
벌어지고	벌어지/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.219.5.1
미국 퓨(Pew)공익재단의 2008년 연구에 따르면 최하위 계층(하위 20%) 가정에서 태어난 미국인의 42%가 부모에 이어 다시 최하위 계층으로 살아가고 있었다.

미국	미국/NNP
