# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.82
metadata : {}


# id : NWRW1800000046.82.1.1
"지금이라도 알아서 얼마나 다행인지요"

"지금이라도	"/SS+지금/NNG+이라도/JX
알아서	알/VV+아서/EC
얼마나	얼마나/MAG
다행인지요"	다행/NNG+이/VCP+ㄴ지요/EF+"/SS


# id : NWRW1800000046.82.2.1
에세이집 낸 비구니 원영 스님… '긍정'의 메시지 담아내

에세이집	에세이집/NNG
낸	내/VV+ㄴ/ETM
비구니	비구니/NNG
원영	원영/NNP
스님…	스님/NNG+…/SE
'긍정'의	'/SS+긍정/NNG+'/SS+의/JKG
메시지	메시지/NNG
담아내	담아내/VV+어/EF


# id : NWRW1800000046.82.3.1
BBS 불교방송 '아침풍경' 진행자인 비구니 원영(41) 스님의 에세이집 '지금이라도 알아서 다행인 것들'(불광출판사)은 제목부터 '긍정'에 방점을 찍고 시작한다.

BBS	BBS/SL
불교방송	불교방송/NNP
'아침풍경'	'/SS+아침/NNG+풍경/NNG+'/SS
진행자인	진행자/NNG+이/VCP+ㄴ/ETM
비구니	비구니/NNG
원영(41)	원영/NNP+(/SS+41/SN+)/SS
스님의	스님/NNG+의/JKG
에세이집	에세이집/NNG
'지금이라도	'/SS+지금/NNG+이라도/JX
알아서	알/VV+아서/EC
다행인	다행/NNG+이/VCP+ㄴ/ETM
것들'(불광출판사)은	것/NNB+들/XSN+'/SS+(/SS+불광출판사/NNP+)/SS+은/JX
제목부터	제목/NNG+부터/JX
'긍정'에	'/SS+긍정/NNG+'/SS+에/JKB
방점을	방점/NNG+을/JKO
찍고	찍/VV+고/EC
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.82.3.2
원영 스님은 책에서 "가끔 사람들은 어느 시절로 돌아가고 싶으냐고 묻는다. 기억의 창고를 열어보면 좋았던 날들도 있다. 그러나 나는 답하지 않는다. 그날을 생각하는 지금이 더 좋기 때문이다"라고 말한다.

원영	원영/NNP
스님은	스님/NNG+은/JX
책에서	책/NNG+에서/JKB
"가끔	"/SS+가끔/MAG
사람들은	사람/NNG+들/XSN+은/JX
어느	어느/MMD
시절로	시절/NNG+로/JKB
돌아가고	돌아가/VV+고/EC
싶으냐고	싶/VX+으냐고/EC
묻는다.	묻/VV+는다/EF+./SF
기억의	기억/NNG+의/JKG
창고를	창고/NNG+를/JKO
열어보면	열/VV+어/EC+보/VX+면/EC
좋았던	좋/VA+았/EP+던/ETM
날들도	날/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF
그러나	그러나/MAJ
나는	나/NP+는/JX
답하지	답/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF
그날을	그날/NNG+을/JKO
생각하는	생각/NNG+하/XSV+는/ETM
지금이	지금/NNG+이/JKS
더	더/MAG
좋기	좋/VA+기/ETN
때문이다"라고	때문/NNB+이/VCP+다/EF+"/SS+라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.82.3.3
'좋았던 그때'를 돌아볼 수 있는 '지금'을 인생의 터닝포인트로 삼으라는 권유다.

'좋았던	'/SS+좋/VA+았/EP+던/ETM
그때'를	그때/NNG+'/SS+를/JKO
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'지금'을	'/SS+지금/NNG+'/SS+을/JKO
인생의	인생/NNG+의/JKG
터닝포인트로	터닝포인트/NNG+로/JKB
삼으라는	삼/VV+으라는/ETM
권유다.	권유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.82.4.1
불교 청년멘토링 프로그램인 '청년출가학교'에서 상담할 때 스님은 고민을 토로하는 청년들에게 "얼마나 힘들었니?"라고 말해준다.

불교	불교/NNG
청년멘토링	청년/NNG+멘토링/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'청년출가학교'에서	'/SS+청년/NNG+출가/NNG+학교/NNG+'/SS+에서/JKB
상담할	상담/NNG+하/XSV+ㄹ/ETM
때	때/NNG
스님은	스님/NNG+은/JX
고민을	고민/NNG+을/JKO
토로하는	토로/NNG+하/XSV+는/ETM
청년들에게	청년/NNG+들/XSN+에게/JKB
"얼마나	"/SS+얼마나/MAG
힘들었니?"라고	힘들/VA+었/EP+니/EF+?/SF+"/SS+라고/JKQ
말해준다.	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.82.4.2
그렇지만 '힘들다'며 출가를 희망하는 청년에겐 '다시 생각해보라'고 말한다.

그렇지만	그렇지만/MAJ
'힘들다'며	'/SS+힘들/VA+다/EF+'/SS+며/EC
출가를	출가/NNG+를/JKO
희망하는	희망/NNG+하/XSV+는/ETM
청년에겐	청년/NNG+에게/JKB+ㄴ/JX
'다시	'/SS+다시/MAG
생각해보라'고	생각/NNG+하/XSV+아/EC+보/VX+라/EF+'/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.82.4.3
대신 삶의 현장 속에서의 출가를 권한다.

대신	대신/NNG
