# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.11
metadata : {}


# id : NWRW1800000045.11.1.1
얼굴 좀 보자, 신도시 소형아파트

얼굴	얼굴/NNG
좀	좀/MAG
보자,	보/VV+자/EC+,/SP
신도시	신/XPN+도시/NNG
소형아파트	소형/NNG+아파트/NNG


# id : NWRW1800000045.11.2.1
주부 윤모 씨(40)는 최근 경기 성남시 판교신도시 전용면적 59m² 아파트를 5억8000만 원에 매입했다.

주부	주부/NNG
윤모	윤/NNP+모/NP
씨(40)는	씨/NNB+(/SS+40/SN+)/SS+는/JX
최근	최근/NNG
경기	경기/NNP
성남시	성남시/NNP
판교신도시	판교신도시/NNP
전용면적	전용/NNG+면적/NNG
59m²	59/SN+m²/SW
아파트를	아파트/NNG+를/JKO
5억8000만	5/SN+억/NR+8000/SN+만/NR
원에	원/NNB+에/JKB
매입했다.	매입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.11.2.2
2009년 1억5000만 원 수준이던 전용 85m² 아파트 전세금이 해마다 올라 올해 5억5000만 원에 이르렀기 때문이다.

2009년	2009/SN+년/NNB
1억5000만	1/SN+억/NR+5000/SN+만/NR
원	원/NNB
수준이던	수준/NNG+이/VCP+던/ETM
전용	전용/NNG
85m²	85/SN+m²/SW
아파트	아파트/NNG
전세금이	전세금/NNG+이/JKS
해마다	해마다/MAG
올라	오르/VV+아/EC
올해	올해/NNG
5억5000만	5/SN+억/NR+5000/SN+만/NR
원에	원/NNB+에/JKB
이르렀기	이르/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.2.3
윤 씨는 “판교를 떠나기는 싫어 소형 아파트라도 장만했다”며 “판교 소형 아파트가 부족해 가격이 오를 것이라는 기대도 갖고 있다”고 말했다.

윤	윤/NNP
씨는	씨/NNB+는/JX
“판교를	“/SS+판교/NNP+를/JKO
떠나기는	떠나/VV+기/ETN+는/JX
싫어	싫/VA+어/EC
소형	소형/NNG
아파트라도	아파트/NNG+이/VCP+라도/EC
장만했다”며	장만/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“판교	“/SS+판교/NNP
아파트가	아파트/NNG+가/JKS
부족해	부족/NNG+하/XSA+아/EC
가격이	가격/NNG+이/JKS
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대도	기대/NNG+도/JX
갖고	갖/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.11.3.1
최근 인기 신도시를 중심으로 소형 아파트의 청약 경쟁률이 치솟고 집값 상승률이 중·대형을 뛰어넘는 등 인기 행진을 이어가고 있다.

최근	최근/NNG
인기	인기/NNG
신도시를	신/XPN+도시/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
소형	소형/NNG
아파트의	아파트/NNG+의/JKG
청약	청약/NNG
경쟁률이	경쟁/NNG+률/XSN+이/JKS
치솟고	치솟/VV+고/EC
집값	집값/NNG
상승률이	상승/NNG+률/XSN+이/JKS
중·대형을	중·대형/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
등	등/NNB
행진을	행진/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.11.3.2
전세난에 지친 실수요자는 물론이고 임대수익을 노린 투자자까지 소형 아파트를 찾고 있지만 수요에 비해 공급은 턱없이 부족하기 때문이다.

전세난에	전세난/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
실수요자는	실수요자/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
임대수익을	임대/NNG+수익/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
투자자까지	투자자/NNG+까지/JX
소형	소형/NNG
아파트를	아파트/NNG+를/JKO
찾고	찾/VV+고/EC
있지만	있/VX+지만/EC
수요에	수요/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
공급은	공급/NNG+은/JX
턱없이	턱없이/MAG
부족하기	부족/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.4.1
○ 소형 공급 기근 ‘부르는 게 값’

○	○/SW
소형	소형/NNG
공급	공급/NNG
기근	기근/NNG
‘부르는	‘/SS+부르/VV+는/ETM
게	거/NNB+이/JKS
값’	값/NNG+’/SS


# id : NWRW1800000045.11.5.1
17일 부동산114에 따르면 입주가 거의 이뤄지지 않은 위례신도시(서울 송파구, 경기 성남시 하남시), 경기 양주신도시를 제외한 수도권 2기 신도시와 인천 연수구 송도신도시 등 총 7개 신도시의 재고 아파트 가운데 전용 60m² 미만 물량은 전체의 25.3%인 4만5271채다.

17일	17/SN+일/NNB
부동산114에	부동산114/NNP+에/JKB
따르면	따르/VV+면/EC
입주가	입주/NNG+가/JKS
거의	거의/MAG
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
위례신도시(서울	위례신도시/NNP+(/SS+서울/NNP
송파구,	송파구/NNP+,/SP
경기	경기/NNP
성남시	성남시/NNP
하남시),	하남시/NNP+)/SS+,/SP
양주신도시를	양주신도시/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
수도권	수도/NNG+권/XSN
2기	2/SN+기/NNG
신도시와	신/XPN+도시/NNG+와/JC
인천	인천/NNP
연수구	연수구/NNP
송도신도시	송도신도시/NNP
등	등/NNB
총	총/MMA
7개	7/SN+개/NNB
신도시의	신/XPN+도시/NNG+의/JKG
재고	재고/NNG
아파트	아파트/NNG
가운데	가운데/NNG
전용	전용/NNG
60m²	60/SN+m²/SW
미만	미만/NNG
물량은	물량/NNG+은/JX
전체의	전체/NNG+의/JKG
25.3%인	25/SN+./SP+3/SN+%/SW+이/VCP+ㄴ/ETM
4만5271채다.	4/SN+만/NR+5271/SN+채/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.11.5.2
재고 아파트는 기존 아파트와 미분양된 아파트를 포함한다.

재고	재고/NNG
아파트는	아파트/NNG+는/JX
기존	기존/NNG
아파트와	아파트/NNG+와/JC
미분양된	미/XPN+분양/NNG+되/XSV+ㄴ/ETM
아파트를	아파트/NNG+를/JKO
포함한다.	포함/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.11.5.3
전국 재고 아파트 중 전용 60m² 미만 아파트가 차지하는 비중인 40.0%에 크게 못 미친다.

전국	전국/NNG
재고	재고/NNG
아파트	아파트/NNG
중	중/NNB
