# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.408
metadata : {}


# id : NWRW1800000030.408.1.1
[수도권I] 수원화성국제연극제 13일 개막

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
수원화성국제연극제	수원/NNP+화성/NNP+국제/NNG+연극제/NNG
13일	13/SN+일/NNB
개막	개막/NNG


# id : NWRW1800000030.408.2.1
?국내·외 35개 극단 참여

?국내·외	?/NA+국내·외/NNG
35개	35/SN+개/NNB
극단	극단/NNG
참여	참여/NNG


# id : NWRW1800000030.408.3.1
제15회 수원화성(華城)국제연극제(www.suwontheatre.or.kr)가 오는 13일부터 21일까지 9일간 수원 화성행궁 여민광장과 화홍문 등 모두 5개 무대에서 '연극 만만(滿滿), 시민 낙락(樂樂)'이란 주제로 열린다.

제15회	제/XPN+15/SN+회/NNB
수원화성(華城)국제연극제(www.suwontheatre.or.kr)가	수원/NNP+화성/NNP+(/SS+華城/SH+)/SS+국제/NNG+연극제/NNG+(/SS+www/SL+./SP+suwontheatre/SL+./SP+or/SL+./SP+kr/SL+)/SS+가/JKS
오는	오/VV+는/ETM
13일부터	13/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
9일간	9/SN+일/NNB+간/XSN
수원	수원/NNP
화성행궁	화성행궁/NNP
여민광장과	여민광장/NNP+과/JC
화홍문	화홍문/NNP
등	등/NNB
모두	모두/MAG
5개	5/SN+개/NNB
무대에서	무대/NNG+에서/JKB
'연극	'/SS+연극/NNG
만만(滿滿),	만만/XR+(/SS+滿滿/SH+)/SS+,/SP
시민	시민/NNG
낙락(樂樂)'이란	낙락/XR+(/SS+樂樂/SH+)/SS+'/SS+이/VCP+란/ETM
주제로	주제/NNG+로/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.408.4.1
수원화성문화재단이 주최하고 수원시가 후원하는 이번 연극제에는 몰도바·이탈리아·일본·프랑스 등 4개국 5개 해외 극단과 노리단·골목길·현대인형극회 등 9개 국내 극단이 초청됐다.

