# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.189
metadata : {}


# id : NWRW1800000022.189.1.1
맛공이 떴다! 올림피아드 경시대회를 가다;사교육 조장 논란에도 올해 응시인원 크게 늘어

맛공이	맛공/NNP+이/JKS
떴다!	뜨/VV+었/EP+다/EF+!/SF
올림피아드	올림피아드/NNG
경시대회를	경시대회/NNG+를/JKO
가다;사교육	가/VV+다/EF+;/SP+사교육/NNG
조장	조장/NNG
논란에도	논란/NNG+에/JKB+도/JX
올해	올해/NNG
응시인원	응시/NNG+인원/NNG
크게	크/VA+게/EC
늘어	늘/VV+어/EF


# id : NWRW1800000022.189.2.1
# 지난 5월 23일 오후 1시 서울대 캠퍼스 자연과학대학.

#	#/SW
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
23일	23/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
서울대	서울대/NNP
캠퍼스	캠퍼스/NNG
자연과학대학.	자연/NNG+과학/NNG+대학/NNG+./SF


# id : NWRW1800000022.189.2.2
대학 교정이 술렁이더니 초·중학교 학생들이 하나 둘 모습을 드러냈다.

대학	대학/NNG
교정이	교정/NNG+이/JKS
술렁이더니	술렁이/VV+더니/EC
초·중학교	초·중학교/NNG
학생들이	학생/NNG+들/XSN+이/JKS
하나	하나/NR
둘	둘/NR
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.189.2.3
1시 30분이 되자 그 수는 늘어났다.

1시	1/SN+시/NNB
30분이	30/SN+분/NNB+이/JKC
되자	되/VV+자/EC
그	그/MMD
수는	수/NNG+는/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.2.4
캠퍼스에 어린 학생들이 왜 왔을까.

캠퍼스에	캠퍼스/NNG+에/JKB
어린	어리/VA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
왜	왜/MAG
왔을까.	오/VV+았/EP+을까/EF+./SF


# id : NWRW1800000022.189.2.5
다름 아닌 한국수학올림피아드 초·중등부에 응시한 학생들이다.

다름	다르/VA+ㅁ/ETN
아닌	아니/VCN+ㄴ/ETM
한국수학올림피아드	한국/NNP+수학/NNG+올림피아드/NNG
초·중등부에	초·중등부/NNG+에/JKB
응시한	응시/NNG+하/XSV+ㄴ/ETM
학생들이다.	학생/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.3.1
1시 30분부터 5시 30분까지 올림피아드 시험을 치르는 4시간 내내 부모들도 시험장 밖에서 마음을 졸였다.

1시	1/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
5시	5/SN+시/NNB
30분까지	30/SN+분/NNB+까지/JX
올림피아드	올림피아드/NNG
시험을	시험/NNG+을/JKO
치르는	치르/VV+는/ETM
4시간	4/SN+시간/NNB
내내	내내/MAG
부모들도	부모/NNG+들/XSN+도/JX
시험장	시험장/NNG
밖에서	밖/NNG+에서/JKB
마음을	마음/NNG+을/JKO
졸였다.	졸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.189.3.2
한 학부모(46·서울 노원구)는 "올림피아드 입상 경력은 특목고와 명문대학으로 가는 지름길"이라며 "빠르면 초등학교 3~4학년, 늦어도 6학년 때부터 체계적으로 준비하지 않으면 경시대회에 입상하기 쉽지 않다"고 말했다.

한	한/MMN
학부모(46·서울	학부모/NNG+(/SS+46/SN+·/SP+서울/NNP
노원구)는	노원구/NNP+)/SS+는/JX
"올림피아드	"/SS+올림피아드/NNG
입상	입상/NNG
경력은	경력/NNG+은/JX
특목고와	특목고/NNG+와/JC
명문대학으로	명문/NNG+대학/NNG+으로/JKB
가는	가/VV+는/ETM
지름길"이라며	지름길/NNG+"/SS+이/VCP+라며/EC
"빠르면	"/SS+빠르/VA+면/EC
초등학교	초등학교/NNG
3~4학년,	3/SN+~/SO+4/SN+학년/NNG+,/SP
늦어도	늦/VA+어도/EC
6학년	6/SN+학년/NNG
때부터	때/NNG+부터/JX
체계적으로	체계/NNG+적/XSN+으로/JKB
준비하지	준비/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
경시대회에	경시대회/NNG+에/JKB
입상하기	입상/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.4.1
지난해보다 응시인원 늘어

지난해보다	지난해/NNG+보다/JKB
응시인원	응시/NNG+인원/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000022.189.5.1
지난 5월 23일 전국 각 고사장에서 제23회 한국수학올림피아드(Korean Mathematical Olyimpiad, 약칭KMO) 1차 시험이 치러졌다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
23일	23/SN+일/NNB
전국	전국/NNG
각	각/MMD
고사장에서	고사장/NNG+에서/JKB
제23회	제/XPN+23/SN+회/NNB
한국수학올림피아드(Korean	한국/NNP+수학/NNG+올림피아드/NNG+(/SS+Korean/SL
Mathematical	Mathematical/SL
Olyimpiad,	Olyimpiad/SL+,/SP
약칭KMO)	약칭/NNG+KMO/SL+)/SS
1차	1/SN+차/NNB
시험이	시험/NNG+이/JKS
치러졌다.	치르/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.189.5.2
올해 총 응시자는 1만9082명(중등부 1만5818명, 고등부 3264명).

올해	올해/NNG
총	총/MMA
응시자는	응시자/NNG+는/JX
1만9082명(중등부	1/SN+만/NR+9082/SN+명/NNB+(/SS+중등부/NNG
1만5818명,	1/SN+만/NR+5818/SN+명/NNB+,/SP
고등부	고등부/NNG
3264명).	3264/SN+명/NNB+)/SS+./SF


# id : NWRW1800000022.189.5.3
지난해 1만8714명(중등부 14941명, 고등부 3773명)보다 368명 늘었다고 한다.

지난해	지난해/NNG
1만8714명(중등부	1/SN+만/NR+8714/SN+명/NNB+(/SS+중등부/NNG
14941명,	14941/SN+명/NNB+,/SP
고등부	고등부/NNG
3773명)보다	3773/SN+명/NNB+)/SS+보다/JKB
368명	368/SN+명/NNB
늘었다고	늘/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.189.6.1
고등부는 지난해보다 500여명 가량 감소했지만 중등부가 870여명으로 크게 늘어 전체적인 응시자는 증가했다.

고등부는	고등부/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
500여명	500/SN+여/XSN+명/NNB
가량	가량/XSN
감소했지만	감소/NNG+하/XSV+았/EP+지만/EC
중등부가	중등부/NNG+가/JKS
870여명으로	870/SN+여/XSN+명/NNB+으로/JKB
크게	크/VA+게/EC
늘어	늘/VV+어/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
응시자는	응시자/NNG+는/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.189.6.2
중등부 응시자는 매년 큰 폭으로 느는 추세다.

중등부	중등부/NNG
응시자는	응시자/NNG+는/JX
매년	매년/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
느는	늘/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.6.3
올해 시험 난이도는 중등부는 지난해보다 쉬웠고, 고등부는 다소 까다로운 문제들이 포함됐다는 평이다.

올해	올해/NNG
시험	시험/NNG
난이도는	난이도/NNG+는/JX
중등부는	중등부/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
쉬웠고,	쉽/VA+었/EP+고/EC+,/SP
고등부는	고등부/NNG+는/JX
다소	다소/MAG
까다로운	까다롭/VA+ㄴ/ETM
문제들이	문제/NNG+들/XSN+이/JKS
포함됐다는	포함/NNG+되/XSV+었/EP+다는/ETM
평이다.	평/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.189.7.1
중등부 인원이 증가한 것은 특목고 지원에 유리하다는 판단에서 비롯된다.

중등부	중등부/NNG
인원이	인원/NNG+이/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
특목고	특목고/NNG
지원에	지원/NNG+에/JKB
유리하다는	유리/NNG+하/XSA+다는/ETM
판단에서	판단/NNG+에서/JKB
비롯된다.	비롯되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.189.7.2
2011학년부터 과학고에서 올림피아드 입상 특별전형을 폐지하고, 서류전형에서 입상 실적을 반영하지 않으려는 움직임이 있지만 여전히 민사고, 상산고 등 주요 자사고에서 KMO 수상 실적을 입학 자격요건이나 가산점 대상으로 삼기 때문이다.

2011학년부터	2011/SN+학년/NNG+부터/JX
과학고에서	과학고/NNG+에서/JKB
올림피아드	올림피아드/NNG
입상	입상/NNG
특별전형을	특별/NNG+전형/NNG+을/JKO
폐지하고,	폐지/NNG+하/XSV+고/EC+,/SP
서류전형에서	서류/NNG+전형/NNG+에서/JKB
실적을	실적/NNG+을/JKO
반영하지	반영/NNG+하/XSV+지/EC
않으려는	않/VX+으려는/ETM
움직임이	움직임/NNG+이/JKS
있지만	있/VA+지만/EC
여전히	여전히/MAG
민사고,	민사고/NNP+,/SP
상산고	상산고/NNP
등	등/NNB
주요	주요/NNG
자사고에서	자사고/NNG+에서/JKB
KMO	KMO/SL
