# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.254
metadata : {}


# id : NWRW1800000041.254.1.1
[그런거 野]LG-KIA 대체용병, 대체 왜 바꾼거야

[그런거	[/SS+그런/MMD+거/NNB
野]LG-KIA	野/SH+]/SS+LG/SL+-/SO+KIA/SL
대체용병,	대체/NNG+용병/NNG+,/SP
대체	대체/MAG
왜	왜/MAG
바꾼거야	바꾸/VV+ㄴ/ETM+거/NNB+이/VCP+야/EF


# id : NWRW1800000041.254.2.1
▷2014시즌 프로야구가 끝을 향해 치닫고 있다.

▷2014시즌	▷/SW+2014/SN+시즌/NNG
프로야구가	프로/NNG+야구/NNG+가/JKS
끝을	끝/NNG+을/JKO
향해	향하/VV+아/EC
치닫고	치닫/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.254.2.2
각 구단이 20경기 안팎만 남겨둔 가운데 포스트시즌 진출의 마지노선인 4위 자리를 놓고 경쟁이 치열하다.

각	각/MMD
구단이	구단/NNG+이/JKS
20경기	20/SN+경기/NNG
안팎만	안팎/NNG+만/JX
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
가운데	가운데/NNG
포스트시즌	포스트시즌/NNG
진출의	진출/NNG+의/JKG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
4위	4/SN+위/NNB
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
경쟁이	경쟁/NNG+이/JKS
치열하다.	치열/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.254.2.3
2일 현재 4위 LG와 9위 한화의 승차는 5.5경기에 불과하다.

2일	2/SN+일/NNB
현재	현재/MAG
4위	4/SN+위/NNB
LG와	LG/SL+와/JC
9위	9/SN+위/NNB
한화의	한화/NNP+의/JKG
승차는	승차/NNG+는/JX
5.5경기에	5/SN+./SP+5/SN+경기/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000041.254.2.4
꼴찌 한화가 남은 일정 동안 4위까지 오르는 것은 쉽지 않겠지만 그렇다고 불가능한 것은 아니다.

꼴찌	꼴찌/NNG
한화가	한화/NNP+가/JKS
남은	남/VV+은/ETM
일정	일정/NNG
동안	동안/NNG
4위까지	4/SN+위/NNB+까지/JX
오르는	오르/VV+는/ETM
것은	것/NNB+은/JX
쉽지	쉽/VA+지/EC
않겠지만	않/VX+겠/EP+지만/EC
그렇다고	그렇/VA+다고/EC
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.254.2.5
7월 초만 해도 4위 롯데와 9위 한화의 승차는 10경기가 넘었다.

7월	7/SN+월/NNB
초만	초/NNB+만/JX
해도	하/VV+아도/EC
4위	4/SN+위/NNB
롯데와	롯데/NNP+와/JC
9위	9/SN+위/NNB
한화의	한화/NNP+의/JKG
승차는	승차/NNG+는/JX
10경기가	10/SN+경기/NNG+가/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.2.6
2개월 만에 승차를 절반 정도 줄였다.

2개월	2/SN+개월/NNB
만에	만/NNB+에/JKB
승차를	승차/NNG+를/JKO
절반	절반/NNG
정도	정도/NNG
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.254.2.7
한화는 8월에 12승 7패(승률 0.632)를 기록했다.

한화는	한화/NNP+는/JX
8월에	8/SN+월/NNB+에/JKB
12승	12/SN+승/NNB
7패(승률	7/SN+패/NNB+(/SS+승률/NNG
