# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.372
metadata : {}


# id : NWRW1800000036.372.1.1
야 “이명박-박근혜 ‘박남매’냐”

야	야/NNG
“이명박-박근혜	“/SS+이명박/NNP+-/SO+박근혜/NNP
‘박남매’냐”	‘/SS+박/NNP+남매/NNG+’/SS+이/VCP+냐/EF+”/SS


# id : NWRW1800000036.372.2.1
[한겨레] “‘말바꾸기 공세’ 둘이 한몸

[한겨레]	[/SS+한겨레/NNP+]/SS
“‘말바꾸기	“/SS+‘/SS+말/NNG+바꾸/VV+기/ETN
공세’	공세/NNG+’/SS
둘이	둘/NR+이/JKS
한몸	한/MMN+몸/NNG


# id : NWRW1800000036.372.3.1
측근비리 선긋기도 닮은꼴”

측근비리	측근/NNG+비리/NNG
선긋기도	선/NNG+긋/VV+기/ETN+도/JX
닮은꼴”	닮/VV+은/ETM+꼴/NNG+”/SS


# id : NWRW1800000036.372.4.1
이명박 대통령이 22일 취임 4주년 기자회견에서 참여정부에서 일한 야당 지도부의 이름을 거론하며 ‘말바꾸기’ 책임론을 공세적으로 제기한 데 대해 야권은 “대통령의 선거 중립 의무 위배”라며 강도 높게 비판했다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
22일	22/SN+일/NNB
취임	취임/NNG
4주년	4/SN+주년/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
참여정부에서	참여/NNG+정부/NNG+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
야당	야당/NNG
지도부의	지도부/NNG+의/JKG
이름을	이름/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
‘말바꾸기’	‘/SS+말/NNG+바꾸/VV+기/ETN+’/SS
책임론을	책임/NNG+론/XSN+을/JKO
공세적으로	공세/NNG+적/XSN+으로/JKB
제기한	제기/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
야권은	야권/NNG+은/JX
“대통령의	“/SS+대통령/NNG+의/JKG
선거	선거/NNG
중립	중립/NNG
의무	의무/NNG
위배”라며	위배/NNG+”/SS+이/VCP+라며/EC
강도	강도/NNG
높게	높/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.372.4.2
민주통합당은 ‘야권 말바꾸기’ 논란에 먼저 불을 지핀 박근혜 새누리당 비상대책위원장과 이 대통령이 ‘한 몸’임이 드러났다며 둘을 한 묶음으로 공격하는 데 초점을 맞췄다.

민주통합당은	민주통합당/NNP+은/JX
‘야권	‘/SS+야권/NNG
말바꾸기’	말/NNG+바꾸/VV+기/ETN+’/SS
논란에	논란/NNG+에/JKB
먼저	먼저/MAG
불을	불/NNG+을/JKO
지핀	지피/VV+ㄴ/ETM
박근혜	박근혜/NNP
새누리당	새누리당/NNP
비상대책위원장과	비상/NNG+대책/NNG+위원장/NNG+과/JC
이	이/NNP
대통령이	대통령/NNG+이/JKS
‘한	‘/SS+한/MMN
몸’임이	몸/NNG+’/SS+이/VCP+ㅁ/ETN+이/JKS
드러났다며	드러나/VV+았/EP+다며/EC
둘을	둘/NR+을/JKO
한	한/MMN
묶음으로	묶음/NNG+으로/JKB
공격하는	공격/NNG+하/XSV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.372.5.1
