# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.97
metadata : {}


# id : NWRW1800000021.97.1.1
‘北억류 여기자’ 평양으로 이송한듯

‘北억류	‘/SS+北/SH+억류/NNG
여기자’	여기자/NNG+’/SS
평양으로	평양/NNP+으로/JKB
이송한듯	이송/NNG+하/XSV+ㄴ/ETM+듯/NNB


# id : NWRW1800000021.97.2.1
중국 지린(吉林) 성 투먼(圖們)의 북한 접경지역 두만강에서 취재하던 중 17일 억류된 미국 여기자 2명은 평양으로 옮겨진 것으로 알려졌다.

중국	중국/NNP
지린(吉林)	지린/NNP+(/SS+吉林/SH+)/SS
성	성/NNG
투먼(圖們)의	투먼/NNP+(/SS+圖們/SH+)/SS+의/JKG
북한	북한/NNP
접경지역	접경/NNG+지역/NNG
두만강에서	두만강/NNP+에서/JKB
취재하던	취재/NNG+하/XSV+던/ETM
중	중/NNB
17일	17/SN+일/NNB
억류된	억류/NNG+되/XSV+ㄴ/ETM
미국	미국/NNP
여기자	여기자/NNG
2명은	2/SN+명/NNB+은/JX
평양으로	평양/NNP+으로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.97.3.1
투먼의 한 소식통에 따르면 미국 커런트TV의 한국계 유나 리, 중국계 로라 링 기자는 국경을 넘다 붙잡힌 후 평양으로 옮겨져 조사를 받고 있다.

투먼의	투먼/NNP+의/JKG
한	한/MMN
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
미국	미국/NNP
커런트TV의	커런트TV/NNP+의/JKG
한국계	한국/NNP+계/XSN
유나	유나/NNP
리,	리/NNP+,/SP
중국계	중국/NNP+계/XSN
로라	로라/NNP
링	링/NNP
기자는	기자/NNG+는/JX
국경을	국경/NNG+을/JKO
넘다	넘/VV+다/EC
붙잡힌	붙잡히/VV+ㄴ/ETM
후	후/NNG
평양으로	평양/NNP+으로/JKB
옮겨져	옮기/VV+어/EC+지/VX+어/EC
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.97.4.1
이 소식통은 월경하다 붙잡힌 경우 평양으로 이송하는 경우는 극히 이례적으로 국적이 미국인 데다 힐러리 클린턴 국무장관까지 관심을 나타낼 정도여서 평양으로 옮긴 후 협상 결과에 따라 석방 여부를 결정하게 될 것으로 보인다고 말했다.

이	이/MMD
소식통은	소식통/NNG+은/JX
월경하다	월경/NNG+하/XSV+다/EC
붙잡힌	붙잡히/VV+ㄴ/ETM
경우	경우/NNG
평양으로	평양/NNP+으로/JKB
이송하는	이송/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
극히	극히/MAG
이례적으로	이례/NNG+적/XSN+으로/JKB
국적이	국적/NNG+이/JKS
미국인	미국/NNP+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
힐러리	힐러리/NNP
클린턴	클린턴/NNP
국무장관까지	국무/NNG+장관/NNG+까지/JX
관심을	관심/NNG+을/JKO
나타낼	나타내/VV+ㄹ/ETM
정도여서	정도/NNG+이/VCP+어서/EC
