# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.99
metadata : {}


# id : NWRW1800000054.99.1.1
"105세, 사이클 타기 좋은 나이지"

"105세,	"/SS+105/SN+세/NNB+,/SP
사이클	사이클/NNG
타기	타/VV+기/ETN
좋은	좋/VA+은/ETM
나이지"	나이/NNG+이/VCP+지/EF+"/SS


# id : NWRW1800000054.99.2.1
프랑스 로베르 마르샹 할아버지, 105세 이상 선수 최고 기록 세워

프랑스	프랑스/NNP
로베르	로베르/NNP
마르샹	마르샹/NNP
할아버지,	할아버지/NNG+,/SP
105세	105/SN+세/NNB
이상	이상/NNG
선수	선수/NNG
최고	최고/NNG
기록	기록/NNG
세워	세우/VV+어/EF


# id : NWRW1800000054.99.3.1
100세가 넘어도 사이클을 향한 열정을 멈출 순 없었다.

100세가	100/SN+세/NNB+가/JKS
넘어도	넘/VV+어도/EC
사이클을	사이클/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
열정을	열정/NNG+을/JKO
멈출	멈추/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.99.4.1
BBC는 4일(현지 시각) 프랑스 파리 외곽의 생 캉탱 앙 이블린 국립 경륜장에서 열린 사이클 경기에서 105세 프랑스인 로베르 마르샹〈사진〉이 1시간 동안 22.547㎞를 달려 105세 이상 연령대 세계 최고 기록을 세웠다고 보도했다.

BBC는	BBC/SL+는/JX
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
프랑스	프랑스/NNP
파리	파리/NNP
외곽의	외곽/NNG+의/JKG
생	생/NNP
캉탱	캉탱/NNP
앙	앙/NNP
이블린	이블린/NNP
국립	국립/NNG
경륜장에서	경륜장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
사이클	사이클/NNG
경기에서	경기/NNG+에서/JKB
105세	105/SN+세/NNB
프랑스인	프랑스인/NNG
로베르	로베르/NNP
마르샹〈사진〉이	마르샹/NNP+〈/SS+사진/NNG+〉/SS+이/JKS
1시간	1/SN+시간/NNB
동안	동안/NNG
22.547㎞를	22/SN+./SP+547/SN+㎞/SW+를/JKO
달려	달리/VV+어/EC
이상	이상/NNG
연령대	연령대/NNG
세계	세계/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
세웠다고	세우/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.99.4.2
고령자 사이클계의 '살아 있는 전설'로 불리는 그는 연이어 신기록을 깨고 있다.

고령자	고령자/NNG
사이클계의	사이클/NNG+계/XSN+의/JKG
'살아	'/SS+살/VV+아/EC
있는	있/VX+는/ETM
전설'로	전설/NNG+'/SS+로/JKB
불리는	불리/VV+는/ETM
그는	그/NP+는/JX
연이어	연잇/VV+어/EC
신기록을	신/XPN+기록/NNG+을/JKO
깨고	깨/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.99.4.3
