# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.287
metadata : {}


# id : NWRW1800000044.287.1.1
“히잡 써도 된다더니…” 카타르, 여자농구 기권

“히잡	“/SS+히잡/NNG
써도	쓰/VV+어도/EC
된다더니…”	되/VV+ㄴ다더니/EF+…/SE+”/SS
카타르,	카타르/NNP+,/SP
여자농구	여자/NNG+농구/NNG
기권	기권/NNG


# id : NWRW1800000044.287.2.1
[한겨레] ‘착용 허용’ 추세에 역행 논란

[한겨레]	[/SS+한겨레/NNP+]/SS
‘착용	‘/SS+착용/NNG
허용’	허용/NNG+’/SS
추세에	추세/NNG+에/JKB
역행	역행/NNG
논란	논란/NNG


# id : NWRW1800000044.287.3.1
카타르 여자 농구 대표팀이 24일 경기도 화성종합체육관에서 열릴 예정이던 몽골과의 예선 A조 경기 직전 기권했다.

카타르	카타르/NNP
여자	여자/NNG
농구	농구/NNG
대표팀이	대표/NNG+팀/NNG+이/JKS
24일	24/SN+일/NNB
경기도	경기도/NNP
화성종합체육관에서	화성종합체육관/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
예정이던	예정/NNG+이/VCP+던/ETM
몽골과의	몽골/NNP+과/JKB+의/JKG
예선	예선/NNG
A조	A/SL+조/NNG
경기	경기/NNG
직전	직전/NNG
기권했다.	기권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.287.3.2
이슬람 여성들이 머리와 목에 두르는 ‘히잡’ 때문이었다.

이슬람	이슬람/NNG
여성들이	여성/NNG+들/XSN+이/JKS
머리와	머리/NNG+와/JC
목에	목/NNG+에/JKB
두르는	두르/VV+는/ETM
‘히잡’	‘/SS+히잡/NNG+’/SS
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.287.4.1
국제농구연맹(FIBA)은 경기장에서 선수들이 머리에 아무것도 착용할 수 없도록 규정하고 있다.

국제농구연맹(FIBA)은	국제농구연맹/NNP+(/SS+FIBA/SL+)/SS+은/JX
경기장에서	경기장/NNG+에서/JKB
선수들이	선수/NNG+들/XSN+이/JKS
머리에	머리/NNG+에/JKB
아무것도	아무것/NNG+도/JX
착용할	착용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.287.4.2
