# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.219
metadata : {}


# id : NWRW1800000040.219.1.1
“적자나도 주민건강 지킨다” 정선군의 도전

“적자나도	“/SS+적자/NNG+나/VV+아도/EC
주민건강	주민/NNG+건강/NNG
지킨다”	지키/VV+ㄴ다/EF+”/SS
정선군의	정선군/NNP+의/JKG
도전	도전/NNG


# id : NWRW1800000040.219.2.1
최승준 군수, 150병상 의료원 추진

최승준	최승준/NNP
군수,	군수/NNG+,/SP
150병상	150/SN+병상/NNG
의료원	의료원/NNG
추진	추진/NNG


# id : NWRW1800000040.219.3.1
“다리는 못놔도 병원은 꼭 필요”

“다리는	“/SS+다리/NNG+는/JX
못놔도	못/MAG+놓/VV+아도/EC
병원은	병원/NNG+은/JX
꼭	꼭/MAG
필요”	필요/NNG+”/SS


# id : NWRW1800000040.219.4.1
“적자가 나더라도 감수하겠다.

“적자가	“/SS+적자/NNG+가/JKS
나더라도	나/VV+더라도/EC
감수하겠다.	감수/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000040.219.4.2
이 때문에 다리 하나를 덜 놓게 되면 조금 불편할 뿐이지만, 군립의료원이 없으면 주민들의 건강권을 지킬 수 없기 때문이다.”

이	이/NP
때문에	때문/NNB+에/JKB
다리	다리/NNG
하나를	하나/NR+를/JKO
덜	덜/MAG
놓게	놓/VV+게/EC
되면	되/VV+면/EC
조금	조금/MAG
불편할	불편/NNG+하/XSA+ㄹ/ETM
뿐이지만,	뿐/NNB+이/VCP+지만/EC+,/SP
군립의료원이	군립/NNG+의료원/NNG+이/JKS
없으면	없/VA+으면/EC
주민들의	주민/NNG+들/XSN+의/JKG
건강권을	건강/NNG+권/XSN+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.”	때문/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000040.219.5.1
최승준(57·민주통합당) 강원 정선군수는 19일 <한겨레>와의 통화에서 절박함이 묻어나는 목소리로 힘줘 말했다.

최승준(57·민주통합당)	최승준/NNP+(/SS+57/SN+·/SP+민주통합당/NNP+)/SS
강원	강원/NNP
정선군수는	정선군수/NNG+는/JX
19일	19/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
절박함이	절박하/VA+ㅁ/ETN+이/JKS
묻어나는	묻어나/VV+는/ETM
목소리로	목소리/NNG+로/JKB
힘줘	힘주/VV+어/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.219.5.2
인구 4만명에 불과한 폐광지역 기초지방자치단체가 종합병원급 의료원을 직접 짓겠다고 나선 이유다.

인구	인구/NNG
4만명에	4/SN+만/NR+명/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
폐광지역	폐광/NNG+지역/NNG
기초지방자치단체가	기초/NNG+지방/NNG+자치/NNG+단체/NNG+가/JKS
종합병원급	종합병원급/NNG
의료원을	의료원/NNG+을/JKO
직접	직접/MAG
짓겠다고	짓/VV+겠/EP+다고/EC
나선	나서/VV+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.6.1
정선군은 사업비 293억원(국비 90억원 포함)을 들여 사북읍 일대 1만7000㎡ 터에 지하 1층, 지상 4층 규모의 군립의료원을 2015년 말까지 지을 계획이다.

정선군은	정선군/NNP+은/JX
사업비	사업비/NNG
293억원(국비	293/SN+억/NR+원/NNB+(/SS+국비/NNG
90억원	90/SN+억/NR+원/NNB
포함)을	포함/NNG+)/SS+을/JKO
들여	들이/VV+어/EC
사북읍	사북읍/NNP
일대	일대/NNG
1만7000㎡	1/SN+만/NR+7000/SN+㎡/SW
터에	터/NNG+에/JKB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
4층	4/SN+층/NNG
규모의	규모/NNG+의/JKG
군립의료원을	군립/NNG+의료원/NNG+을/JKO
2015년	2015/SN+년/NNB
말까지	말/NNB+까지/JX
지을	짓/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.219.6.2
군립의료원에는 응급의료센터와 건강검진센터, 외과, 내과, 산부인과 등 11개 과와 150개의 병상이 들어선다.

군립의료원에는	군립/NNG+의료원/NNG+에/JKB+는/JX
응급의료센터와	응급/NNG+의료/NNG+센터/NNG+와/JC
건강검진센터,	건강/NNG+검진/NNG+센터/NNG+,/SP
외과,	외과/NNG+,/SP
내과,	내과/NNG+,/SP
산부인과	산부인과/NNG
등	등/NNB
11개	11/SN+개/NNB
과와	과/NNG+와/JC
150개의	150/SN+개/NNB+의/JKG
병상이	병상/NNG+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF

