# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.52
metadata : {}


# id : NWRW1800000022.52.1.1
[청년취업 10000명] "100전 100패 후 첫 직장 잡았어요";공학도 고건씨 "일할 수 있게 돼 행복" '잡월드' 통해 채용 잇따라… 21명째 취업

[청년취업	[/SS+청년/NNG+취업/NNG
10000명]	10000/SN+명/NNB+]/SS
"100전	"/SS+100/SN+전/NNB
100패	100/SN+패/NNB
후	후/NNG
첫	첫/MMN
직장	직장/NNG
잡았어요";공학도	잡/VV+았/EP+어요/EF+"/SS+;/SP+공학도/NNG
고건씨	고건/NNP+씨/NNB
"일할	"/SS+일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
행복"	행복/NNG+"/SS
'잡월드'	'/SS+잡월드/NNP+'/SS
통해	통하/VV+아/EC
채용	채용/NNG
잇따라…	잇따르/VV+아/EC+…/SE
21명째	21/SN+명/NNB+째/XSN
취업	취업/NNG


# id : NWRW1800000022.52.2.1
100번의 도전과 100번의 실패….

100번의	100/SN+번/NNB+의/JKG
도전과	도전/NNG+과/JC
실패….	실패/NNG+…/SE+./SF


# id : NWRW1800000022.52.2.2
대학졸업 후 1년간 100번 입사지원서를 썼다가 모두 고배를 마신 고건(28·국민대 전자정보통신학과 졸업)씨가 지난 9일 생애 첫 직장을 얻었다.

대학졸업	대학/NNG+졸업/NNG
후	후/NNG
1년간	1/SN+년/NNB+간/XSN
100번	100/SN+번/NNB
입사지원서를	입사/NNG+지원서/NNG+를/JKO
썼다가	쓰/VV+었/EP+다가/EC
모두	모두/MAG
고배를	고배/NNG+를/JKO
마신	마시/VV+ㄴ/ETM
고건(28·국민대	고건/NNP+(/SS+28/SN+·/SP+국민대/NNP
전자정보통신학과	전자/NNG+정보/NNG+통신학/NNG+과/NNG
졸업)씨가	졸업/NNG+)/SS+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
생애	생애/NNG
첫	첫/MMN
직장을	직장/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.2.3
그는 "실감이 나지 않는다"고 감격해 했다.

그는	그/NP+는/JX
"실감이	"/SS+실감/NNG+이/JKS
나지	나/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
감격해	감격/NNG+하/XSV+아/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.52.2.4
고씨를 발견한 곳은 모바일 콘텐츠 제작 벤처기업인 ㈜애니모비.

고씨를	고/NNP+씨/NNB+를/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
모바일	모바일/NNG
콘텐츠	콘텐츠/NNG
제작	제작/NNG
벤처기업인	벤처/NNG+기업/NNG+이/VCP+ㄴ/ETM
㈜애니모비.	㈜/SW+애니모비/NNP+./SF


# id : NWRW1800000022.52.2.5
지난 8일 경기도 분당 본사에서 1시간 동안 진행된 최종 면접 끝에 홍창민(38) 사장이 그에게 이렇게 말했다.

지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
경기도	경기도/NNP
분당	분당/NNP
본사에서	본사/NNG+에서/JKB
1시간	1/SN+시간/NNB
동안	동안/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
최종	최종/NNG
면접	면접/NNG
끝에	끝/NNG+에/JKB
홍창민(38)	홍창민/NNP+(/SS+38/SN+)/SS
사장이	사장/NNG+이/JKS
그에게	그/NP+에게/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.3.1
"회사가 작아 많이 바쁘고 힘들 텐데, 그래도 우리와 함께 일해보시겠어요?"

"회사가	"/SS+회사/NNG+가/JKS
작아	작/VA+아/EC
많이	많이/MAG
바쁘고	바쁘/VA+고/EC
힘들	힘들/VA+ㄹ/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
그래도	그렇/VA+어도/EC
우리와	우리/NP+와/JKB
함께	함께/MAG
일해보시겠어요?"	일/NNG+하/XSV+아/EC+보/VX+시/EP+겠/EP+어요/EF+?/SF+"/SS


# id : NWRW1800000022.52.3.2
"일할 수 있는 것만 해도 행복합니다. 정말 감사합니다."(고씨)

"일할	"/SS+일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것만	것/NNB+만/JX
해도	하/VV+아도/EC
행복합니다.	행복/NNG+하/XSA+ㅂ니다/EF+./SF
정말	정말/MAG
감사합니다."(고씨)	감사/NNG+하/XSV+ㅂ니다/EF+./SF+"/SS+(/SS+고/NNP+씨/NNB+)/SS


# id : NWRW1800000022.52.4.1
고씨는 다음 날부터 애니모비로 출근했다.

고씨는	고/NNP+씨/NNB+는/JX
다음	다음/NNG
날부터	날/NNG+부터/JX
애니모비로	애니모비/NNP+로/JKB
출근했다.	출근/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.5.1
홍 사장은 이번에 고씨를 포함해 5명의 인재를 뽑았다.

홍	홍/NNP
사장은	사장/NNG+은/JX
이번에	이번/NNG+에/JKB
고씨를	고/NNP+씨/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
5명의	5/SN+명/NNB+의/JKG
인재를	인재/NNG+를/JKO
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.5.2
조선일보와 기업은행이 펼치는 '청년 취업 1만명 프로젝트'의 중소기업 전문 취업 사이트 '잡월드'에서 이들을 채용했다.

조선일보와	조선일보/NNP+와/JC
기업은행이	기업은행/NNP+이/JKS
펼치는	펼치/VV+는/ETM
'청년	'/SS+청년/NNG
취업	취업/NNG
1만명	1/SN+만/NR+명/NNB
프로젝트'의	프로젝트/NNG+'/SS+의/JKG
중소기업	중소기업/NNG
전문	전문/NNG
사이트	사이트/NNG
'잡월드'에서	'/SS+잡월드/NNP+'/SS+에서/JKB
이들을	이/NP+들/XSN+을/JKO
채용했다.	채용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.5.3
마케팅 담당 1명, 수습 PD 4명이다.

마케팅	마케팅/NNG
담당	담당/NNG
1명,	1/SN+명/NNB+,/SP
수습	수습/NNG
PD	PD/SL
4명이다.	4/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.5.4
홍 사장은 처음 구인공고를 낼 때만 해도 "신입 사원 2~3명 정도 건질 수 있겠지"하고 생각했다.

홍	홍/NNP
사장은	사장/NNG+은/JX
처음	처음/NNG
구인공고를	구인/NNG+공고/NNG+를/JKO
낼	내/VV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
"신입	"/SS+신입/NNG
사원	사원/NNG
2~3명	2/SN+~/SO+3/SN+명/NNB
정도	정도/NNG
건질	건지/VV+ㄹ/ETM
수	수/NNB
있겠지"하고	있/VA+겠/EP+지/EF+"/SS+하고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.5.5
'잡월드'에서 5명의 인재를 구한 건 예상치 못했던 성과였다.

'잡월드'에서	'/SS+잡월드/NNP+'/SS+에서/JKB
5명의	5/SN+명/NNB+의/JKG
인재를	인재/NNG+를/JKO
구한	구하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
예상치	예상/NNG+치/XSN
못했던	못하/VX+았/EP+던/ETM
성과였다.	성과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.52.5.6
그에겐 전체 직원의 20%에 해당하는 '대규모 채용'이다.

그에겐	그/NP+에게/JKB+ㄴ/JX
전체	전체/NNG
직원의	직원/NNG+의/JKG
20%에	20/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
'대규모	'/SS+대/XPN+규모/NNG
채용'이다.	채용/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.52.6.1
'잡월드' 사이트에 신입사원 채용공고를 올린 뒤 애니모비에는 400통 넘는 입사지원서가 쇄도했다.

'잡월드'	'/SS+잡월드/NNP+'/SS
사이트에	사이트/NNG+에/JKB
신입사원	신입/NNG+사원/NNG
채용공고를	채용/NNG+공고/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
뒤	뒤/NNG
애니모비에는	애니모비/NNP+에/JKB+는/JX
400통	400/SN+통/NNB
넘는	넘/VV+는/ETM
입사지원서가	입사/NNG+지원서/NNG+가/JKS
쇄도했다.	쇄도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.52.6.2
이 원서들을 모두 걸러 면접자 10명을 추려내는 데만 일주일이 넘게 걸렸다.

이	이/MMD
원서들을	원서/NNG+들/XSN+을/JKO
모두	모두/MAG
걸러	거르/VV+어/EC
면접자	면접자/NNG
10명을	10/SN+명/NNB+을/JKO
추려내는	추려내/VV+는/ETM
데만	데/NNB+만/JX
일주일이	일주일/NNG+이/JKS
넘게	넘/VV+게/EC
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.52.6.3
13일 현재 고씨를 포함해 21명의 젊은이가 '잡월드'에서 일자리를 찾았다.

13일	13/SN+일/NNB
