# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.79
metadata : {}


# id : NWRW1800000022.79.1.1
감사원 신고센터 개설 영남지역 민원 접수

감사원	감사원/NNG
신고센터	신고/NNG+센터/NNG
개설	개설/NNG
영남지역	영남지역/NNP
민원	민원/NNG
접수	접수/NNG


# id : NWRW1800000022.79.2.1
감사원은 10일 부산 동구 초량동 한국토지공사 부산본부 7층에 '국민·기업불편 신고센터'를 개소, 본격 운영에 들어간다.

감사원은	감사원/NNG+은/JX
10일	10/SN+일/NNB
부산	부산/NNP
동구	동구/NNP
초량동	초량동/NNP
한국토지공사	한국토지공사/NNP
부산본부	부산/NNP+본부/NNG
7층에	7/SN+층/NNG+에/JKB
'국민·기업불편	'/SS+국민/NNG+·/SP+기업/NNG+불편/NNG
신고센터'를	신고/NNG+센터/NNG+'/SS+를/JKO
개소,	개소/NNG+,/SP
본격	본격/NNG
운영에	운영/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.79.2.2
이 신고 센터는 기업 활동과 관련된 정부·공공기관의 부당한 인·허가 신청 거부나 고용·주거 등 지역 주민 생활에 관한 불편 사항을 접수해 해결해주는 일을 한다.

이	이/MMD
신고	신고/NNG
센터는	센터/NNG+는/JX
기업	기업/NNG
활동과	활동/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
정부·공공기관의	정부/NNG+·/SP+공공/NNG+기관/NNG+의/JKG
부당한	부당/NNG+하/XSA+ㄴ/ETM
인·허가	인·허가/NNG
신청	신청/NNG
거부나	거부/NNG+나/JC
고용·주거	고용/NNG+·/SP+주거/NNG
등	등/NNB
지역	지역/NNG
주민	주민/NNG
생활에	생활/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
불편	불편/NNG
사항을	사항/NNG+을/JKO
접수해	접수/NNG+하/XSV+아/EC
해결해주는	해결/NNG+하/XSV+아/EC+주/VX+는/ETM
일을	일/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.79.2.3
센터는 부산과 경남, 대구, 경북, 울산 등 영남 지역의 불편을 대상으로 한다.

센터는	센터/NNG+는/JX
부산과	부산/NNP+과/JC
경남,	경남/NNP+,/SP
대구,	대구/NNP+,/SP
경북,	경북/NNP+,/SP
울산	울산/NNP
등	등/NNB
영남	영남/NNP
지역의	지역/NNG+의/JKG
불편을	불편/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.79.3.1
센터에서 접수하는 민원은 ▲행정 기관의 위법·부당한 업무처리, 고용·교육·위생·주거 등 국민 불편사항, 공직자의 직무와 관련된 비위 등 일반 민원과 ▲창업·공장설립 등 각종 인·허가 신청 등 기업 관련 민원을 부당·지연 처리하는 등 소극적인 업무처리로 인한 기업 불편사항 등이다.

센터에서	센터/NNG+에서/JKB
접수하는	접수/NNG+하/XSV+는/ETM
민원은	민원/NNG+은/JX
▲행정	▲/SW+행정/NNG
기관의	기관/NNG+의/JKG
위법·부당한	위법/NNG+·/SP+부당/NNG+하/XSA+ㄴ/ETM
업무처리,	업무/NNG+처리/NNG+,/SP
고용·교육·위생·주거	고용/NNG+·/SP+교육/NNG+·/SP+위생/NNG+·/SP+주거/NNG
등	등/NNB
국민	국민/NNG
불편사항,	불편/NNG+사항/NNG+,/SP
공직자의	공직자/NNG+의/JKG
직무와	직무/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
비위	비위/NNG
일반	일반/NNG
민원과	민원/NNG+과/JC
▲창업·공장설립	▲/SW+창업/NNG+·/SP+공장/NNG+설립/NNG
각종	각종/NNG
인·허가	인·허가/NNG
신청	신청/NNG
기업	기업/NNG
관련	관련/NNG
민원을	민원/NNG+을/JKO
부당·지연	부당/NNG+·/SP+지연/NNG
처리하는	처리/NNG+하/XSV+는/ETM
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
업무처리로	업무/NNG+처리/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
불편사항	불편/NNG+사항/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


