# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.93
metadata : {}


# id : NWRW1800000033.93.1.1
[권재현 기자의 망연자실]그녀가 눈뜨면, 얻고 잃는 것은…

[권재현	[/SS+권재현/NNP
기자의	기자/NNG+의/JKG
망연자실]그녀가	망연자실/NNG+]/SS+그녀/NP+가/JKS
눈뜨면,	눈뜨/VV+면/EC+,/SP
얻고	얻/VV+고/EC
잃는	잃/VV+는/ETM
것은…	것/NNB+은/JX+…/SE


# id : NWRW1800000033.93.2.1
연극 ‘몰리 스위니’ ★★★★

연극	연극/NNG
‘몰리	‘/SS+몰리/NNP
스위니’	스위니/NNP+’/SS
★★★★	★/SW+★/SW+★/SW+★/SW


# id : NWRW1800000033.93.3.1
‘몰리 스위니’는 3명의 배우가 돌아가면서 펼치는 37개의 독백 장면으로만 구성한 독특한 형식의 연극이다.

‘몰리	‘/SS+몰리/NNP
스위니’는	스위니/NNP+’/SS+는/JX
3명의	3/SN+명/NNB+의/JKG
배우가	배우/NNG+가/JKS
돌아가면서	돌아가/VV+면서/EC
펼치는	펼치/VV+는/ETM
37개의	37/SN+개/NNB+의/JKG
독백	독백/NNG
장면으로만	장면/NNG+으로/JKB+만/JX
구성한	구성/NNG+하/XSV+ㄴ/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
형식의	형식/NNG+의/JKG
연극이다.	연극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.93.3.2
주인공 몰리 역을 맡은 예수정 씨가 독백을 하고 있다.

주인공	주인공/NNG
몰리	몰리/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
예수정	예수정/NNP
씨가	씨/NNB+가/JKS
독백을	독백/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.93.3.3
극단 유랑선 제공어떤 연극은 외면과 속살이 다르다.

극단	극단/NNG
유랑선	유랑선/NNP
제공어떤	제공/NNG+어떤/MMD
연극은	연극/NNG+은/JX
외면과	외면/NNG+과/JC
속살이	속살/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000033.93.3.4
그래서 무심코 연극을 보러 왔다가 어리둥절해지는 경우가 있다.

그래서	그래서/MAJ
무심코	무심코/MAG
연극을	연극/NNG+을/JKO
보러	보/VV+러/EC
왔다가	오/VV+았/EP+다가/EC
어리둥절해지는	어리둥절하/VA+아/EC+지/VX+는/ETM
