# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.326
metadata : {}


# id : NWRW1800000024.326.1.1
날개 단 ‘금값’…은행들 ‘골드 러시’

날개	날개/NNG
단	달/VV+ㄴ/ETM
‘금값’…은행들	‘/SS+금값/NNG+’/SS+…/SE+은행/NNG+들/XSN
‘골드	‘/SS+골드/NNG
러시’	러시/NNG+’/SS


# id : NWRW1800000024.326.2.1
국제 금값 상승으로 시중은행의 금 관련 상품이 다시 주목받고 있다.

국제	국제/NNG
금값	금값/NNG
상승으로	상승/NNG+으로/JKB
시중은행의	시중/NNG+은행/NNG+의/JKG
금	금/NNG
관련	관련/NNG
상품이	상품/NNG+이/JKS
다시	다시/MAG
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.326.2.2
원화로 통장에 입금하면 금을 적립해주는 은행권의 금 적립 상품이 그 예다.

원화로	원화/NNG+로/JKB
통장에	통장/NNG+에/JKB
입금하면	입금/NNG+하/XSV+면/EC
금을	금/NNG+을/JKO
적립해주는	적립/NNG+하/XSV+아/EC+주/VX+는/ETM
은행권의	은행/NNG+권/XSN+의/JKG
금	금/NNG
적립	적립/NNG
상품이	상품/NNG+이/JKS
그	그/MMD
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.326.2.3
올해 상반기엔 금값 하락과 환율 급락으로 수익률이 저조했지만, 최근 들어 금값이 온스당 1000달러에 육박할 정도로 고공행진을 하자 1년 수익률이 40%를 넘나들고 있다.

올해	올해/NNG
상반기엔	상반기/NNG+에/JKB+ㄴ/JX
금값	금값/NNG
하락과	하락/NNG+과/JC
환율	환율/NNG
급락으로	급락/NNG+으로/JKB
수익률이	수익/NNG+률/XSN+이/JKS
저조했지만,	저조/NNG+하/XSA+았/EP+지만/EC+,/SP
최근	최근/MAG
들어	들/VV+어/EC
금값이	금값/NNG+이/JKS
온스당	온스/NNB+당/XSN
1000달러에	1000/SN+달러/NNB+에/JKB
육박할	육박/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
고공행진을	고공/NNG+행진/NNG+을/JKO
하자	하/VV+자/EC
1년	1/SN+년/NNB
40%를	40/SN+%/SW+를/JKO
넘나들고	넘나들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.326.3.1
은행권에서 대표적인 금 관련 상품인 신한은행 ‘골드리슈’의 최근 1년 수익률(8일 기준)은 41.13%에 달했다.

은행권에서	은행/NNG+권/XSN+에서/JKB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
금	금/NNG
관련	관련/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
신한은행	신한은행/NNP
‘골드리슈’의	‘/SS+골드리슈/NNP+’/SS+의/JKG
최근	최근/MAG
1년	1/SN+년/NNB
수익률(8일	수익/NNG+률/XSN+(/SS+8/SN+일/NNB
기준)은	기준/NNG+)/SS+은/JX
41.13%에	41/SN+./SP+13/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.326.3.2
특히 최근 1개월 수익률은 5.49%를 기록했다.

특히	특히/MAG
최근	최근/MAG
1개월	1/SN+개월/NNB
수익률은	수익/NNG+률/XSN+은/JX
5.49%를	5/SN+./SP+49/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.326.3.3
이에 따라 골드리슈 계좌의 금 거래량도 급증했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
골드리슈	골드리슈/NNP
계좌의	계좌/NNG+의/JKG
금	금/NNG
거래량도	거래량/NNG+도/JX
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.326.3.4
종전까지만 해도 하루 금 거래량이 50㎏ 안팎이었으나 이달 3일 117㎏으로 급증하더니 4일에는 229㎏으로 다시 갑절로 늘어났다.

종전까지만	종전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
하루	하루/NNG
금	금/NNG
거래량이	거래량/NNG+이/JKS
50㎏	50/SN+㎏/SW
안팎이었으나	안팎/NNG+이/VCP+었/EP+으나/EC
이달	이달/NNG
3일	3/SN+일/NNB
117㎏으로	117/SN+㎏/SW+으로/JKB
급증하더니	급증/NNG+하/XSV+더니/EC
4일에는	4/SN+일/NNB+에/JKB+는/JX
229㎏으로	229/SN+㎏/SW+으로/JKB
다시	다시/MAG
갑절로	갑절/NNG+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.326.3.5
지난 5월 나온 신한은행의 ‘달러 앤 골드테크통장’도 최근 1개월과 3개월(7일 기준) 동안 각각 4.99%와 4.94%의 수익률을 기록했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
나온	나오/VV+ㄴ/ETM
신한은행의	신한은행/NNP+의/JKG
‘달러	‘/SS+달러/NNG
앤	앤/NNG
골드테크통장’도	골드/NNG+테크/NNG+통장/NNG+’/SS+도/JX
최근	최근/MAG
1개월과	1/SN+개월/NNB+과/JC
3개월(7일	3/SN+개월/NNB+(/SS+7/SN+일/NNB
기준)	기준/NNG+)/SS
동안	동안/NNG
각각	각각/MAG
4.99%와	4/SN+./SP+99/SN+%/SW+와/JC
4.94%의	4/SN+./SP+94/SN+%/SW+의/JKG
수익률을	수익/NNG+률/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.326.3.6
이 상품은 달러로 직접 투자해 환율 변동의 영향을 받지 않고 국제 금 시세에 따라 곧바로 수익률이 결정된다.

이	이/MMD
상품은	상품/NNG+은/JX
달러로	달러/NNG+로/JKB
직접	직접/MAG
투자해	투자/NNG+하/XSV+아/EC
환율	환율/NNG
변동의	변동/NNG+의/JKG
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
국제	국제/NNG
금	금/NNG
시세에	시세/NNG+에/JKB
따라	따르/VV+아/EC
