# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.165
metadata : {}


# id : NWRW1800000048.165.1.1
엔지니어와 ‘격려문화’가 2차대전 승패 갈랐다

엔지니어와	엔지니어/NNG+와/JC
‘격려문화’가	‘/SS+격려/NNG+문화/NNG+’/SS+가/JKS
2차대전	2/SN+차/NNB+대전/NNG
승패	승패/NNG
갈랐다	가르/VV+았/EP+다/EF


# id : NWRW1800000048.165.2.1
제국을 설계한 사람들-

제국을	제국/NNG+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
사람들-	사람/NNG+들/XSN+-/SO


# id : NWRW1800000048.165.3.1
제2차 세계대전의 흐름을 바꾼

제2차	제/XPN+2/SN+차/NNB
세계대전의	세계/NNG+대전/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM


# id : NWRW1800000048.165.4.1
영웅들의 이야기

영웅들의	영웅/NNG+들/XSN+의/JKG
이야기	이야기/NNG


# id : NWRW1800000048.165.5.1
폴 케네디 지음, 김규태·박리라 옮김

폴	폴/NNP
케네디	케네디/NNP
지음,	짓/VV+음/ETN+,/SP
김규태·박리라	김규태/NNP+·/SP+박리라/NNP
옮김	옮기/VV+ㅁ/ETN


# id : NWRW1800000048.165.6.1
21세기북스·2만8000원

21세기북스·2만8000원	21세기북스/NNP+·/SP+2/SN+만/NR+8000/SN+원/NNB


# id : NWRW1800000048.165.7.1
제2차 세계대전이 한창이던 1943년 1월 모로코 카사블랑카에서 영국 총리 윈스턴 처칠, 미국 대통령 프랭클린 루스벨트가 만났다.

제2차	제/XPN+2/SN+차/NNB
세계대전이	세계/NNG+대전/NNG+이/JKS
한창이던	한창/NNG+이/VCP+던/ETM
1943년	1943/SN+년/NNB
1월	1/SN+월/NNB
모로코	모로코/NNP
카사블랑카에서	카사블랑카/NNP+에서/JKB
영국	영국/NNP
총리	총리/NNG
윈스턴	윈스턴/NNP
처칠,	처칠/NNP+,/SP
미국	미국/NNP
대통령	대통령/NNG
프랭클린	프랭클린/NNP
루스벨트가	루스벨트/NNP+가/JKS
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.165.7.2
이들은 합동참모단과 함께 연합국의 전쟁 목표와 전략을 큰 틀에서 검토했는데, 추축국의 ‘무조건 항복’을 받아내기 위해선 몇 가지 문제를 해결해야 한다고 의견의 일치를 봤다.

이들은	이/NP+들/XSN+은/JX
합동참모단과	합동/NNG+참모단/NNG+과/JKB
함께	함께/MAG
연합국의	연합국/NNG+의/JKG
전쟁	전쟁/NNG
목표와	목표/NNG+와/JC
전략을	전략/NNG+을/JKO
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
검토했는데,	검토/NNG+하/XSV+았/EP+는데/EC+,/SP
추축국의	추축국/NNG+의/JKG
‘무조건	‘/SS+무/XPN+조건/NNG
항복’을	항복/NNG+’/SS+을/JKO
받아내기	받/VV+아/EC+내/VX+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
몇	몇/NR
가지	가지/NNB
문제를	문제/NNG+를/JKO
해결해야	해결/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
의견의	의견/NNG+의/JKG
일치를	일치/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.165.7.3
대서양 해로를 장악해 영국행 호송선단의 안전을 확보하는 것, 중서부 유럽 제공권을 확보해 영국을 대륙 침공의 발판으로 삼는 것, 추축국이 장악하고 있는 해안을 점령해 전선을 유럽의 심장부로 옮겨놓는 것 등이었다.

대서양	대서양/NNP
해로를	해로/NNG+를/JKO
장악해	장악/NNG+하/XSV+아/EC
영국행	영국행/NNG
호송선단의	호송/NNG+선단/NNG+의/JKG
안전을	안전/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
것,	것/NNB+,/SP
중서부	중서부/NNG
유럽	유럽/NNP
제공권을	제공/NNG+권/XSN+을/JKO
확보해	확보/NNG+하/XSV+아/EC
영국을	영국/NNP+을/JKO
대륙	대륙/NNG
침공의	침공/NNG+의/JKG
발판으로	발판/NNG+으로/JKB
삼는	삼/VV+는/ETM
추축국이	추축국/NNG+이/JKS
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
해안을	해안/NNG+을/JKO
점령해	점령/NNG+하/XSV+아/EC
전선을	전선/NNG+을/JKO
유럽의	유럽/NNP+의/JKG
심장부로	심장부/NNG+로/JKB
옮겨놓는	옮기/VV+어/EC+놓/VX+는/ETM
것	것/NNB
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.165.7.4
결과적으로, 1943년부터 1944년 6~7월 사이에 이 문제들은 모두 해결됐고 연합국은 이를 발판으로 승리를 거뒀다.

결과적으로,	결과/NNG+적/XSN+으로/JKB+,/SP
1943년부터	1943/SN+년/NNB+부터/JX
1944년	1944/SN+년/NNB
6~7월	6/SN+~/SO+7/SN+월/NNB
사이에	사이/NNG+에/JKB
이	이/MMD
문제들은	문제/NNG+들/XSN+은/JX
모두	모두/MAG
해결됐고	해결/NNG+되/XSV+었/EP+고/EC
연합국은	연합국/NNG+은/JX
이를	이/NP+를/JKO
발판으로	발판/NNG+으로/JKB
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.165.8.1
역사가뿐 아니라 많은 호사가들이 전쟁의 승패를 가른 ‘결정적인 이유’를 꼽으려 한다.

역사가뿐	역사가/NNG+뿐/JX
아니라	아니/VCN+라/EC
많은	많/VA+은/ETM
호사가들이	호사가/NNG+들/XSN+이/JKS
전쟁의	전쟁/NNG+의/JKG
승패를	승패/NNG+를/JKO
가른	가르/VV+ㄴ/ETM
‘결정적인	‘/SS+결정/NNG+적/XSN+이/VCP+ㄴ/ETM
이유’를	이유/NNG+’/SS+를/JKO
꼽으려	꼽/VV+으려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.165.8.2
미국의 물량 공세, 처칠 같은 전쟁 영웅들의 활약, 독일군의 암호 체계인 ‘이니그마’를 깨뜨린 정보전의 성과, 육지전에서 독일군을 압도했던 소비에트 연방 ‘붉은 군대’의 ‘티(T)-34’ 탱크 같은 무기의 힘 등이 주로 언급된다.

미국의	미국/NNP+의/JKG
물량	물량/NNG
공세,	공세/NNG+,/SP
처칠	처칠/NNP
같은	같/VA+은/ETM
전쟁	전쟁/NNG
영웅들의	영웅/NNG+들/XSN+의/JKG
활약,	활약/NNG+,/SP
독일군의	독일군/NNG+의/JKG
암호	암호/NNG
체계인	체계/NNG+이/VCP+ㄴ/ETM
‘이니그마’를	‘/SS+이니그마/NNG+’/SS+를/JKO
깨뜨린	깨뜨리/VV+ㄴ/ETM
정보전의	정보전/NNG+의/JKG
성과,	성과/NNG+,/SP
육지전에서	육지전/NNG+에서/JKB
독일군을	독일군/NNG+을/JKO
압도했던	압도/NNG+하/XSV+았/EP+던/ETM
소비에트	소비에트/NNP
연방	연방/NNG
‘붉은	‘/SS+붉/VA+은/ETM
군대’의	군대/NNG+’/SS+의/JKG
‘티(T)-34’	‘/SS+티/NNG+(/SS+T/SL+)/SS+-/SO+34/SN+’/SS
탱크	탱크/NNG
무기의	무기/NNG+의/JKG
힘	힘/NNG
등이	등/NNB+이/JKS
주로	주로/MAG
언급된다.	언급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.165.8.3
그러나 미국이란 ‘거대 제국’의 쇠퇴를 다룬 <강대국의 흥망>의 지은이로 유명한 폴 케네디 예일대 교수는 <제국을 설계한 사람들>에서 “극단적인 단순논리”를 거부하면서 최대한 다원적으로 복잡다단한 역사적 정황들을 종합해내려 한다.

그러나	그러나/MAJ
미국이란	미국/NNP+이/VCP+란/ETM
‘거대	‘/SS+거대/NNG
제국’의	제국/NNG+’/SS+의/JKG
쇠퇴를	쇠퇴/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
<강대국의	</SS+강대국/NNG+의/JKG
흥망>의	흥망/NNG+>/SS+의/JKG
지은이로	지은이/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
폴	폴/NNP
케네디	케네디/NNP
예일대	예일대/NNP
교수는	교수/NNG+는/JX
<제국을	</SS+제국/NNG+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
사람들>에서	사람/NNG+들/XSN+>/SS+에서/JKB
“극단적인	“/SS+극단/NNG+적/XSN+이/VCP+ㄴ/ETM
단순논리”를	단순/NNG+논리/NNG+”/SS+를/JKO
거부하면서	거부/NNG+하/XSV+면서/EC
최대한	최대한/MAG
다원적으로	다원/NNG+적/XSN+으로/JKB
복잡다단한	복잡다단하/VA+ㄴ/ETM
역사적	역사/NNG+적/XSN
정황들을	정황/NNG+들/XSN+을/JKO
종합해내려	종합/NNG+하/XSV+아/EC+내/VX+려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.165.9.1
책은 카사블랑카 회담에서 제기된 전략적 목표가 이뤄지는 배경이 된 2차대전의 다섯가지 주요 국면들을 파고들어간다.

책은	책/NNG+은/JX
카사블랑카	카사블랑카/NNP
회담에서	회담/NNG+에서/JKB
제기된	제기/NNG+되/XSV+ㄴ/ETM
전략적	전략/NNG+적/XSN
목표가	목표/NNG+가/JKS
이뤄지는	이뤄지/VV+는/ETM
배경이	배경/NNG+이/JKC
된	되/VV+ㄴ/ETM
2차대전의	2/SN+차/NNB+대전/NNG+의/JKG
다섯가지	다섯/NR+가지/NNB
주요	주요/NNG
국면들을	국면/NNG+들/XSN+을/JKO
파고들어간다.	파고들/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.165.9.2
예컨대 신대륙과 영국을 잇는 보급로를 확보하려는 연합국과 이를 저지하려는 독일이 부딪친 대서양 전선의 상황을 보자.

예컨대	예컨대/MAG
신대륙과	신/XPN+대륙/NNG+과/JC
영국을	영국/NNP+을/JKO
잇는	잇/VV+는/ETM
보급로를	보급로/NNG+를/JKO
확보하려는	확보/NNG+하/XSV+려는/ETM
연합국과	연합국/NNG+과/JC
이를	이/NP+를/JKO
저지하려는	저지/NNG+하/XSV+려는/ETM
독일이	독일/NNP+이/JKS
부딪친	부딪치/VV+ㄴ/ETM
대서양	대서양/NNP
전선의	전선/NNG+의/JKG
상황을	상황/NNG+을/JKO
보자.	보/VV+자/EF+./SF


# id : NWRW1800000048.165.9.3
애초 독일은 ‘유(U)보트’ 함대를 앞세워 시종일관 연합국을 압도했지만, 1943년 3~5월 사이 치러진 대규모 해전에서 연합국은 마침내 독일보다 우위에 선다.

애초	애초/NNG
독일은	독일/NNP+은/JX
‘유(U)보트’	‘/SS+유/NNG+(/SS+U/SL+)/SS+보트/NNG+’/SS
함대를	함대/NNG+를/JKO
앞세워	앞세우/VV+어/EC
시종일관	시종일관/NNG
연합국을	연합국/NNG+을/JKO
압도했지만,	압도/NNG+하/XSV+았/EP+지만/EC+,/SP
1943년	1943/SN+년/NNB
3~5월	3/SN+~/SO+5/SN+월/NNB
사이	사이/NNG
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
대규모	대/XPN+규모/NNG
해전에서	해전/NNG+에서/JKB
연합국은	연합국/NNG+은/JX
마침내	마침내/MAG
독일보다	독일/NNP+보다/JKB
우위에	우위/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.165.9.4
여기엔 유보트의 천적인 폭격기의 항속거리가 대폭 늘어나 대서양 한복판에서도 호송선단을 호위할 수 있게 됐다는 점, 소형 레이더, 헤지호그 박격포 등 신식 무기들의 등장, 연합군이 펼친 ‘도둑 공격’ 전술 등 여러 가지 요인들이 작용했다.

여기엔	여기/NP+에/JKB+ㄴ/JX
유보트의	유보트/NNG+의/JKG
천적인	천적/NNG+이/VCP+ㄴ/ETM
폭격기의	폭격기/NNG+의/JKG
항속거리가	항속/NNG+거리/NNG+가/JKS
대폭	대폭/MAG
늘어나	늘어나/VV+아/EC
대서양	대서양/NNP
한복판에서도	한/XPN+복판/NNG+에서/JKB+도/JX
호송선단을	호송/NNG+선단/NNG+을/JKO
호위할	호위/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다는	되/VV+었/EP+다는/ETM
점,	점/NNG+,/SP
소형	소형/NNG
레이더,	레이더/NNG+,/SP
헤지호그	헤지호그/NNG
박격포	박격포/NNG
등	등/NNB
신식	신식/NNG
무기들의	무기/NNG+들/XSN+의/JKG
등장,	등장/NNG+,/SP
연합군이	연합군/NNG+이/JKS
펼친	펼치/VV+ㄴ/ETM
‘도둑	‘/SS+도둑/NNG
공격’	공격/NNG+’/SS
전술	전술/NNG
여러	여러/MMN
가지	가지/NNB
요인들이	요인/NNG+들/XSN+이/JKS
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.165.10.1
동부전선에서 독일을 압도하게 된 것 역시 소비에트 붉은 군대의 우수한 정보력이나 제공권 확대, 티-34 탱크와 도하 공병대대 등 다양한 요인들이 오랜 시간에 걸쳐 복합적으로 어우러진 결과물이었다.

동부전선에서	동부/NNG+전선/NNG+에서/JKB
독일을	독일/NNP+을/JKO
압도하게	압도/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB
역시	역시/MAG
소비에트	소비에트/NNP
붉은	붉/VA+은/ETM
군대의	군대/NNG+의/JKG
우수한	우수/NNG+하/XSA+ㄴ/ETM
정보력이나	정보력/NNG+이나/JC
제공권	제공/NNG+권/XSN
확대,	확대/NNG+,/SP
티-34	티/NNG+-/SO+34/SN
탱크와	탱크/NNG+와/JC
도하	도하/NNG
공병대대	공병/NNG+대대/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
요인들이	요인/NNG+들/XSN+이/JKS
오랜	오랜/MMA
시간에	시간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
복합적으로	복합/NNG+적/XSN+으로/JKB
어우러진	어우러지/VV+ㄴ/ETM
결과물이었다.	결과물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.165.11.1
지은이는 특히 이전까지 그다지 주목받지 못했던 ‘엔지니어’, 곧 다양한 역할을 수행한 중간 간부들과 문제 해결사들에 대해 관심을 기울인다.

지은이는	지은이/NNG+는/JX
특히	특히/MAG
이전까지	이전/NNG+까지/JX
그다지	그다지/MAG
주목받지	주목/NNG+받/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
‘엔지니어’,	‘/SS+엔지니어/NNG+’/SS+,/SP
곧	곧/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
수행한	수행/NNG+하/XSV+ㄴ/ETM
중간	중간/NNG
간부들과	간부/NNG+들/XSN+과/JC
문제	문제/NNG
해결사들에	해결사/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
관심을	관심/NNG+을/JKO
기울인다.	기울이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.165.11.2
지뢰와 철조망이 설치된 해안을 뚫을 수 있도록 탱크를 개조한 퍼시 호비트 소령, 추진력이 강력한 멀린 엔진을 전투기에 장착한 로니 하커 대위를 비롯해, 소형 레이더 개발에 관여한 수많은 사람들, 해변을 건너고 위험한 해상을 감시했던 병사들이 이룬 성과들을 제대로 봐야 한다는 것이다.

지뢰와	지뢰/NNG+와/JC
철조망이	철조망/NNG+이/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
해안을	해안/NNG+을/JKO
뚫을	뚫/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
탱크를	탱크/NNG+를/JKO
개조한	개조/NNG+하/XSV+ㄴ/ETM
퍼시	퍼시/NNP
호비트	호비트/NNP
소령,	소령/NNG+,/SP
추진력이	추진력/NNG+이/JKS
강력한	강력/NNG+하/XSA+ㄴ/ETM
멀린	멀린/NNP
엔진을	엔진/NNG+을/JKO
전투기에	전투기/NNG+에/JKB
장착한	장착/NNG+하/XSV+ㄴ/ETM
로니	로니/NNP
하커	하커/NNP
대위를	대위/NNG+를/JKO
비롯해,	비롯하/VV+아/EC+,/SP
소형	소형/NNG
레이더	레이더/NNG
개발에	개발/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
수많은	수많/VA+은/ETM
사람들,	사람/NNG+들/XSN+,/SP
해변을	해변/NNG+을/JKO
건너고	건너/VV+고/EC
위험한	위험/NNG+하/XSA+ㄴ/ETM
해상을	해상/NNG+을/JKO
감시했던	감시/NNG+하/XSV+았/EP+던/ETM
병사들이	병사/NNG+들/XSN+이/JKS
이룬	이루/VV+ㄴ/ETM
성과들을	성과/NNG+들/XSN+을/JKO
제대로	제대로/MAG
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.165.11.3
그는 이들이 일할 수 있도록 해준 시스템과 ‘격려의 문화’를 승리의 주된 요인의 하나로 꼽는다.

그는	그/NP+는/JX
이들이	이/NP+들/XSN+이/JKS
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해준	하/VV+아/EC+주/VX+ㄴ/ETM
시스템과	시스템/NNG+과/JC
‘격려의	‘/SS+격려/NNG+의/JKG
문화’를	문화/NNG+’/SS+를/JKO
승리의	승리/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
요인의	요인/NNG+의/JKG
하나로	하나/NR+로/JKB
꼽는다.	꼽/VV+는다/EF+./SF


