# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.42
metadata : {}


# id : NWRW1800000037.42.1.1
中 20대 女앵커 ‘黨간부와 불륜’ 자진폭로

中	中/SH
20대	20/SN+대/NNB
女앵커	女/SH+앵커/NNG
‘黨간부와	‘/SS+黨/SH+간부/NNG+와/JKB
불륜’	불륜/NNG+’/SS
자진폭로	자진/NNG+폭로/NNG


# id : NWRW1800000037.42.2.1
“만날때마다 180만원… 4년간 18억원 받아”

“만날때마다	“/SS+만나/VV+ㄹ/ETM+때/NNG+마다/JX
180만원…	180/SN+만/NR+원/NNB+…/SE
4년간	4/SN+년/NNB+간/XSN
18억원	18/SN+억/NR+원/NNB
받아”	받/VV+아/EF+”/SS


# id : NWRW1800000037.42.3.1
중국 공직자들의 섹스 스캔들이 잇따르는 가운데 중앙부처 부국장급 간부가 4년간 1000만 위안(약 18억3000만 원) 이상을 주며 방송국 여성 앵커를 첩으로 뒀다는 주장이 나왔다.

중국	중국/NNP
공직자들의	공직자/NNG+들/XSN+의/JKG
섹스	섹스/NNG
스캔들이	스캔들/NNG+이/JKS
잇따르는	잇따르/VV+는/ETM
가운데	가운데/NNG
중앙부처	중앙/NNG+부처/NNG
부국장급	부국장급/NNG
간부가	간부/NNG+가/JKS
4년간	4/SN+년/NNB+간/XSN
1000만	1000/SN+만/NR
위안(약	위안/NNB+(/SS+약/MMA
18억3000만	18/SN+억/NR+3000/SN+만/NR
원)	원/NNB+)/SS
이상을	이상/NNG+을/JKO
주며	주/VV+며/EC
방송국	방송국/NNG
여성	여성/NNG
앵커를	앵커/NNG+를/JKO
첩으로	첩/NNG+으로/JKB
뒀다는	두/VV+었/EP+다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.42.4.1
17일 홍콩 언론은 여행 및 경제 전문 채널인 CTETV의 앵커 지잉난(紀英男·26·사진) 씨가 14일 자신의 웨이보(微博·중국판 트위터)에 국가당안국(국가 중요기록 담당) 정책법규사(司·국) 판웨(範悅) 부사장(副司長)과 4년간 관계를 맺어온 사실을 폭로했다고 전했다.

17일	17/SN+일/NNB
홍콩	홍콩/NNP
언론은	언론/NNG+은/JX
여행	여행/NNG
및	및/MAG
경제	경제/NNG
전문	전문/NNG
채널인	채널/NNG+이/VCP+ㄴ/ETM
CTETV의	CTETV/SL+의/JKG
앵커	앵커/NNG
지잉난(紀英男·26·사진)	지잉난/NNP+(/SS+紀英男/SH+·/SP+26/SN+·/SP+사진/NNG+)/SS
씨가	씨/NNB+가/JKS
14일	14/SN+일/NNB
자신의	자신/NNG+의/JKG
웨이보(微博·중국판	웨이보/NNP+(/SS+微博/SH+·/SP+중국판/NNG
트위터)에	트위터/NNP+)/SS+에/JKB
국가당안국(국가	국가/NNG+당안국/NNG+(/SS+국가/NNG
중요기록	중요/NNG+기록/NNG
담당)	담당/NNG+)/SS
정책법규사(司·국)	정책/NNG+법규사/NNG+(/SS+司/SH+·/SP+국/NNG+)/SS
판웨(範悅)	판웨/NNP+(/SS+範悅/SH+)/SS
부사장(副司長)과	부사장/NNG+(/SS+副司長/SH+)/SS+과/JKB
4년간	4/SN+년/NNB+간/XSN
관계를	관계/NNG+를/JKO
맺어온	맺/VV+어/EC+오/VX+ㄴ/ETM
사실을	사실/NNG+을/JKO
폭로했다고	폭로/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.42.5.1
지 씨는 방송국 일을 시작했던 2009년 당시 공산당 중앙판공청 법규실 부국장이던 판 씨를 처음 만났다.

지	지/NNP
씨는	씨/NNB+는/JX
방송국	방송국/NNG
일을	일/NNG+을/JKO
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
2009년	2009/SN+년/NNB
당시	당시/NNG
공산당	공산당/NNP
중앙판공청	중앙/NNG+판공청/NNG
법규실	법규실/NNG
부국장이던	부국장/NNG+이/VCP+던/ETM
판	판/NNP
씨를	씨/NNB+를/JKO
처음	처음/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.42.5.2
중앙판공청은 당 총서기의 비서실 역할을 한다.

중앙판공청은	중앙/NNG+판공청/NNG+은/JX
당	당/NNG
총서기의	총서기/NNG+의/JKG
비서실	비서실/NNG
역할을	역할/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.42.5.3
올해 42세로 알려진 판 씨는 수년 전 이혼했고 아이도 없다고 지 씨에게 말했다.

올해	올해/NNG
42세로	42/SN+세/NNB+로/JKB
알려진	알려지/VV+ㄴ/ETM
판	판/NNP
씨는	씨/NNB+는/JX
수년	수년/NNG
전	전/NNG
이혼했고	이혼/NNG+하/XSV+았/EP+고/EC
아이도	아이/NNG+도/JX
없다고	없/VA+다고/EC
지	지/NNP
씨에게	씨/NNB+에게/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.42.6.1
둘은 결혼을 전제로 사귀었고 판 씨는 4년간 1000만 위안 이상을 용돈으로 줬다.

둘은	둘/NR+은/JX
결혼을	결혼/NNG+을/JKO
전제로	전제/NNG+로/JKB
사귀었고	사귀/VV+었/EP+고/EC
판	판/NNP
씨는	씨/NNB+는/JX
4년간	4/SN+년/NNB+간/XSN
1000만	1000/SN+만/NR
위안	위안/NNB
이상을	이상/NNG+을/JKO
용돈으로	용돈/NNG+으로/JKB
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.42.6.2
지 씨는 “(만날 때마다) 선물 값까지 포함해 하루에 최소한 1만 위안(약 183만 원)을 받았는데 공무원 월급으로 어떻게 그렇게 많은 돈을 쓸 수 있는지 이상했다”고 말했다.

지	지/NNP
씨는	씨/NNB+는/JX
“(만날	“/SS+(/SS+만나/VV+ㄹ/ETM
때마다)	때/NNG+마다/JX+)/SS
선물	선물/NNG
값까지	값/NNG+까지/JX
