# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.164
metadata : {}


# id : NWRW1800000033.164.1.1
법원 “3년상 치르는 마음으로 징역살라”

법원	법원/NNG
“3년상	“/SS+3/SN+년/NNB+상/NNG
치르는	치르/VV+는/ETM
마음으로	마음/NNG+으로/JKB
징역살라”	징역/NNG+살/VV+라/EF+”/SS


# id : NWRW1800000033.164.2.1
엄마 살해 高3에 3년~3년 6개월刑 선고

엄마	엄마/NNG
살해	살해/NNG
高3에	高/SH+3/SN+에/JKB
3년~3년	3/SN+년/NNB+~/SO+3/SN+년/NNB
6개월刑	6/SN+개월/NNB+刑/SH
선고	선고/NNG


# id : NWRW1800000033.164.3.1
“조선시대에는 부모가 죽으면 3년상을 했다.

“조선시대에는	“/SS+조선시대/NNG+에/JKB+는/JX
부모가	부모/NNG+가/JKS
죽으면	죽/VV+으면/EC
3년상을	3/SN+년/NNB+상/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.3.2
피고인은 상을 치르는 마음으로 3년에서 3년 6개월간 징역을 살며 마음을 치유하고 사회에 정상적으로 복귀할 수 있도록 노력하라.”

피고인은	피고인/NNG+은/JX
상을	상/NNG+을/JKO
치르는	치르/VV+는/ETM
마음으로	마음/NNG+으로/JKB
3년에서	3/SN+년/NNB+에서/JKB
3년	3/SN+년/NNB
6개월간	6/SN+개월/NNB+간/XSN
징역을	징역/NNG+을/JKO
살며	살/VV+며/EC
마음을	마음/NNG+을/JKO
치유하고	치유/NNG+하/XSV+고/EC
사회에	사회/NNG+에/JKB
정상적으로	정상/NNG+적/XSN+으로/JKB
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하라.”	노력/NNG+하/XSV+라/EF+./SF+”/SS


# id : NWRW1800000033.164.4.1
판사의 선고와 함께 의사봉을 두드리는 소리가 20일 서울동부지법 1호 법정 안에 울려 퍼지자 피고석에 앉아 있던 지모 군(19)은 고개를 숙였다.

판사의	판사/NNG+의/JKG
선고와	선고/NNG+와/JKB
함께	함께/MAG
의사봉을	의사봉/NNG+을/JKO
두드리는	두드리/VV+는/ETM
소리가	소리/NNG+가/JKS
20일	20/SN+일/NNB
서울동부지법	서울동부지법/NNP
1호	1/SN+호/NNB
법정	법정/NNG
안에	안/NNG+에/JKB
울려	울리/VV+어/EC
퍼지자	퍼지/VV+자/EC
피고석에	피고석/NNG+에/JKB
앉아	앉/VV+아/EC
있던	있/VX+던/ETM
지모	지/NNP+모/NP
군(19)은	군/NNB+(/SS+19/SN+)/SS+은/JX
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.164.4.2
지 군은 어머니를 살해하고 방안에 8개월 방치한 혐의로 기소돼 19, 20일 이틀간 국민참여재판을 받았다.

지	지/NNP
군은	군/NNG+은/JX
어머니를	어머니/NNG+를/JKO
살해하고	살해/NNG+하/XSV+고/EC
방안에	방/NNG+안/NNG+에/JKB
8개월	8/SN+개월/NNB
방치한	방치/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소돼	기소/NNG+되/XSV+어/EC
19,	19/SN+,/SP
20일	20/SN+일/NNB
이틀간	이틀/NNG+간/XSN
국민참여재판을	국민/NNG+참여/NNG+재판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.4.3
형사11부(부장판사 윤종구)는 장기 기준 2∼5년형을 평결한 배심원 9명의 의견을 참고해 장기 3년 6개월에 단기 3년의 징역형을 선고했다.

형사11부(부장판사	형사/NNG+11/SN+부/NNG+(/SS+부장/NNG+판사/NNG
윤종구)는	윤종구/NNP+)/SS+는/JX
장기	장기/NNG
기준	기준/NNG
2∼5년형을	2/SN+∼/SO+5/SN+년/NNB+형/NNG+을/JKO
평결한	평결/NNG+하/XSV+ㄴ/ETM
배심원	배심원/NNG
9명의	9/SN+명/NNB+의/JKG
의견을	의견/NNG+을/JKO
참고해	참고/NNG+하/XSV+아/EC
3년	3/SN+년/NNB
6개월에	6/SN+개월/NNB+에/JKB
단기	단기/NNG
3년의	3/SN+년/NNB+의/JKG
징역형을	징역형/NNG+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.4.4
19세 미만 소년범의 존속살해에 대한 법정 최고형은 20년이지만 재판부는 범행 당시 지 군이 심신이 미약했다는 점을 참작했다.

19세	19/SN+세/NNB
미만	미만/NNG
소년범의	소년범/NNG+의/JKG
존속살해에	존속/NNG+살해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법정	법정/NNG
최고형은	최고형/NNG+은/JX
20년이지만	20/SN+년/NNB+이/VCP+지만/EC
재판부는	재판부/NNG+는/JX
범행	범행/NNG
당시	당시/NNG
지	지/NNP
군이	군/NNB+이/JKS
심신이	심신/NNG+이/JKS
미약했다는	미약하/VA+았/EP+다는/ETM
점을	점/NNG+을/JKO
참작했다.	참작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.5.1
이날 공방의 초점은 범행 당시 지 군의 정신상태를 양형에 얼마나 반영할지였다.

이날	이날/NNG
공방의	공방/NNG+의/JKG
초점은	초점/NNG+은/JX
범행	범행/NNG
당시	당시/NNG
지	지/NNP
군의	군/NNB+의/JKG
정신상태를	정신/NNG+상태/NNG+를/JKO
양형에	양형/NNG+에/JKB
얼마나	얼마나/MAG
반영할지였다.	반영/NNG+하/XSV+ㄹ지/EF+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.164.5.2
피고인 측 변호인은 “어머니의 학대 탓에 공포감에 빠져 범행을 저질렀을 뿐 지 군이 반사회적 인격을 지닌 것은 아니다”라는 서창원 경찰대 교수의 의견서를 증거자료로 내며 “지 군의 형을 감경할 사유가 충분하다”고 주장했다.

피고인	피고인/NNG
측	측/NNB
변호인은	변호인/NNG+은/JX
“어머니의	“/SS+어머니/NNG+의/JKG
학대	학대/NNG
탓에	탓/NNG+에/JKB
공포감에	공포감/NNG+에/JKB
빠져	빠지/VV+어/EC
범행을	범행/NNG+을/JKO
저질렀을	저지르/VV+었/EP+을/ETM
뿐	뿐/NNB
지	지/NNP
군이	군/NNB+이/JKS
반사회적	반/XPN+사회/NNG+적/XSN
인격을	인격/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니다”라는	아니/VCN+다/EF+”/SS+라는/ETM
서창원	서창원/NNP
경찰대	경찰대/NNP
교수의	교수/NNG+의/JKG
의견서를	의견서/NNG+를/JKO
증거자료로	증거/NNG+자료/NNG+로/JKB
내며	내/VV+며/EC
“지	“/SS+지/NNP
군의	군/NNB+의/JKG
형을	형/NNG+을/JKO
감경할	감경/NNG+하/XSV+ㄹ/ETM
사유가	사유/NNG+가/JKS
충분하다”고	충분하/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.164.5.3
