# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.381
metadata : {}


# id : NWRW1800000044.381.1.1
“여당 기업 감싸기”-“야당 구태 국감”…‘총수 증인채택’ 놓고 환노위 파행

“여당	“/SS+여당/NNG
기업	기업/NNG
감싸기”-“야당	감싸/VV+기/ETN+”/SS+-/SO+“/SS+야당/NNG
구태	구태/NNG
국감”…‘총수	국감/NNG+”/SS+…/SE+‘/SS+총수/NNG
증인채택’	증인/NNG+채택/NNG+’/SS
놓고	놓/VV+고/EC
환노위	환노위/NNG
파행	파행/NNG


# id : NWRW1800000044.381.2.1
[한겨레] 정몽구·이재용·신동빈

[한겨레]	[/SS+한겨레/NNP+]/SS
정몽구·이재용·신동빈	정몽구/NNP+·/SP+이재용/NNP+·/SP+신동빈/NNP


# id : NWRW1800000044.381.3.1
부르냐마냐 놓고 2시간 입씨름

부르냐마냐	부르/VV+냐/EF+말/VV+냐/EF
놓고	놓/VX+고/EC
2시간	2/SN+시간/NNB
입씨름	입씨름/NNG


# id : NWRW1800000044.381.4.1
업무보고도 못받고 정회

업무보고도	업무/NNG+보고/NNG+도/JX
못받고	못/MAG+받/VV+고/EC
정회	정회/NNG


# id : NWRW1800000044.381.5.1
7일 시작된 국정감사가 기업인 증인 채택 문제로 초반부터 파행을 겪고 있다.

7일	7/SN+일/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
국정감사가	국정/NNG+감사/NNG+가/JKS
기업인	기업인/NNG
증인	증인/NNG
채택	채택/NNG
문제로	문제/NNG+로/JKB
초반부터	초반/NNG+부터/JX
파행을	파행/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.381.5.2
여당은 국회가 기업 활동에 지장을 줘선 안 된다며 기업 총수 증인 채택에 반대하는 반면, 야당은 ‘성역 없는 국감’에 기업 총수도 예외가 될 수는 없다며 증인 채택을 관철시키겠다고 대립하고 있기 때문이다.

여당은	여당/NNG+은/JX
국회가	국회/NNG+가/JKS
기업	기업/NNG
활동에	활동/NNG+에/JKB
지장을	지장/NNG+을/JKO
줘선	주/VV+어서/EC+ㄴ/JX
안	안/MAG
된다며	되/VV+ㄴ다며/EC
총수	총수/NNG
증인	증인/NNG
채택에	채택/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
반면,	반면/NNG+,/SP
야당은	야당/NNG+은/JX
‘성역	‘/SS+성역/NNG
없는	없/VA+는/ETM
국감’에	국감/NNG+’/SS+에/JKB
총수도	총수/NNG+도/JX
예외가	예외/NNG+가/JKC
될	되/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다며	없/VA+다며/EC
채택을	채택/NNG+을/JKO
관철시키겠다고	관철/NNG+시키/XSV+겠/EP+다고/EC
대립하고	대립/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.381.6.1
이날 오전 정부세종청사에서 시작된 환경노동위원회 국정감사는 정몽구 현대자동차 회장 등 기업인 증인 채택 문제를 둘러싼 여야 의원들의 공방이 2시간 가까이 이어지면서 업무보고도 받지 못하고 정회했다.

이날	이날/NNG
오전	오전/NNG
정부세종청사에서	정부세종청사/NNP+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
환경노동위원회	환경/NNG+노동/NNG+위원회/NNG
국정감사는	국정/NNG+감사/NNG+는/JX
정몽구	정몽구/NNP
현대자동차	현대자동차/NNP
회장	회장/NNG
등	등/NNB
기업인	기업인/NNG
증인	증인/NNG
채택	채택/NNG
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야	여야/NNG
의원들의	의원/NNG+들/XSN+의/JKG
공방이	공방/NNG+이/JKS
2시간	2/SN+시간/NNB
가까이	가까이/MAG
이어지면서	이어지/VV+면서/EC
업무보고도	업무/NNG+보고/NNG+도/JX
받지	받/VV+지/EC
못하고	못하/VX+고/EC
정회했다.	정회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.381.6.2
우원식 새정치민주연합 의원 등 야당 의원들은 “여당이 기업인 증인 채택을 거부하는 것은 ‘기업 감싸기’이며 국회를 무력화하는 것”이라고 목소리를 높였고, 권성동 의원 등 새누리당 의원들은 “기업인들을 불러와 호통만 치는 것은 구태 국감”이라고 맞섰다.

우원식	우원식/NNP
새정치민주연합	새정치민주연합/NNP
의원	의원/NNG
등	등/NNB
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
“여당이	“/SS+여당/NNG+이/JKS
기업인	기업인/NNG
증인	증인/NNG
채택을	채택/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
‘기업	‘/SS+기업/NNG
감싸기’이며	감싸/VV+기/ETN+’/SS+이/VCP+며/EC
국회를	국회/NNG+를/JKO
무력화하는	무력/NNG+화/XSN+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
목소리를	목소리/NNG+를/JKO
높였고,	높이/VV+었/EP+고/EC+,/SP
권성동	권성동/NNP
새누리당	새누리당/NNP
“기업인들을	“/SS+기업인/NNG+들/XSN+을/JKO
불러와	불러오/VV+아/EC
호통만	호통/NNG+만/JX
치는	치/VV+는/ETM
구태	구태/NNG
국감”이라고	국감/NNG+”/SS+이라고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.381.6.3
여야 의원들은 국감이 정회된 상태에서도 잇따라 기자회견을 열어 ‘2차 네탓 공방’을 벌였다.

여야	여야/NNG
의원들은	의원/NNG+들/XSN+은/JX
국감이	국감/NNG+이/JKS
정회된	정회/NNG+되/XSV+ㄴ/ETM
상태에서도	상태/NNG+에서/JKB+도/JX
잇따라	잇따르/VV+아/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
‘2차	‘/SS+2/SN+차/NNB
네탓	너/NP+의/JKG+탓/NNG
공방’을	공방/NNG+’/SS+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.381.7.1
환노위에서 쟁점이 되고 있는 증인은 정몽구 현대자동차 회장과 이재용 삼성전자 부회장, 신동빈 롯데그룹 회장이다.

환노위에서	환노위/NNG+에서/JKB
쟁점이	쟁점/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
증인은	증인/NNG+은/JX
정몽구	정몽구/NNP
현대자동차	현대자동차/NNP
회장과	회장/NNG+과/JC
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장,	부회장/NNG+,/SP
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장이다.	회장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.381.7.2
야당 쪽은 사내 하청 비정규직(현대차), 서비스직 간접고용(삼성전자), 제2롯데월드 안전성 여부(롯데) 등 환경·노동분야 핵심 현안과 관련해 해당 기업의 최고 의사결정권자를 불러 책임있는 답변을 들어야 한다는 입장이지만, 새누리당은 “공공기관을 감시·감독하는 국정감사에 사기업 총수를 부르는 것은 부적절하다”며 증인 채택 불가론을 고수하고 있다.

야당	야당/NNG
쪽은	쪽/NNB+은/JX
사내	사내/NNG
하청	하청/NNG
비정규직(현대차),	비/XPN+정규직/NNG+(/SS+현대차/NNP+)/SS+,/SP
서비스직	서비스직/NNG
간접고용(삼성전자),	간접/NNG+고용/NNG+(/SS+삼성전자/NNP+)/SS+,/SP
제2롯데월드	제/XPN+2/SN+롯데월드/NNP
안전성	안전/NNG+성/XSN
여부(롯데)	여부/NNG+(/SS+롯데/NNP+)/SS
등	등/NNB
환경·노동분야	환경/NNG+·/SP+노동/NNG+분야/NNG
핵심	핵심/NNG
현안과	현안/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
해당	해당/NNG
기업의	기업/NNG+의/JKG
최고	최고/NNG
의사결정권자를	의사/NNG+결정권자/NNG+를/JKO
불러	부르/VV+어/EC
책임있는	책임/NNG+있/VA+는/ETM
답변을	답변/NNG+을/JKO
들어야	듣/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
입장이지만,	입장/NNG+이/VCP+지만/EC+,/SP
새누리당은	새누리당/NNP+은/JX
“공공기관을	“/SS+공공/NNG+기관/NNG+을/JKO
감시·감독하는	감시/NNG+·/SP+감독/NNG+하/XSV+는/ETM
국정감사에	국정/NNG+감사/NNG+에/JKB
사기업	사기업/NNG
총수를	총수/NNG+를/JKO
부르는	부르/VV+는/ETM
것은	것/NNB+은/JX
부적절하다”며	부적절하/VA+다/EF+”/SS+며/EC
증인	증인/NNG
채택	채택/NNG
불가론을	불가/NNG+론/XSN+을/JKO
고수하고	고수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.381.8.1
여당은 지난 4월 기업인의 경우 기업 총수가 아닌 실무 담당 임원을 소환하자는 내용으로 ‘국정감사 및 조사에 관한 국회규칙’을 만들려고 시도했다가 야당의 반발로 실패한 바 있다.

여당은	여당/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
기업인의	기업인/NNG+의/JKG
경우	경우/NNG
기업	기업/NNG
총수가	총수/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
실무	실무/NNG
담당	담당/NNG
임원을	임원/NNG+을/JKO
소환하자는	소환/NNG+하/XSV+자는/ETM
내용으로	내용/NNG+으로/JKB
‘국정감사	‘/SS+국정/NNG+감사/NNG
및	및/MAG
조사에	조사/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
국회규칙’을	국회/NNG+규칙/NNG+’/SS+을/JKO
만들려고	만들/VV+려고/EC
시도했다가	시도/NNG+하/XSV+았/EP+다가/EC
야당의	야당/NNG+의/JKG
반발로	반발/NNG+로/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.381.9.1
김대호 사회디자인연구소장은 “무작정 기업 총수는 안 된다는 여당이나, 반드시 기업 총수를 불러 증언대에 세우겠다는 야당의 자세 모두 국민의 공감을 얻기 힘들다”며 “최고경영자나 임원급을 불러 물어볼 수 있는 사안과 기업 총수의 출석이 반드시 필요한 사안을 엄중히 가릴 필요가 있다”고 말했다.

김대호	김대호/NNP
사회디자인연구소장은	사회/NNG+디자인/NNG+연구소장/NNG+은/JX
“무작정	“/SS+무/XPN+작정/NNG
기업	기업/NNG
총수는	총수/NNG+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
여당이나,	여당/NNG+이나/JC+,/SP
반드시	반드시/MAG
총수를	총수/NNG+를/JKO
불러	부르/VV+어/EC
증언대에	증언대/NNG+에/JKB
세우겠다는	세우/VV+겠/EP+다는/ETM
야당의	야당/NNG+의/JKG
자세	자세/NNG
모두	모두/MAG
국민의	국민/NNG+의/JKG
공감을	공감/NNG+을/JKO
얻기	얻/VV+기/ETN
힘들다”며	힘들/VA+다/EF+”/SS+며/EC
