# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.302
metadata : {}


# id : NWRW1800000025.302.1.1
[수도권]서울시, 박물관 학예사 인건비도 지원

[수도권]서울시,	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP+,/SP
박물관	박물관/NNG
학예사	학예사/NNG
인건비도	인건비/NNG+도/JX
지원	지원/NNG


# id : NWRW1800000025.302.2.1
서울시는 시민의 문화향유 증진을 위해 시가 국·공·사립박물관과 미술관을 지원하는 근거를 담은 ‘박물관 및 미술관 진흥조례안’을 입법예고했다고 26일 밝혔다.

서울시는	서울시/NNP+는/JX
시민의	시민/NNG+의/JKG
문화향유	문화/NNG+향유/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+아/EC
시가	시/NNG+가/JKS
국·공·사립박물관과	국·공·사립/NNG+박물관/NNG+과/JC
미술관을	미술관/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
근거를	근거/NNG+를/JKO
담은	담/VV+은/ETM
‘박물관	‘/SS+박물관/NNG
및	및/MAG
미술관	미술관/NNG
진흥조례안’을	진흥/NNG+조례안/NNG+’/SS+을/JKO
입법예고했다고	입법/NNG+예고/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.302.3.1
이 조례안은 시에 등록된 박물관과 미술관, 관련 법인 및 단체에 대해 전시와 체험 프로그램 운영비, 인건비 등을 지원할 수 있게 했다.

이	이/MMD
조례안은	조례안/NNG+은/JX
시에	시/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
박물관과	박물관/NNG+과/JC
미술관,	미술관/NNG+,/SP
관련	관련/NNG
법인	법인/NNG
및	및/MAG
단체에	단체/NNG+에/JKB
대해	대하/VV+아/EC
전시와	전시/NNG+와/JC
체험	체험/NNG
프로그램	프로그램/NNG
운영비,	운영비/NNG+,/SP
인건비	인건비/NNG
등을	등/NNB+을/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.302.3.2
또 박물관과 미술관 지원사업을 심의하고 평가하며 향후 지원 방향을 정하는 심의위원회를 설치하는 내용을 담고 있다.

또	또/MAG
박물관과	박물관/NNG+과/JC
미술관	미술관/NNG
지원사업을	지원/NNG+사업/NNG+을/JKO
심의하고	심의/NNG+하/XSV+고/EC
평가하며	평가/NNG+하/XSV+며/EC
향후	향후/NNG
지원	지원/NNG
방향을	방향/NNG+을/JKO
정하는	정하/VV+는/ETM
심의위원회를	심의/NNG+위원회/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.302.4.1
시는 올해도 박물관당 한 차례 전시비용의 절반가량(평균 약 2000만 원)을 지원했지만 조례가 제정되면 내년부터는 박물관의 학예사 인건비도 지원할 수 있게 된다.

시는	시/NNG+는/JX
올해도	올해/NNG+도/JX
박물관당	박물관/NNG+당/XSN
한	한/MMN
차례	차례/NNG
전시비용의	전시/NNG+비용/NNG+의/JKG
절반가량(평균	절반/NNG+가량/XSN+(/SS+평균/NNG
약	약/MMA
2000만	2000/SN+만/NR
원)을	원/NNB+)/SS+을/JKO
지원했지만	지원/NNG+하/XSV+았/EP+지만/EC
조례가	조례/NNG+가/JKS
제정되면	제정/NNG+되/XSV+면/EC
내년부터는	내년/NNG+부터/JX+는/JX
박물관의	박물관/NNG+의/JKG
학예사	학예사/NNG
인건비도	인건비/NNG+도/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.302.4.2
현재 박물관 학예사들은 국비 지원을 포함해 대부분 월 200만 원 미만의 보수를 받는데 지원이 늘어나면 이들의 처우가 개선되고 우수 인력도 확보할 수 있을 것이라고 서울시는 밝혔다.

현재	현재/MAG
박물관	박물관/NNG
학예사들은	학예사/NNG+들/XSN+은/JX
국비	국비/NNG
지원을	지원/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
대부분	대/XPN+부분/NNG
월	월/NNG
200만	200/SN+만/NR
원	원/NNB
미만의	미만/NNG+의/JKG
보수를	보수/NNG+를/JKO
받는데	받/VV+는데/EC
지원이	지원/NNG+이/JKS
늘어나면	늘어나/VV+면/EC
이들의	이/NP+들/XSN+의/JKG
처우가	처우/NNG+가/JKS
개선되고	개선/NNG+되/XSV+고/EC
우수	우수/NNG
인력도	인력/NNG+도/JX
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
서울시는	서울시/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.302.5.1
현재 시내 박물관은 국립 9곳과 시립 1곳, 대학 부설 30곳, 사립 61곳이 있다.

현재	현재/MAG
시내	시내/NNG
박물관은	박물관/NNG+은/JX
국립	국립/NNG
9곳과	9/SN+곳/NNG+과/JC
시립	시립/NNG
1곳,	1/SN+곳/NNG+,/SP
대학	대학/NNG
부설	부설/NNG
30곳,	30/SN+곳/NNG+,/SP
사립	사립/NNG
61곳이	61/SN+곳/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.302.5.2
사립박물관 중 쇳대박물관 목인박물관 떡박물관 등 27곳은 개인이, 나머지는 법인이 운영한다.

사립박물관	사립/NNG+박물관/NNG
중	중/NNB
쇳대박물관	쇳대박물관/NNP
목인박물관	목인박물관/NNP
떡박물관	떡박물관/NNP
등	등/NNB
27곳은	27/SN+곳/NNG+은/JX
개인이,	개인/NNG+이/JKS+,/SP
나머지는	나머지/NNG+는/JX
법인이	법인/NNG+이/JKS
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.302.5.3
시에 등록된 미술관은 시립 3곳, 대학 부설 2곳, 공립 4곳, 민간 23곳 등 모두 32곳이 있다.

시에	시/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
미술관은	미술관/NNG+은/JX
시립	시립/NNG
