# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.242
metadata : {}


# id : NWRW1800000036.242.1.1
이상득·박지원·정두언 ‘알선수재’ 적용 방침

이상득·박지원·정두언	이상득/NNP+·/SP+박지원/NNP+·/SP+정두언/NNP
‘알선수재’	‘/SS+알선/NNG+수재/NNG+’/SS
적용	적용/NNG
방침	방침/NNG


# id : NWRW1800000036.242.2.1
[한겨레] 이상득, 저축은행서 5억 수수 혐의

[한겨레]	[/SS+한겨레/NNP+]/SS
이상득,	이상득/NNP+,/SP
저축은행서	저축/NNG+은행/NNG+서/JKB
5억	5/SN+억/NR
수수	수수/NNG
혐의	혐의/NNG


# id : NWRW1800000036.242.3.1
박지원·정두언 “돈 받은적 없다”

박지원·정두언	박지원/NNP+·/SP+정두언/NNP
“돈	“/SS+돈/NNG
받은적	받/VV+은/ETM+적/NNB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000036.242.4.1
대검찰청 중앙수사부 산하 저축은행 비리 합동수사단(단장 최운식)은 29일 이상득(77) 전 새누리당 의원 외에도 박지원(70) 민주통합당 원내대표(전남 목포)와 정두언(55) 새누리당 의원(서울 서대문을)이 2007년 하반기 임석(50·구속기소) 솔로몬저축은행 회장에게서 억대의 금품을 받은 단서를 잡고 수사중이다.

대검찰청	대/XPN+검찰청/NNG
중앙수사부	중앙/NNG+수사부/NNG
산하	산하/NNG
저축은행	저축/NNG+은행/NNG
비리	비리/NNG
합동수사단(단장	합동/NNG+수사단/NNG+(/SS+단장/NNG
최운식)은	최운식/NNP+)/SS+은/JX
29일	29/SN+일/NNB
이상득(77)	이상득/NNP+(/SS+77/SN+)/SS
전	전/MMD
새누리당	새누리당/NNP
의원	의원/NNG
외에도	외/NNB+에/JKB+도/JX
박지원(70)	박지원/NNP+(/SS+70/SN+)/SS
민주통합당	민주통합당/NNP
원내대표(전남	원내/NNG+대표/NNG+(/SS+전남/NNP
목포)와	목포/NNP+)/SS+와/JC
정두언(55)	정두언/NNP+(/SS+55/SN+)/SS
의원(서울	의원/NNG+(/SS+서울/NNP
서대문을)이	서대문을/NNP+)/SS+이/JKS
2007년	2007/SN+년/NNB
