# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.326
metadata : {}


# id : NWRW1800000030.326.1.1
언성 높인 李대통령, 비공개 회의로 알았다?

언성	언성/NNG
높인	높이/VV+ㄴ/ETM
李대통령,	李/SH+대통령/NNG+,/SP
비공개	비/XPN+공개/NNG
회의로	회의/NNG+로/JKB
알았다?	알/VV+았/EP+다/EF+?/SF


# id : NWRW1800000030.326.2.1
•지난 금요일 장·차관 워크숍

•지난	•/SW+지나/VV+ㄴ/ETM
금요일	금요일/NNG
장·차관	장·차관/NNG
워크숍	워크숍/NNG


# id : NWRW1800000030.326.3.1
이명박 대통령은 지난 17일 장·차관급 70여명을 모아놓고 "밥그릇 싸움" 같은 적나라한 용어까지 사용하며 공무원들을 질타했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
장·차관급	장·차관/NNG+급/NNG
70여명을	70/SN+여/XSN+명/NNB+을/JKO
모아놓고	모으/VV+아/EC+놓/VX+고/EC
"밥그릇	"/SS+밥그릇/NNG
싸움"	싸움/NNG+"/SS
같은	같/VA+은/ETM
적나라한	적나라하/VA+ㄴ/ETM
용어까지	용어/NNG+까지/JX
사용하며	사용/NNG+하/XSV+며/EC
공무원들을	공무원/NNG+들/XSN+을/JKO
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.326.3.2
이와 관련, 청와대 관계자들은 19일 "대통령이 당시 비공개 회의가 시작된 줄로 착각했다"고 전했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
청와대	청와대/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
19일	19/SN+일/NNB
"대통령이	"/SS+대통령/NNG+이/JKS
당시	당시/NNG
비공개	비/XPN+공개/NNG
회의가	회의/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
줄로	줄/NNB+로/JKB
착각했다"고	착각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.326.4.1
이 대통령은 당시 국민의례 등의 절차가 끝나자 "날씨도 더운데 옷을 벗고 하자"며 시작해 29분간 공무원 사회 문제들을 지적했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
당시	당시/NNG
국민의례	국민의례/NNG
등의	등/NNB+의/JKG
절차가	절차/NNG+가/JKS
끝나자	끝나/VV+자/EC
"날씨도	"/SS+날씨/NNG+도/JX
더운데	덥/VA+ㄴ데/EC
옷을	옷/NNG+을/JKO
벗고	벗/VV+고/EC
하자"며	하/VV+자/EF+"/SS+며/EC
시작해	시작/NNG+하/XSV+아/EC
29분간	29/SN+분/NNB+간/XSN
공무원	공무원/NNG
사회	사회/NNG
문제들을	문제/NNG+들/XSN+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.326.4.2
이렇게 말한 것도 '이제, 우리끼리 속 터놓고 얘기하자'는 의미였다고 한다.

이렇게	이렇/VA+게/EC
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
'이제,	'/SS+이제/MAG+,/SP
우리끼리	우리/NP+끼리/XSN
속	속/NNG
터놓고	터놓/VV+고/EC
얘기하자'는	얘기/NNG+하/XSV+자/EF+'/SS+는/ETM
의미였다고	의미/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.326.4.3
그 뒤 이 대통령은 "나라가 비리투성이" "업자들이 공무원 뒷바라지" "검사들도 (접대받고) 그러지 않았나" "온통 썩은 나라" 같은 강한 말들을 거르지 않고 쏟아냈다.

그	그/MMD
뒤	뒤/NNG
이	이/NNP
대통령은	대통령/NNG+은/JX
"나라가	"/SS+나라/NNG+가/JKS
비리투성이"	비리/NNG+투성이/XSN+"/SS
"업자들이	"/SS+업자/NNG+들/XSN+이/JKS
공무원	공무원/NNG
뒷바라지"	뒷바라지/NNG+"/SS
"검사들도	"/SS+검사/NNG+들/XSN+도/JX
(접대받고)	(/SS+접대/NNG+받/XSV+고/EC+)/SS
그러지	그러/VV+지/EC
않았나"	않/VX+았/EP+나/EF+"/SS
"온통	"/SS+온통/MAG
썩은	썩/VV+은/ETM
나라"	나라/NNG+"/SS
같은	같/VA+은/ETM
강한	강하/VA+ㄴ/ETM
말들을	말/NNG+들/XSN+을/JKO
거르지	거르/VV+지/EC
않고	않/VX+고/EC
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.326.4.4
"백희영 장관 교수 출신 아니에요?" "교과부 장관이 해야 할 일이 뭔가" 등 장관들을 거명하며 "(자리 배치상) 내가 앞에 보이는 장관들만 얘기한 거다.

"백희영	"/SS+백희영/NNP
장관	장관/NNG
교수	교수/NNG
출신	출신/NNG
아니에요?"	아니/VCN+에요/EF+?/SF+"/SS
"교과부	"/SS+교과부/NNG
장관이	장관/NNG+이/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일이	일/NNG+이/JKS
뭔가"	뭐/NP+이/VCP+ㄴ가/EF+"/SS
등	등/NNB
장관들을	장관/NNG+들/XSN+을/JKO
거명하며	거명/NNG+하/XSV+며/EC
"(자리	"/SS+(/SS+자리/NNG
배치상)	배치/NNG+상/XSN+)/SS
내가	내/NP+가/JKS
앞에	앞/NNG+에/JKB
보이는	보이/VV+는/ETM
장관들만	장관/NNG+들/XSN+만/JX
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.326.4.5
금융위원장은 옆에 앉아서 못 봐서 못하는데"라고 하기도 했다.

금융위원장은	금융/NNG+위원장/NNG+은/JX
옆에	옆/NNG+에/JKB
앉아서	앉/VV+아서/EC
못	못/MAG
봐서	보/VV+아서/EC
못하는데"라고	못/MAG+하/VV+는데/EC+"/SS+라고/JKQ
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.326.5.1
청와대 관계자들은 "취재기자와 TV 카메라가 철수하고 난 뒤 '아까 말씀하신 것들이 다 공개되는 발언이었다'는 설명을 듣고 '나는 (TV)카메라들이 다 나간 줄 알았다'고 하더라"고 전했다.

청와대	청와대/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
"취재기자와	"/SS+취재/NNG+기자/NNG+와/JC
TV	TV/SL
카메라가	카메라/NNG+가/JKS
철수하고	철수/NNG+하/XSV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
'아까	'/SS+아까/MAG
말씀하신	말씀/NNG+하/XSV+시/EP+ㄴ/ETM
것들이	것/NNB+들/XSN+이/JKS
다	다/MAG
공개되는	공개/NNG+되/XSV+는/ETM
발언이었다'는	발언/NNG+이/VCP+었/EP+다/EF+'/SS+는/ETM
설명을	설명/NNG+을/JKO
듣고	듣/VV+고/EC
'나는	'/SS+나/NP+는/JX
(TV)카메라들이	(/SS+TV/SL+)/SS+카메라/NNG+들/XSN+이/JKS
나간	나가/VV+ㄴ/ETM
줄	줄/NNB
알았다'고	알/VV+았/EP+다/EF+'/SS+고/JKQ
하더라"고	하/VV+더라/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.326.5.2
이 대통령은 평소에도 내부 회의에서는 자신의 의견이나 생각을 거침없이 말한다.

이	이/NNP
대통령은	대통령/NNG+은/JX
평소에도	평소/NNG+에/JKB+도/JX
내부	내부/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
자신의	자신/NNG+의/JKG
의견이나	의견/NNG+이나/JC
생각을	생각/NNG+을/JKO
거침없이	거침없이/MAG
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.326.5.3
'같은 팀원들끼리는 솔직하게 이야기해야 함께 일할 수 있다'는 소신 때문이다.

'같은	'/SS+같/VA+은/ETM
팀원들끼리는	팀원/NNG+들/XSN+끼리/XSN+는/JX
솔직하게	솔직하/VA+게/EC
이야기해야	이야기/NNG+하/XSV+아야/EC
함께	함께/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
소신	소신/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.326.5.4
그러다 보니 '이명박 청와대'에서는 대통령의 내부 발언이 외부에 전해지는 것에 대해 특히 민감하다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
'이명박	'/SS+이명박/NNP
청와대'에서는	청와대/NNP+'/SS+에서/JKB+는/JX
대통령의	대통령/NNG+의/JKG
내부	내부/NNG
발언이	발언/NNG+이/JKS
외부에	외부/NNG+에/JKB
전해지는	전하/VV+아/EC+지/VX+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
특히	특히/MAG
민감하다.	민감/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.326.5.5
일부 관계자들은 그러나 "대통령이 공개된다는 사실을 다 알면서 민망해하는 장관들 분위기를 생각해서 일부러 몰랐던 척했을 수도 있다"고 말하기도 했다.

일부	일부/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
그러나	그러나/MAJ
"대통령이	"/SS+대통령/NNG+이/JKS
공개된다는	공개/NNG+되/XSV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
다	다/MAG
알면서	알/VV+면서/EC
민망해하는	민망하/VA+아/EC+하/VX+는/ETM
장관들	장관/NNG+들/XSN
분위기를	분위기/NNG+를/JKO
생각해서	생각/NNG+하/XSV+아서/EC
일부러	일부러/MAG
몰랐던	모르/VV+았/EP+던/ETM
척했을	척/NNB+하/XSV+았/EP+을/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


