# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.291
metadata : {}


# id : NWRW1800000054.291.1.1
[萬物相] 프랑크푸르트

[萬物相]	[/SS+萬物相/SH+]/SS
프랑크푸르트	프랑크푸르트/NNP


# id : NWRW1800000054.291.2.1
누구에게나 먼 타국에서 맺은 인연은 각별하다.

누구에게나	누구/NP+에게/JKB+나/JX
먼	멀/VA+ㄴ/ETM
타국에서	타국/NNG+에서/JKB
맺은	맺/VV+은/ETM
인연은	인연/NNG+은/JX
각별하다.	각별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.291.2.2
중국 공산혁명 동지였던 저우언라이(周恩來)와 덩샤오핑(鄧小平)의 인연도 1920년대 프랑스 유학에서 시작됐다.

중국	중국/NNP
공산혁명	공산혁명/NNG
동지였던	동지/NNG+이/VCP+었/EP+던/ETM
저우언라이(周恩來)와	저우언라이/NNP+(/SS+周恩來/SH+)/SS+와/JC
덩샤오핑(鄧小平)의	덩샤오핑/NNP+(/SS+鄧小平/SH+)/SS+의/JKG
인연도	인연/NNG+도/JX
1920년대	1920/SN+년대/NNB
프랑스	프랑스/NNP
유학에서	유학/NNG+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.2.3
덩은 "나에게 저우는 언제나 형이었다"고 했다.

덩은	덩/NNP+은/JX
"나에게	"/SS+나/NP+에게/JKB
저우는	저우/NNP+는/JX
언제나	언제나/MAG
형이었다"고	형/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.291.2.4
둘은 훗날 귀국해서도 와인과 치즈를 즐겼다고 한다.

둘은	둘/NR+은/JX
훗날	훗날/NNG
귀국해서도	귀국/NNG+하/XSV+아서/EC+도/JX
와인과	와인/NNG+과/JC
치즈를	치즈/NNG+를/JKO
즐겼다고	즐기/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.291.2.5
프랑스 추억이 그만큼 깊었을 것이다.

프랑스	프랑스/NNP
추억이	추억/NNG+이/JKS
그만큼	그만큼/NNG
깊었을	깊/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.2.6
개혁·개방을 주창한 덩은 문화혁명 때 숙청 위기에 몰렸으나 저우의 노력 덕에 목숨을 부지할 수 있었다.

개혁·개방을	개혁/NNG+·/SP+개방/NNG+을/JKO
주창한	주창/NNG+하/XSV+ㄴ/ETM
덩은	덩/NNP+은/JX
문화혁명	문화/NNG+혁명/NNG
때	때/NNG
숙청	숙청/NNG
위기에	위기/NNG+에/JKB
몰렸으나	몰리/VV+었/EP+으나/EC
저우의	저우/NNP+의/JKG
노력	노력/NNG
덕에	덕/NNG+에/JKB
목숨을	목숨/NNG+을/JKO
부지할	부지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.291.3.1
▶뉴욕 한인 사업가였던 김혁규 전 경남지사와 박지원 국민의당 대표가 정치에 입문한 것도 미국에서 김영삼, 김대중 전 대통령과 맺은 인연 덕이었다.

▶뉴욕	▶/SW+뉴욕/NNP
한인	한인/NNG
사업가였던	사업가/NNG+이/VCP+었/EP+던/ETM
김혁규	김혁규/NNP
전	전/MMD
경남지사와	경남/NNP+지사/NNG+와/JC
박지원	박지원/NNP
국민의당	국민의당/NNP
대표가	대표/NNG+가/JKS
정치에	정치/NNG+에/JKB
입문한	입문/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
미국에서	미국/NNP+에서/JKB
김영삼,	김영삼/NNP+,/SP
김대중	김대중/NNP
대통령과	대통령/NNG+과/JKB
맺은	맺/VV+은/ETM
인연	인연/NNG
덕이었다.	덕/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.291.3.2
가방 장사를 하던 김혁규는 전두환 정권 시절이던 1980년대 중반 여러모로 어려움을 겪던 김영삼을 경제적으로 지원한 뒤 국내로 돌아와 경남지사와 국회의원을 지냈다.

가방	가방/NNG
장사를	장사/NNG+를/JKO
하던	하/VV+던/ETM
김혁규는	김혁규/NNP+는/JX
전두환	전두환/NNP
정권	정권/NNG
시절이던	시절/NNG+이/VCP+던/ETM
1980년대	1980/SN+년대/NNB
중반	중반/NNG
여러모로	여러모로/MAG
어려움을	어려움/NNG+을/JKO
겪던	겪/VV+던/ETM
김영삼을	김영삼/NNP+을/JKO
경제적으로	경제/NNG+적/XSN+으로/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국내로	국내/NNG+로/JKB
돌아와	돌아오/VV+아/EC
경남지사와	경남/NNP+지사/NNG+와/JC
국회의원을	국회/NNG+의원/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.3.3
가발 장사를 했던 박지원도 정치적 망명 생활을 하던 김대중을 후원한 인연으로 'DJ의 남자'가 돼 청와대 비서실장을 지냈고 당대표에까지 올랐다.

가발	가발/NNG
장사를	장사/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
박지원도	박지원/NNP+도/JX
정치적	정치/NNG+적/XSN
망명	망명/NNG
생활을	생활/NNG+을/JKO
하던	하/VV+던/ETM
김대중을	김대중/NNP+을/JKO
후원한	후원/NNG+하/XSV+ㄴ/ETM
인연으로	인연/NNG+으로/JKB
'DJ의	'/SS+DJ/SL+의/JKG
남자'가	남자/NNG+'/SS+가/JKC
돼	되/VV+어/EC
청와대	청와대/NNP
비서실장을	비서실장/NNG+을/JKO
지냈고	지내/VV+었/EP+고/EC
당대표에까지	당/NNG+대표/NNG+에/JKB+까지/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.291.4.1
▶최순실씨가 독일 프랑크푸르트에서 맺은 인연들이 화제다.

▶최순실씨가	▶/SW+최순실/NNP+씨/NNB+가/JKS
독일	독일/NNP
프랑크푸르트에서	프랑크푸르트/NNP+에서/JKB
맺은	맺/VV+은/ETM
인연들이	인연/NNG+들/XSN+이/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.4.2
프랑크푸르트는 최씨가 남편이었던 정윤회씨와 25년 전 제법 큰 식당을 운영했던 곳이다.

프랑크푸르트는	프랑크푸르트/NNP+는/JX
최씨가	최/NNP+씨/NNB+가/JKS
남편이었던	남편/NNG+이/VCP+었/EP+던/ETM
정윤회씨와	정윤회/NNP+씨/NNB+와/JKB
25년	25/SN+년/NNB
전	전/NNG
제법	제법/MAG
큰	크/VA+ㄴ/ETM
식당을	식당/NNG+을/JKO
운영했던	운영/NNG+하/XSV+았/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.4.3
남편을 처음 본 것도 프랑크푸르트로 가는 비행기 안이었다고 한다.

남편을	남편/NNG+을/JKO
처음	처음/NNG
본	보/VV+ㄴ/ETM
것도	것/NNB+도/JX
프랑크푸르트로	프랑크푸르트/NNP+로/JKB
가는	가/VV+는/ETM
비행기	비행기/NNG
안이었다고	안/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.291.4.4
그때만 해도 이곳이 최순실 사태의 한 무대가 될 줄은 몰랐을 것이다.

그때만	그때/NNG+만/JX
해도	하/VV+아도/EC
이곳이	이곳/NP+이/JKS
최순실	최순실/NNP
사태의	사태/NNG+의/JKG
한	한/MMN
무대가	무대/NNG+가/JKC
될	되/VV+ㄹ/ETM
줄은	줄/NNB+은/JX
몰랐을	모르/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.4.5
그곳에서 한국서 파견 나온 은행 본부장, 대기업 직원, 항공사 지점장 등이 최씨와 엮였다.

그곳에서	그곳/NP+에서/JKB
한국서	한국/NNP+서/JKB
파견	파견/NNG
나온	나오/VV+ㄴ/ETM
은행	은행/NNG
본부장,	본부장/NNG+,/SP
대기업	대/XPN+기업/NNG
직원,	직원/NNG+,/SP
항공사	항공사/NNG
지점장	지점장/NNG
등이	등/NNB+이/JKS
최씨와	최/NNP+씨/NNB+와/JKB
엮였다.	엮이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.4.6
최씨는 이 인맥을 빠짐없이 챙겼다.

최씨는	최/NNP+씨/NNB+는/JX
이	이/MMD
인맥을	인맥/NNG+을/JKO
빠짐없이	빠짐없이/MAG
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.4.7
나중에 자기 사업에 활용할 목적이었다.

나중에	나중/NNG+에/JKB
자기	자기/NP
사업에	사업/NNG+에/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
목적이었다.	목적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.291.5.1
▶작년 5월 삼성전기 전무에서 일약 주미얀마 대사로 발탁된 유재경씨가 대표적이다.

▶작년	▶/SW+작년/NNG
5월	5/SN+월/NNB
삼성전기	삼성전기/NNP
전무에서	전무/NNG+에서/JKB
일약	일약/MAG
주미얀마	주미얀마/NNG
대사로	대사/NNG+로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
유재경씨가	유재경/NNP+씨/NNB+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.5.2
유씨는 10여 년 전 대학 후배인 이상화 KEB하나은행 본부장과 프랑크푸르트에서 근무하면서 가깝게 지냈다.

유씨는	유/NNP+씨/NNB+는/JX
10여	10/SN+여/XSN
년	년/NNB
전	전/NNG
대학	대학/NNG
후배인	후배/NNG+이/VCP+ㄴ/ETM
이상화	이상화/NNP
KEB하나은행	KEB하나은행/NNP
본부장과	본부장/NNG+과/JC
프랑크푸르트에서	프랑크푸르트/NNP+에서/JKB
근무하면서	근무/NNG+하/XSV+면서/EC
가깝게	가깝/VA+게/EC
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.5.3
이 본부장은 최씨 재산 관리를 도와줬다고 한다.

이	이/NNP
본부장은	본부장/NNG+은/JX
최씨	최/NNP+씨/NNB
재산	재산/NNG
관리를	관리/NNG+를/JKO
도와줬다고	도와주/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.291.5.4
이 본부장이 유씨를 대사 후보로 최씨에게 추천했다.

이	이/NNP
본부장이	본부장/NNG+이/JKS
유씨를	유/NNP+씨/NNB+를/JKO
대사	대사/NNG
후보로	후보/NNG+로/JKB
최씨에게	최/NNP+씨/NNB+에게/JKB
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.291.5.5
유씨는 작년 3월 이 본부장에게 '못난 선배 챙겨줘서 고마우이'란 문자 메시지를 보냈다.

유씨는	유/NNP+씨/NNB+는/JX
작년	작년/NNG
3월	3/SN+월/NNB
이	이/NNP
본부장에게	본부장/NNG+에게/JKB
'못난	'/SS+못나/VV+ㄴ/ETM
선배	선배/NNG
챙겨줘서	챙기/VV+어/EC+주/VX+어서/EC
고마우이'란	고맙/VA+으이/EF+'/SS+란/ETM
문자	문자/NNG
메시지를	메시지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.291.5.6
이 문자 때문에 유씨가 최씨라는 배경을 진술할 수밖에 없었다고 한다.

이	이/MMD
문자	문자/NNG
때문에	때문/NNB+에/JKB
유씨가	유/NNP+씨/NNB+가/JKS
최씨라는	최/NNP+씨/NNB+이/VCP+라는/ETM
배경을	배경/NNG+을/JKO
진술할	진술/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다고	없/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.291.6.1
▶이 본부장도 최씨에게 청탁해 지난해 본부장으로 승진했다.

▶이	▶/SW+이/NNP
본부장도	본부장/NNG+도/JX
최씨에게	최/NNP+씨/NNB+에게/JKB
청탁해	청탁/NNG+하/XSV+아/EC
지난해	지난해/NNG
본부장으로	본부장/NNG+으로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.291.6.2
대한항공 프랑크푸르트 지점장도 최씨에게 연임을 청탁했다.

대한항공	대한항공/NNP
프랑크푸르트	프랑크푸르트/NNP
지점장도	지점장/NNG+도/JX
최씨에게	최/NNP+씨/NNB+에게/JKB
연임을	연임/NNG+을/JKO
청탁했다.	청탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.291.6.3
대한무역투자진흥공사 프랑크푸르트 무역관장을 지낸 이가 지난해 한국국제협력단 이사장에 오른 것도 최씨 입김 아니냐는 얘기도 나온다고 한다.

대한무역투자진흥공사	대한무역투자진흥공사/NNP
프랑크푸르트	프랑크푸르트/NNP
무역관장을	무역관장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
이가	이/NNB+가/JKS
지난해	지난해/NNG
한국국제협력단	한국국제협력단/NNP
이사장에	이사장/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것도	것/NNB+도/JX
최씨	최/NNP+씨/NNB
입김	입김/NNG
아니냐는	아니/VCN+냐는/ETM
얘기도	얘기/NNG+도/JX
나온다고	나오/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.291.6.4
나중에 최씨가 딸과 함께 도피한 곳도 프랑크푸르트 인근이었다.

나중에	나중/NNG+에/JKB
최씨가	최/NNP+씨/NNB+가/JKS
딸과	딸/NNG+과/JKB
함께	함께/MAG
도피한	도피/NNG+하/XSV+ㄴ/ETM
곳도	곳/NNG+도/JX
프랑크푸르트	프랑크푸르트/NNP
인근이었다.	인근/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.291.6.5
프랑크푸르트는 괴테의 고향으로 유럽 교통과 금융 중심지다.

프랑크푸르트는	프랑크푸르트/NNP+는/JX
괴테의	괴테/NNP+의/JKG
고향으로	고향/NNG+으로/JKB
유럽	유럽/NNP
교통과	교통/NNG+과/JC
금융	금융/NNG
중심지다.	중심지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.291.6.6
차범근이 뛴 분데스리가 팀이 있어 친숙해진 곳이기도 하다.

차범근이	차범근/NNP+이/JKS
뛴	뛰/VV+ㄴ/ETM
분데스리가	분데스리가/NNG
팀이	팀/NNG+이/JKS
있어	있/VA+어/EC
친숙해진	친숙/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
곳이기도	곳/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000054.291.6.7
이제 그곳에 가면 최씨를 떠올리게 될까.

이제	이제/MAG
그곳에	그곳/NP+에/JKB
가면	가/VV+면/EC
최씨를	최/NNP+씨/NNB+를/JKO
떠올리게	떠올리/VV+게/EC
될까.	되/VV+ㄹ까/EF+./SF


