# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.46
metadata : {}


# id : NWRW1800000032.46.1.1
은퇴 뒤 주거지 고르는 ABC

은퇴	은퇴/NNG
뒤	뒤/NNG
주거지	주거지/NNG
고르는	고르/VV+는/ETM
ABC	ABC/SL


# id : NWRW1800000032.46.2.1
노인에 맞는 집안 구조

노인에	노인/NNG+에/JKB
맞는	맞/VV+는/ETM
집안	집/NNG+안/NNG
구조	구조/NNG


# id : NWRW1800000032.46.3.1
부동산-금융자산 균형

부동산-금융자산	부동산/NNG+-/SO+금융/NNG+자산/NNG
균형	균형/NNG


# id : NWRW1800000032.46.4.1
고립 피할 공동체 필요

고립	고립/NNG
피할	피하/VV+ㄹ/ETM
공동체	공동체/NNG
필요	필요/NNG


# id : NWRW1800000032.46.5.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000032.46.6.1
삼성생명 은퇴연구소는 지난 22일 은퇴를 앞둔 베이비부머(1955~1963년생)의 고민을 덜어주기 위해 ‘은퇴 후 주거계획 보고서’를 발표하고, 행복한 삶을 위한 주거 가이드로 ‘에이비시(ABC) 원칙’을 제시했다.

삼성생명	삼성생명/NNP
은퇴연구소는	은퇴연구소/NNP+는/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
은퇴를	은퇴/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
베이비부머(1955~1963년생)의	베이비부머/NNG+(/SS+1955/SN+~/SO+1963/SN+년/NNB+생/XSN+)/SS+의/JKG
고민을	고민/NNG+을/JKO
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
‘은퇴	‘/SS+은퇴/NNG
후	후/NNG
주거계획	주거/NNG+계획/NNG
보고서’를	보고서/NNG+’/SS+를/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
행복한	행복/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주거	주거/NNG
가이드로	가이드/NNG+로/JKB
‘에이비시(ABC)	‘/SS+에이비시/NNG+(/SS+ABC/SL+)/SS
원칙’을	원칙/NNG+’/SS+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.46.7.1
에이(A)는 ‘자기 집에서 보내는 노후에 대비하라’(Aging in place)는 것이다.

에이(A)는	에이/NNG+(/SS+A/SL+)/SS+는/JX
‘자기	‘/SS+자기/NNG
집에서	집/NNG+에서/JKB
보내는	보내/VV+는/ETM
노후에	노후/NNG+에/JKB
대비하라’(Aging	대비/NNG+하/XSV+라/EF+’/SS+(/SS+Aging/SL
in	in/SL
place)는	place/SL+)/SS+는/JX
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.7.2
고령에 자신의 집에서 생활할 경우 욕실에서 미끄러지나 집 앞 계단에서 발을 헛디디는 등 낙상 위험이 높기 때문이다.

고령에	고령/NNG+에/JKB
자신의	자신/NNG+의/JKG
집에서	집/NNG+에서/JKB
생활할	생활/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
욕실에서	욕실/NNG+에서/JKB
미끄러지나	미끄러지/VV+나/EC
집	집/NNG
앞	앞/NNG
계단에서	계단/NNG+에서/JKB
발을	발/NNG+을/JKO
헛디디는	헛디디/VV+는/ETM
등	등/NNB
낙상	낙상/NNG
위험이	위험/NNG+이/JKS
높기	높/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.7.3
실제로 미국에선 2003년 65살 이상 노인 1만3700명이 낙상으로 사망했고 우리나라도 65살 이상 재가노인의 3분의 1이 매년 1회 이상 낙상 사고를 당하고 있다.

실제로	실제로/MAG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
2003년	2003/SN+년/NNB
65살	65/SN+살/NNB
이상	이상/NNG
노인	노인/NNG
1만3700명이	1/SN+만/NR+3700/SN+명/NNB+이/JKS
낙상으로	낙상/NNG+으로/JKB
사망했고	사망/NNG+하/XSV+았/EP+고/EC
우리나라도	우리나라/NNG+도/JX
재가노인의	재가/NNG+노인/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1이	1/SN+이/JKS
매년	매년/MAG
1회	1/SN+회/NNB
낙상	낙상/NNG
사고를	사고/NNG+를/JKO
당하고	당하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.46.7.4
따라서 낙상 사고를 막기 위해 욕실에 미끄럼 방지 시설을 갖추는 등 고령자 친화 디자인이 필요하다는 것이다.

따라서	따라서/MAJ
낙상	낙상/NNG
사고를	사고/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
욕실에	욕실/NNG+에/JKB
미끄럼	미끄럼/NNG
방지	방지/NNG
시설을	시설/NNG+을/JKO
갖추는	갖추/VV+는/ETM
등	등/NNB
고령자	고령자/NNG
친화	친화/NNG
디자인이	디자인/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.8.1
비(B)는 ‘부동산과 금융자산의 균형’(Balance)이다.

비(B)는	비/NNG+(/SS+B/SL+)/SS+는/JX
‘부동산과	‘/SS+부동산/NNG+과/JC
금융자산의	금융/NNG+자산/NNG+의/JKG
균형’(Balance)이다.	균형/NNG+’/SS+(/SS+Balance/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.8.2
한국 60대 가구주의 자산 중 부동산 비중은 85.6%로, 부동산 자산 편중 현상이 심각하다.

한국	한국/NNP
60대	60/SN+대/NNB
가구주의	가구주/NNG+의/JKG
자산	자산/NNG
중	중/NNB
부동산	부동산/NNG
비중은	비중/NNG+은/JX
85.6%로,	85/SN+./SP+6/SN+%/SW+로/JKB+,/SP
편중	편중/NNG
현상이	현상/NNG+이/JKS
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000032.46.8.3
미국(32.9%)과 일본(39.5%) 등 선진국과 비교할 때 2~3배 높은 비중이다.

미국(32.9%)과	미국/NNP+(/SS+32/SN+./SP+9/SN+%/SW+)/SS+과/JC
일본(39.5%)	일본/NNP+(/SS+39/SN+./SP+5/SN+%/SW+)/SS
등	등/NNB
선진국과	선진국/NNG+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
때	때/NNG
2~3배	2/SN+~/SO+3/SN+배/NNG
높은	높/VA+은/ETM
비중이다.	비중/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.8.4
주택 규모를 줄여 여윳돈을 마련하고 그 돈을 일시납 즉시연금에 가입하는 방법이 대표적이다.

주택	주택/NNG
규모를	규모/NNG+를/JKO
줄여	줄이/VV+어/EC
여윳돈을	여윳돈/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
그	그/MMD
돈을	돈/NNG+을/JKO
일시납	일시납/NNG
즉시연금에	즉시/NNG+연금/NNG+에/JKB
가입하는	가입/NNG+하/XSV+는/ETM
방법이	방법/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.46.8.5
예를 들어 7억원짜리 아파트에 사는 60살 남성이 4억원짜리 아파트로 옮기고 3억원을 일시납 즉시연금에 넣으면 다음달부터 134만원을 받을 수 있다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
