# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.433
metadata : {}


# id : NWRW1800000024.433.1.1
##온/7면/진실화해위도 보수화되나

##온/7면/진실화해위도	#/SW+#/SW+온/NNG+//SP+7/SN+면/NNG+//SP+진실/NNG+화해위/NNG+도/JX
보수화되나	보수/NNG+화/XSN+되/XSV+나/EF


# id : NWRW1800000024.433.2.1
오는 30일 임기가 끝나는 안병욱 ‘진실·화해를 위한 과거사정리위원회’(진실화해위) 위원장의 후임에 이영조 진실화해위 상임위원이, 다음달 초 물러나는 김동춘 상임위원의 후임에 김용직 성신여대 교수(정치외교학)가 각각 내정된 것으로 알려졌다.

오는	오/VV+는/ETM
30일	30/SN+일/NNB
임기가	임기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
안병욱	안병욱/NNP
‘진실·화해를	‘/SS+진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회’(진실화해위)	과거사/NNG+정리/NNG+위원회/NNG+’/SS+(/SS+진실/NNG+화해위/NNG+)/SS
위원장의	위원장/NNG+의/JKG
후임에	후임/NNG+에/JKB
이영조	이영조/NNP
진실화해위	진실/NNG+화해위/NNG
상임위원이,	상임/NNG+위원/NNG+이/JKS+,/SP
다음달	다음/NNG+달/NNG
초	초/NNB
물러나는	물러나/VV+는/ETM
김동춘	김동춘/NNP
상임위원의	상임/NNG+위원/NNG+의/JKG
김용직	김용직/NNP
성신여대	성신여대/NNP
교수(정치외교학)가	교수/NNG+(/SS+정치/NNG+외교학/NNG+)/SS+가/JKS
각각	각각/MAG
내정된	내정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.433.2.2
두 사람은 모두 보수 성향 시민단체에서 주도적으로 활동한 경력이 있어, 진실화해위가 보수화하는 것 아니냐는 우려가 나오고 있다.

두	두/MMN
사람은	사람/NNG+은/JX
모두	모두/MAG
보수	보수/NNG
성향	성향/NNG
시민단체에서	시민/NNG+단체/NNG+에서/JKB
주도적으로	주도/NNG+적/XSN+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
경력이	경력/NNG+이/JKS
있어,	있/VA+어/EC+,/SP
진실화해위가	진실/NNG+화해위/NNG+가/JKS
보수화하는	보수/NNG+화/XSN+하/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.433.3.1
진실화해위 관계자는 20일 “청와대가 대통령 지명 몫인 안병욱 위원장 후임으로 이영조 상임위원을, 김동춘 상임위원 후임으로 김용직 교수를 임명하기로 결정한 것으로 안다”고 말했다.

진실화해위	진실/NNG+화해위/NNG
관계자는	관계자/NNG+는/JX
20일	20/SN+일/NNB
“청와대가	“/SS+청와대/NNP+가/JKS
대통령	대통령/NNG
지명	지명/NNG
몫인	몫/NNG+이/VCP+ㄴ/ETM
안병욱	안병욱/NNP
위원장	위원장/NNG
후임으로	후임/NNG+으로/JKB
이영조	이영조/NNP
