# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.57
metadata : {}


# id : NWRW1800000033.57.1.1
서비스업 中企적합업종 선정 한달 연기

서비스업	서비스업/NNG
中企적합업종	中企/SH+적합/NNG+업종/NNG
선정	선정/NNG
한달	한/MMN+달/NNB
연기	연기/NNG


# id : NWRW1800000033.57.2.1
프랜차이즈 업주들 반발에 동반성장위 한발 물러서… “제과업계와 중재안 곧 마련”

프랜차이즈	프랜차이즈/NNG
업주들	업주/NNG+들/XSN
반발에	반발/NNG+에/JKB
동반성장위	동반/NNG+성장위/NNG
한발	한발/MAG
물러서…	물러서/VV+어/EF+…/SE
“제과업계와	“/SS+제과업/NNG+계/XSN+와/JKB
중재안	중재안/NNG
곧	곧/MAG
마련”	마련/NNG+”/SS


# id : NWRW1800000033.57.3.1
동반성장위원회가 제과업 등 서비스업의 중소기업적합업종 지정 여부를 내년으로 연기했다.

동반성장위원회가	동반/NNG+성장/NNG+위원회/NNG+가/JKS
제과업	제과업/NNG
등	등/NNB
서비스업의	서비스업/NNG+의/JKG
중소기업적합업종	중소기업/NNG+적합/NNG+업종/NNG
지정	지정/NNG
여부를	여부/NNG+를/JKO
내년으로	내년/NNG+으로/JKB
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.4.1
동반성장위는 27일 서울 서초구 반포동 팔래스호텔에서 제20차 위원회 회의를 열어 2시간여 동안 이 안건을 논의했지만 결론을 내리지 못하고 한 달가량 뒤 다시 논의하기로 했다.

동반성장위는	동반/NNG+성장위/NNG+는/JX
27일	27/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
반포동	반포동/NNP
팔래스호텔에서	팔래스호텔/NNP+에서/JKB
제20차	제/XPN+20/SN+차/NNB
위원회	위원회/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
2시간여	2/SN+시간/NNB+여/XSN
동안	동안/NNG
이	이/MMD
안건을	안건/NNG+을/JKO
논의했지만	논의/NNG+하/XSV+았/EP+지만/EC
결론을	결론/NNG+을/JKO
내리지	내리/VV+지/EC
못하고	못하/VX+고/EC
한	한/MMN
달가량	달/NNB+가량/XSN
뒤	뒤/NNG
다시	다시/MAG
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.5.1
유장희 위원장은 “전국에 3000개가 넘는 점포를 갖고 있는 유명 프랜차이즈 제과업체도 직영 점포는 46개에 불과하고 나머지는 자영업자인 소자본주들이 운영하는 가맹점”이라며 “시장점유율이 높은 프랜차이즈라 해서 대기업으로 분류하는 게 맞는지 더 논의해야 한다고 생각해 결정을 연기했다”고 설명했다.

유장희	유장희/NNP
위원장은	위원장/NNG+은/JX
“전국에	“/SS+전국/NNG+에/JKB
3000개가	3000/SN+개/NNB+가/JKS
넘는	넘/VV+는/ETM
점포를	점포/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
유명	유명/NNG
프랜차이즈	프랜차이즈/NNG
제과업체도	제과업체/NNG+도/JX
직영	직영/NNG
점포는	점포/NNG+는/JX
46개에	46/SN+개/NNB+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
나머지는	나머지/NNG+는/JX
자영업자인	자영업자/NNG+이/VCP+ㄴ/ETM
소자본주들이	소/XPN+자본주/NNG+들/XSN+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
가맹점”이라며	가맹점/NNG+”/SS+이/VCP+라며/EC
“시장점유율이	“/SS+시장/NNG+점유/NNG+율/XSN+이/JKS
높은	높/VA+은/ETM
프랜차이즈라	프랜차이즈/NNG+이/VCP+라/EC
해서	하/VV+아서/EC
대기업으로	대/XPN+기업/NNG+으로/JKB
분류하는	분류/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞는지	맞/VV+는지/EF
더	더/MAG
논의해야	논의/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각해	생각/NNG+하/XSV+아/EC
결정을	결정/NNG+을/JKO
연기했다”고	연기/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.57.6.1
동반성장위는 향후 한 달 동안 SPC, 뚜레쥬르와 대한제과협회 등 제과업계가 합의할 수 있는 중재안을 마련하는 데 최선을 다한다는 계획이다.

