# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.170
metadata : {}


# id : NWRW1800000033.170.1.1
배구 스카우트 비리… 프로감독 등 10명 연루

배구	배구/NNG
스카우트	스카우트/NNG
비리…	비리/NNG+…/SE
프로감독	프로/NNG+감독/NNG
등	등/NNB
10명	10/SN+명/NNB
연루	연루/NNG


# id : NWRW1800000033.170.2.1
대학의 고교유망주 영입 과정에 도움 주고 뒷돈 챙겨국가대표 출신 3명 포함… 혐의확인 5, 6명 계좌 추적

대학의	대학/NNG+의/JKG
고교유망주	고교/NNG+유망주/NNG
영입	영입/NNG
과정에	과정/NNG+에/JKB
도움	도움/NNG
주고	주/VV+고/EC
뒷돈	뒷돈/NNG
챙겨국가대표	챙기/VV+어/EF+국가/NNG+대표/NNG
출신	출신/NNG
3명	3/SN+명/NNB
포함…	포함/NNG+…/SE
혐의확인	혐의/NNG+확인/NNG
5,	5/SN+,/SP
6명	6/SN+명/NNB
계좌	계좌/NNG
추적	추적/NNG


# id : NWRW1800000033.170.3.1
대학 운동부의 고교 우수선수 스카우트 비리에 인기 국가대표 출신 현직 배구팀 감독과 한국배구연맹 관계자들이 줄줄이 연루돼 검찰 수사가 배구계 전반으로 확대되고 있다.

대학	대학/NNG
운동부의	운동부/NNG+의/JKG
고교	고교/NNG
우수선수	우수/NNG+선수/NNG
스카우트	스카우트/NNG
비리에	비리/NNG+에/JKB
인기	인기/NNG
국가대표	국가/NNG+대표/NNG
출신	출신/NNG
현직	현직/NNG
배구팀	배구/NNG+팀/NNG
감독과	감독/NNG+과/JC
한국배구연맹	한국배구연맹/NNP
관계자들이	관계자/NNG+들/XSN+이/JKS
줄줄이	줄줄이/MAG
연루돼	연루/NNG+되/XSV+어/EC
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
배구계	배구/NNG+계/XSN
전반으로	전반/NNG+으로/JKB
확대되고	확대/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.170.4.1
서울중앙지검 특별수사2부(부장 한동영)는 최근 대학 운동부 고교 우수선수 영입 과정에서의 비리를 수사하던 중 참고인들로부터 현직 프로배구팀 감독과 대학배구팀 감독, 배구협회 간부 등 10여 명이 금품을 수수했다는 진술을 확보했다.

서울중앙지검	서울중앙지검/NNP
특별수사2부(부장	특별/NNG+수사/NNG+2부/NNG+(/SS+부장/NNG
한동영)는	한동영/NNP+)/SS+는/JX
최근	최근/MAG
대학	대학/NNG
운동부	운동부/NNG
고교	고교/NNG
우수선수	우수/NNG+선수/NNG
영입	영입/NNG
과정에서의	과정/NNG+에서/JKB+의/JKG
비리를	비리/NNG+를/JKO
수사하던	수사/NNG+하/XSV+던/ETM
중	중/NNB
참고인들로부터	참고인/NNG+들/XSN+로부터/JKB
현직	현직/NNG
프로배구팀	프로/NNG+배구/NNG+팀/NNG
감독과	감독/NNG+과/JC
대학배구팀	대학/NNG+배구/NNG+팀/NNG
감독,	감독/NNG+,/SP
배구협회	배구/NNG+협회/NNG
간부	간부/NNG
등	등/NNB
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
금품을	금품/NNG+을/JKO
수수했다는	수수/NNG+하/XSV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.170.4.2
검찰은 이 가운데 혐의가 드러난 5, 6명에 대해서는 계좌를 추적하고 있는 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
이	이/MMD
가운데	가운데/NNG
혐의가	혐의/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
5,	5/SN+,/SP
6명에	6/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
계좌를	계좌/NNG+를/JKO
추적하고	추적/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.170.5.1
현재 검찰 수사 선상에 오른 감독 중에는 국가대표 왼쪽 공격수(레프트)로 이름을 떨친 A 씨와 유명 센터로 이름을 떨친 B 씨 등이 포함돼 있다.

현재	현재/MAG
검찰	검찰/NNG
수사	수사/NNG
선상에	선상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
감독	감독/NNG
중에는	중/NNB+에/JKB+는/JX
국가대표	국가/NNG+대표/NNG
왼쪽	왼쪽/NNG
공격수(레프트)로	공격수/NNG+(/SS+레프트/NNG+)/SS+로/JKB
이름을	이름/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
A	A/SL
씨와	씨/NNB+와/JKB
유명	유명/NNG
센터로	센터/NNG+로/JKB
B	B/SL
씨	씨/NNB
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.170.5.2
또 센터와 오른쪽 공격수(라이트)를 오가며 소속 팀을 수차례 우승시킨 C 씨도 수사 선상에 올랐다.

또	또/MAG
센터와	센터/NNG+와/JC
오른쪽	오른쪽/NNG
공격수(라이트)를	공격수/NNG+(/SS+라이트/NNG+)/SS+를/JKO
오가며	오가/VV+며/EC
소속	소속/NNG
팀을	팀/NNG+을/JKO
수차례	수차례/NNG
우승시킨	우승/NNG+시키/XSV+ㄴ/ETM
C	C/SL
씨도	씨/NNB+도/JX
수사	수사/NNG
선상에	선상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.170.5.3
B 씨와 C 씨는 최근 검찰에 참고인으로 출석해 조사를 받았다.

B	B/SL
씨와	씨/NNB+와/JC
C	C/SL
씨는	씨/NNB+는/JX
최근	최근/MAG
검찰에	검찰/NNG+에/JKB
참고인으로	참고인/NNG+으로/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.170.5.4
A 씨도 검찰 소환이 불가피할 것으로 보인다.

A	A/SL
씨도	씨/NNB+도/JX
검찰	검찰/NNG
