# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.172
metadata : {}


# id : NWRW1800000054.172.1.1
180억 기부했는데 세금 폭탄… '7년 억울함' 풀릴까

180억	180/SN+억/NR
기부했는데	기부/NNG+하/XSV+았/EP+는데/EC
세금	세금/NNG
폭탄…	폭탄/NNG+…/SE
'7년	'/SS+7/SN+년/NNB
억울함'	억울/NNG+하/XSA+ㅁ/ETN+'/SS
풀릴까	풀리/VV+ㄹ까/EF


# id : NWRW1800000054.172.2.1
대법원, 황필상 前수원교차로 대표 사건 내일 선고

대법원,	대/XPN+법원/NNG+,/SP
황필상	황필상/NNP
前수원교차로	前/SH+수원교차로/NNP
대표	대표/NNG
사건	사건/NNG
내일	내일/MAG
선고	선고/NNG


# id : NWRW1800000054.172.3.1
대법원 전원합의체가 20일 모교인 아주대에 200억원대 주식과 현금을 기부했다가 기부액보다 더 많은 '세금 폭탄'을 맞게 된 황필상(70) 전 수원교차로 대표의 사건을 선고할 계획이라고 18일 밝혔다.

대법원	대/XPN+법원/NNG
전원합의체가	전원/NNG+합의체/NNG+가/JKS
20일	20/SN+일/NNB
모교인	모교/NNG+이/VCP+ㄴ/ETM
아주대에	아주대/NNP+에/JKB
200억원대	200/SN+억/NR+원/NNB+대/XSN
주식과	주식/NNG+과/JC
현금을	현금/NNG+을/JKO
기부했다가	기부/NNG+하/XSV+았/EP+다가/EC
기부액보다	기부액/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
'세금	'/SS+세금/NNG
폭탄'을	폭탄/NNG+'/SS+을/JKO
맞게	맞/VV+게/EC
된	되/VV+ㄴ/ETM
황필상(70)	황필상/NNP+(/SS+70/SN+)/SS
전	전/MMD
수원교차로	수원교차로/NNP
대표의	대표/NNG+의/JKG
사건을	사건/NNG+을/JKO
선고할	선고/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.3.2
2009년 12월 황씨가 수원세무서의 세금 부과에 불복해 소송을 낸 지 무려 7년 5개월 만에 대법원의 판단이 나오는 것이다.

2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
황씨가	황/NNP+씨/NNB+가/JKS
수원세무서의	수원세무서/NNP+의/JKG
세금	세금/NNG
부과에	부과/NNG+에/JKB
불복해	불복/NNG+하/XSV+아/EC
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
지	지/NNB
무려	무려/MAG
7년	7/SN+년/NNB
5개월	5/SN+개월/NNB
만에	만/NNB+에/JKB
대법원의	대/XPN+법원/NNG+의/JKG
판단이	판단/NNG+이/JKS
나오는	나오/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.3.3
기존 판례를 변경하거나 새로운 판례 수립을 위해 열리는 전원합의체는 양승태 대법원장이 재판장을 맡고 대법관 12명이 참여하는 재판부다.

기존	기존/NNG
판례를	판례/NNG+를/JKO
변경하거나	변경/NNG+하/XSV+거나/EC
새로운	새롭/VA+ㄴ/ETM
판례	판례/NNG
수립을	수립/NNG+을/JKO
위해	위하/VV+아/EC
열리는	열리/VV+는/ETM
전원합의체는	전원/NNG+합의체/NNG+는/JX
양승태	양승태/NNP
대법원장이	대법원장/NNG+이/JKS
재판장을	재판장/NNG+을/JKO
맡고	맡/VV+고/EC
대법관	대/XPN+법관/NNG
12명이	12/SN+명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
재판부다.	재판부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.172.4.1
황씨 사건은 공익 재단 등에 현금이 아닌 회사 주식을 기부할 때는 전체 발행 주식의 5%를 초과하는 부분에 대해 세금을 매기도록 규정한 상속·증여세법 때문에 벌어졌다.

황씨	황/NNP+씨/NNB
사건은	사건/NNG+은/JX
공익	공익/NNG
재단	재단/NNG
등에	등/NNB+에/JKB
현금이	현금/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
회사	회사/NNG
주식을	주식/NNG+을/JKO
기부할	기부/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
전체	전체/NNG
발행	발행/NNG
주식의	주식/NNG+의/JKG
5%를	5/SN+%/SW+를/JKO
초과하는	초과/NNG+하/XSV+는/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
세금을	세금/NNG+을/JKO
매기도록	매기/VV+도록/EC
규정한	규정/NNG+하/XSV+ㄴ/ETM
상속·증여세법	상속/NNG+·/SP+증여세법/NNG
때문에	때문/NNB+에/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.172.4.2
