# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.413
metadata : {}


# id : NWRW1800000046.413.1.1
17일만에 어색한 만남… 文 "신당 잘 되나요" 安 "네, 네"

17일만에	17/SN+일/NNB+만/NNB+에/JKB
어색한	어색하/VA+ㄴ/ETM
만남…	만남/NNG+…/SE
文	文/SH
"신당	"/SS+신당/NNG
잘	잘/MAG
되나요"	되/VV+나/EF+요/JX+"/SS
安	安/SH
"네,	"/SS+네/IC+,/SP
네"	네/IC+"/SS


# id : NWRW1800000046.413.2.1
故김근태 4주기서 조우… 2~3분 침묵, 시선 피하다 문재인 대표가 말문 열어

故김근태	故/SH+김근태/NNP
4주기서	4/SN+주기/NNB+서/JKB
조우…	조우/NNG+…/SE
2~3분	2/SN+~/SO+3/SN+분/NNB
침묵,	침묵/NNG+,/SP
시선	시선/NNG
피하다	피하/VV+다/EC
문재인	문재인/NNP
대표가	대표/NNG+가/JKS
말문	말문/NNG
열어	열/VV+어/EF


# id : NWRW1800000046.413.3.1
더불어민주당(약칭 더민주) 문재인 대표와 안철수 의원이 30일 고(故) 김근태 전 의원 4주기 추모 미사에서 만났다.

더불어민주당(약칭	더불어민주당/NNP+(/SS+약칭/NNG
더민주)	더민주/NNP+)/SS
문재인	문재인/NNP
대표와	대표/NNG+와/JC
안철수	안철수/NNP
의원이	의원/NNG+이/JKS
30일	30/SN+일/NNB
고(故)	고/MMA+(/SS+故/SH+)/SS
김근태	김근태/NNP
전	전/MMD
의원	의원/NNG
4주기	4/SN+주기/NNB
추모	추모/NNG
미사에서	미사/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.3.2
두 사람의 만남은 지난 13일 안 의원 탈당 이후 17일 만이다.

두	두/MMN
사람의	사람/NNG+의/JKG
만남은	만남/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
안	안/NNP
의원	의원/NNG
탈당	탈당/NNG
이후	이후/NNG
17일	17/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.413.3.3
13일 새벽 문 대표는 안 의원의 자택을 찾았지만 안 의원은 "다음 날 보자"며 잠깐 만나고 헤어졌다.

13일	13/SN+일/NNB
새벽	새벽/NNG
문	문/NNP
대표는	대표/NNG+는/JX
안	안/NNP
의원의	의원/NNG+의/JKG
자택을	자택/NNG+을/JKO
찾았지만	찾/VV+았/EP+지만/EC
의원은	의원/NNG+은/JX
"다음	"/SS+다음/NNG
날	날/NNG
보자"며	보/VV+자/EF+"/SS+며/EC
잠깐	잠깐/MAG
만나고	만나/VV+고/EC
헤어졌다.	헤어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.413.3.4
그렇게 갈라선 두 사람 사이엔 이날 시종일관 침묵이 흐르거나 형식적 대화만 오갔다.

그렇게	그렇/VA+게/EC
갈라선	갈라서/VV+ㄴ/ETM
두	두/MMN
사람	사람/NNG
사이엔	사이/NNG+에/JKB+ㄴ/JX
이날	이날/NNG
시종일관	시종일관/NNG
침묵이	침묵/NNG+이/JKS
흐르거나	흐르/VV+거나/EC
형식적	형식/NNG+적/XSN
대화만	대화/NNG+만/JX
오갔다.	오가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.4.1
이날 오전 10시 20분쯤 서울 도봉구 창동성당에 들어선 문 대표는 휴게실에 먼저 도착해 있던 문희상·이인영 의원 등과 인사를 나누고 탁자에 앉았다.

이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
서울	서울/NNP
도봉구	도봉구/NNP
창동성당에	창동성당/NNP+에/JKB
들어선	들어서/VV+ㄴ/ETM
문	문/NNP
대표는	대표/NNG+는/JX
휴게실에	휴게실/NNG+에/JKB
먼저	먼저/MAG
도착해	도착/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
문희상·이인영	문희상/NNP+·/SP+이인영/NNP
의원	의원/NNG
등과	등/NNB+과/JKB
인사를	인사/NNG+를/JKO
나누고	나누/VV+고/EC
탁자에	탁자/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.4.2
3분 뒤 안 의원이 들어왔다.

3분	3/SN+분/NNB
뒤	뒤/NNG
안	안/NNP
의원이	의원/NNG+이/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.4.3
두 사람은 어색한 미소를 지으며 악수했다.

두	두/MMN
사람은	사람/NNG+은/JX
어색한	어색하/VA+ㄴ/ETM
미소를	미소/NNG+를/JKO
지으며	짓/VV+으며/EC
악수했다.	악수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.4.4
나란히 앉았지만 2~3분간 말이 없었다.

나란히	나란히/MAG
앉았지만	앉/VV+았/EP+지만/EC
2~3분간	2/SN+~/SO+3/SN+분/NNB+간/XSN
말이	말/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.413.4.5
문 대표는 자기 오른쪽의 문희상 의원에게 시선을 보냈고 안 의원은 굳은 얼굴로 왼쪽의 취재진을 봤다.

문	문/NNP
대표는	대표/NNG+는/JX
자기	자기/NP
오른쪽의	오른쪽/NNG+의/JKG
문희상	문희상/NNP
의원에게	의원/NNG+에게/JKB
시선을	시선/NNG+을/JKO
보냈고	보내/VV+었/EP+고/EC
안	안/NNP
의원은	의원/NNG+은/JX
굳은	굳/VA+은/ETM
얼굴로	얼굴/NNG+로/JKB
왼쪽의	왼쪽/NNG+의/JKG
취재진을	취재진/NNG+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.5.1
말문을 연 건 문 대표였다.

말문을	말문/NNG+을/JKO
연	열/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
문	문/NNP
대표였다.	대표/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.413.5.2
문 대표는 "뭐, 신당 작업은 잘돼 갑니까"라고 물었다.

문	문/NNP
대표는	대표/NNG+는/JX
"뭐,	"/SS+뭐/IC+,/SP
신당	신당/NNG
작업은	작업/NNG+은/JX
잘돼	잘/MAG+되/XSV+어/EC
갑니까"라고	가/VX+ㅂ니까/EF+"/SS+라고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.413.5.3
안 의원은 "최선을 다하고 있습니다. (바빠서) 연말연시가 없을 것 같습니다"고 했다.

안	안/NNP
의원은	의원/NNG+은/JX
"최선을	"/SS+최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF
(바빠서)	(/SS+바쁘/VA+아서/EC+)/SS
연말연시가	연말연시/NNG+가/JKS
없을	없/VA+을/ETM
것	것/NNB
같습니다"고	같/VA+습니다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.413.5.4
