# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.146
metadata : {}


# id : NWRW1800000037.146.1.1
[문학예술]죽고 나서 7일간의 여정… 中 위화의 신작소설

[문학예술]죽고	[/SS+문학예술/NNG+]/SS+죽/VV+고/EC
나서	나/VX+아서/EC
7일간의	7/SN+일/NNB+간/XSN+의/JKG
여정…	여정/NNG+…/SE
中	中/SH
위화의	위화/NNP+의/JKG
신작소설	신작/NNG+소설/NNG


# id : NWRW1800000037.146.2.1
◇제7일/위화 지음·문현선 옮김/304쪽·1만3000원/푸른숲

◇제7일/위화	◇/SW+제/XPN+7/SN+일/NNB+//SP+위화/NNP
지음·문현선	짓/VV+음/ETN+·/SP+문현선/NNP
옮김/304쪽·1만3000원/푸른숲	옮기/VV+ㅁ/ETN+//SP+304/SN+쪽/NNG+·/SP+1/SN+만/NR+3000/SN+원/NNB+//SP+푸른숲/NNP


# id : NWRW1800000037.146.3.1
매일 오가던 집 앞 도로였다.

매일	매일/MAG
오가던	오가/VV+던/ETM
집	집/NNG
앞	앞/NNG
도로였다.	도로/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.146.3.2
운전대가 갑자기 헛돌더니 차가 중앙선을 넘었다.

운전대가	운전대/NNG+가/JKS
갑자기	갑자기/MAG
헛돌더니	헛돌/VV+더니/EC
차가	차/NNG+가/JKS
중앙선을	중앙선/NNG+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.146.3.3
굴다리 콘크리트 기둥이 눈앞으로 밀려왔다.

굴다리	굴다리/NNG
콘크리트	콘크리트/NNG
기둥이	기둥/NNG+이/JKS
눈앞으로	눈앞/NNG+으로/JKB
밀려왔다.	밀려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.146.3.4
죽음은 대개 살아오는 동안 따랐던 기준과 상식에 비추어 말도 안 되는 형태로 찾아온다.

죽음은	죽음/NNG+은/JX
대개	대개/MAG
살아오는	살아오/VV+는/ETM
동안	동안/NNG
따랐던	따르/VV+았/EP+던/ETM
기준과	기준/NNG+과/JC
상식에	상식/NNG+에/JKB
비추어	비추/VV+어/EC
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
형태로	형태/NNG+로/JKB
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


