# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.103
metadata : {}


# id : NWRW1800000038.103.1.1
[화제人] 밀라노 국제가구박람회서 호평받은 서울대 공대 벤처기업 '움직임' CEO 양재혁씨

[화제人]	[/SS+화제/NNG+人/SH+]/SS
밀라노	밀라노/NNP
국제가구박람회서	국제/NNG+가구/NNG+박람회/NNG+서/JKB
호평받은	호평/NNG+받/XSV+은/ETM
서울대	서울대/NNP
공대	공대/NNG
벤처기업	벤처/NNG+기업/NNG
'움직임'	'/SS+움직임/NNP+'/SS
CEO	CEO/SL
양재혁씨	양재혁/NNP+씨/NNB


# id : NWRW1800000038.103.2.1
"유럽인들, 단순·명쾌한 우리 철제 책꽂이에 열광"

"유럽인들,	"/SS+유럽인/NNG+들/XSN+,/SP
단순·명쾌한	단순/NNG+·/SP+명쾌하/VA+ㄴ/ETM
우리	우리/NP
철제	철제/NNG
책꽂이에	책꽂이/NNG+에/JKB
열광"	열광/NNG+"/SS


# id : NWRW1800000038.103.3.1
"서울에서 온 스물다섯 살의 젊은이가 가구용품의 오랜 문제를 해결했다."

"서울에서	"/SS+서울/NNP+에서/JKB
온	오/VV+ㄴ/ETM
스물다섯	스물다섯/NR
살의	살/NNB+의/JKG
젊은이가	젊은이/NNG+가/JKS
가구용품의	가구/NNG+용품/NNG+의/JKG
오랜	오랜/MMA
문제를	문제/NNG+를/JKO
해결했다."	해결/NNG+하/XSV+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000038.103.4.1
이탈리아의 양대 일간지 중 하나인 라 레푸블리카(La Repubblica)가 지난 16일자(현지시각) 신문으로 조명한 '움직임'의 CEO 양재혁(25)씨의 출품작에 대한 소개다.

이탈리아의	이탈리아/NNP+의/JKG
양대	양대/MMA
일간지	일간지/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
라	라/NNP
레푸블리카(La	레푸블리카/NNP+(/SS+La/SL
Repubblica)가	Repubblica/SL+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
16일자(현지시각)	16/SN+일/NNB+자/NNG+(/SS+현지/NNG+시각/NNG+)/SS
신문으로	신문/NNG+으로/JKB
조명한	조명/NNG+하/XSV+ㄴ/ETM
'움직임'의	'/SS+움직임/NNP+'/SS+의/JKG
CEO	CEO/SL
양재혁(25)씨의	양재혁/NNP+(/SS+25/SN+)/SS+씨/NNB+의/JKG
출품작에	출품작/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소개다.	소개/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.103.4.2
