# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.316
metadata : {}


# id : NWRW1800000041.316.1.1
‘위안부’는 쏙 빼고… 아베, 왜곡된 역사 미래세대에 세뇌

‘위안부’는	‘/SS+위안부/NNG+’/SS+는/JX
쏙	쏙/MAG
빼고…	빼/VV+고/EC+…/SE
아베,	아베/NNP+,/SP
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
역사	역사/NNG
미래세대에	미래/NNG+세대/NNG+에/JKB
세뇌	세뇌/NNG


# id : NWRW1800000041.316.2.1
日, 초등생에 ‘독도 거짓말’

日,	日/SH+,/SP
초등생에	초등/NNG+생/XSN+에/JKB
‘독도	‘/SS+독도/NNP
거짓말’	거짓말/NNG+’/SS


# id : NWRW1800000041.316.3.1
고개 숙인 日대사

고개	고개/NNG
숙인	숙이/VV+ㄴ/ETM
日대사	日/SH+대사/NNG


# id : NWRW1800000041.316.4.1
‘독도를 한국이 불법 점령했다’는 내용이 포함된 일본 초등학교 교과서가 일본 정부의 검정을 통과한 것과 관련해 조태용 외교부 1차관(오른쪽)이 4일 벳쇼 고로 주한 일본대사를 서울 종로구 도렴동 외교부로 초치해 시정을 촉구했다.

‘독도를	‘/SS+독도/NNP+를/JKO
한국이	한국/NNP+이/JKS
불법	불법/NNG
점령했다’는	점령/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
일본	일본/NNP
초등학교	초등학교/NNG
교과서가	교과서/NNG+가/JKS
정부의	정부/NNG+의/JKG
검정을	검정/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
조태용	조태용/NNP
외교부	외교부/NNG
1차관(오른쪽)이	1/SN+차관/NNG+(/SS+오른쪽/NNG+)/SS+이/JKS
4일	4/SN+일/NNB
벳쇼	벳쇼/NNP
고로	고로/NNP
주한	주한/NNG
일본대사를	일본/NNP+대사/NNG+를/JKO
서울	서울/NNP
종로구	종로구/NNP
도렴동	도렴동/NNP
외교부로	외교부/NNG+로/JKB
초치해	초치/NNG+하/XSV+아/EC
시정을	시정/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.316.4.2
사진공동취재단일본이 초등학교 교과서에 “한국이 독도를 불법 점거하고 있다”는 주장을 담고 왜곡된 역사관을 밀어붙이고 있어 한국 중국 등과의 마찰이 한층 심해질 것으로 예상된다.

사진공동취재단일본이	사진/NNG+공동/NNG+취재단/NNG+일본/NNP+이/JKS
초등학교	초등학교/NNG
교과서에	교과서/NNG+에/JKB
“한국이	“/SS+한국/NNP+이/JKS
독도를	독도/NNP+를/JKO
불법	불법/NNG
점거하고	점거/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
담고	담/VV+고/EC
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
역사관을	역사관/NNG+을/JKO
밀어붙이고	밀어붙이/VV+고/EC
있어	있/VX+어/EC
한국	한국/NNP
중국	중국/NNP
등과의	등/NNB+과/JKB+의/JKG
마찰이	마찰/NNG+이/JKS
한층	한층/MAG
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.316.4.3
이번에 검정을 통과해 내년부터 사용될 교과서 내용은 지난해 4월 각 출판사가 검정 신청한 내용을 문부과학성이 약 1년간 심사해 확정한 것이다.

이번에	이번/NNG+에/JKB
검정을	검정/NNG+을/JKO
통과해	통과/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
사용될	사용/NNG+되/XSV+ㄹ/ETM
교과서	교과서/NNG
내용은	내용/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
각	각/MMD
출판사가	출판사/NNG+가/JKS
검정	검정/NNG
