# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.60
metadata : {}


# id : NWRW1800000056.60.1.1
‘김정남 가족 보호하나?’ “모른다”…신중한 중국

‘김정남	‘/SS+김정남/NNP
가족	가족/NNG
보호하나?’	보호/NNG+하/XSV+나/EF+?/SF+’/SS
“모른다”…신중한	“/SS+모르/VV+ㄴ다/EF+”/SS+…/SE+신중/NNG+하/XSA+ㄴ/ETM
중국	중국/NNP


# id : NWRW1800000056.60.2.1
[한겨레] “언론 보도 보며 관심 유지” 입장만

[한겨레]	[/SS+한겨레/NNP+]/SS
“언론	“/SS+언론/NNG
보도	보도/NNG
보며	보/VV+며/EC
관심	관심/NNG
유지”	유지/NNG+”/SS
입장만	입장/NNG+만/JX


# id : NWRW1800000056.60.3.1
북 연루 확정 못해 조심스러운 태도

북	북/NNP
연루	연루/NNG
확정	확정/NNG
못해	못/MAG+하/VV+아/EC
조심스러운	조심/NNG+스럽/XSA+ㄴ/ETM
태도	태도/NNG


# id : NWRW1800000056.60.4.1
중·홍콩 매체 ‘보호론·친중파론’ 반박

중·홍콩	중/NNP+·/SP+홍콩/NNP
매체	매체/NNG
‘보호론·친중파론’	‘/SS+보호/NNG+론/XSN+·/SP+친중파/NNG+론/XSN+’/SS
반박	반박/NNG


# id : NWRW1800000056.60.5.1
김정은 북한 노동당 위원장의 이복형 김정남 피살 사건과 관련해, 중국 당국이 신중한 태도로 일관하고 있다.

김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
위원장의	위원장/NNG+의/JKG
이복형	이복형/NNG
김정남	김정남/NNP
피살	피살/NNG
사건과	사건/NNG+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
중국	중국/NNP
당국이	당국/NNG+이/JKS
신중한	신중/NNG+하/XSA+ㄴ/ETM
태도로	태도/NNG+로/JKB
일관하고	일관/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.60.6.1
16일 중국 외교부 정례 브리핑에서는 전날에 이어 김정남 피살 사건과 관련된 질문이 쏟아졌지만, 겅솽 대변인은 초점을 비켜나갔다.

16일	16/SN+일/NNB
중국	중국/NNP
외교부	외교부/NNG
정례	정례/NNG
브리핑에서는	브리핑/NNG+에서/JKB+는/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
김정남	김정남/NNP
피살	피살/NNG
사건과	사건/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
질문이	질문/NNG+이/JKS
쏟아졌지만,	쏟아지/VV+었/EP+지만/EC+,/SP
겅솽	겅솽/NNP
대변인은	대변인/NNG+은/JX
초점을	초점/NNG+을/JKO
비켜나갔다.	비키/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.60.6.2
중국이 김정남의 가족을 보호하고 있느냐는 질문에 그는 “알지 못한다”고 했고, 이번 사건으로 인한 북-중 관계의 부정적 영향 여부를 묻자, “중-조(북)는 우호적 이웃나라로 양국은 선의와 우호의 전통이 있다”고 말했다.

중국이	중국/NNP+이/JKS
김정남의	김정남/NNP+의/JKG
가족을	가족/NNG+을/JKO
보호하고	보호/NNG+하/XSV+고/EC
있느냐는	있/VX+느냐는/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
“알지	“/SS+알/VV+지/EC
못한다”고	못하/VX+ㄴ다/EF+”/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
이번	이번/NNG
사건으로	사건/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
북-중	북-중/NNP
관계의	관계/NNG+의/JKG
부정적	부정/NNG+적/XSN
영향	영향/NNG
여부를	여부/NNG+를/JKO
묻자,	묻/VV+자/EC+,/SP
“중-조(북)는	“/SS+중/NNP+-/SO+조/NNP+(/SS+북/NNP+)/SS+는/JX
우호적	우호/NNG+적/XSN
이웃나라로	이웃/NNG+나라/NNG+로/JKB
양국은	양국/NNG+은/JX
선의와	선의/NNG+와/JC
우호의	우호/NNG+의/JKG
전통이	전통/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.6.3
사건의 실체가 밝혀지지 않은 현 상황에서, 이번 사건의 배후가 북한이라는 의혹을 중국 정부가 먼저 제기할 필요가 없다는 뜻으로 보인다.

사건의	사건/NNG+의/JKG
실체가	실체/NNG+가/JKS
밝혀지지	밝혀지/VV+지/EC
않은	않/VX+은/ETM
현	현/MMD
상황에서,	상황/NNG+에서/JKB+,/SP
이번	이번/NNG
배후가	배후/NNG+가/JKS
북한이라는	북한/NNP+이/VCP+라는/ETM
의혹을	의혹/NNG+을/JKO
중국	중국/NNP
정부가	정부/NNG+가/JKS
먼저	먼저/MAG
제기할	제기/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다는	없/VA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.60.6.4
전날 베이징 북한대사관이 주최한 광명성절(김정일 생일) 축하 행사에도 왕자루이 전국인민정협 부주석 등 중국 쪽 고위인사가 예정대로 참여했다.

전날	전날/NNG
베이징	베이징/NNP
북한대사관이	북한대사관/NNP+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
광명성절(김정일	광명성절/NNG+(/SS+김정일/NNP
생일)	생일/NNG+)/SS
축하	축하/NNG
행사에도	행사/NNG+에/JKB+도/JX
왕자루이	왕자루이/NNP
전국인민정협	전국인민정협/NNP
부주석	부주석/NNG
등	등/NNB
중국	중국/NNP
쪽	쪽/NNB
고위인사가	고위/NNG+인사/NNG+가/JKS
예정대로	예정/NNG+대로/JX
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.6.5
베이징 소식통은 “북한 연루 증거가 없는 상황에서 중국 쪽이 먼저 이미 예정된 행사 참석을 취소할 이유는 없었을 것”이라고 말했다.

베이징	베이징/NNP
소식통은	소식통/NNG+은/JX
“북한	“/SS+북한/NNP
연루	연루/NNG
증거가	증거/NNG+가/JKS
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
중국	중국/NNP
쪽이	쪽/NNB+이/JKS
먼저	먼저/MAG
이미	이미/MAG
예정된	예정/NNG+되/XSV+ㄴ/ETM
행사	행사/NNG
참석을	참석/NNG+을/JKO
취소할	취소/NNG+하/XSV+ㄹ/ETM
이유는	이유/NNG+는/JX
없었을	없/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.60.7.1
중국·홍콩 매체는 ‘김정남-중국 연관설’을 반박하는 등 극도로 경계하는 모습을 보이기도 했다.

중국·홍콩	중국/NNP+·/SP+홍콩/NNP
매체는	매체/NNG+는/JX
‘김정남-중국	‘/SS+김정남/NNP+-/SO+중국/NNP
연관설’을	연관설/NNG+’/SS+을/JKO
반박하는	반박/NNG+하/XSV+는/ETM
등	등/NNB
극도로	극도/NNG+로/JKB
경계하는	경계/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.60.7.2
홍콩 <명보>의 고정칼럼인 ‘중국평론’ 16일치에서 평론가 쑨자예는 “김정남을 죽인 것은 김정은의 중국에 대한 보복이며, 중국이 조선(북)에 개입할 후환을 근절했다고 하는 건 과도한 해석”이라고 잘라 말했다.

홍콩	홍콩/NNP
<명보>의	</SS+명보/NNP+>/SS+의/JKG
고정칼럼인	고정/NNG+칼럼/NNG+이/VCP+ㄴ/ETM
‘중국평론’	‘/SS+중국/NNP+평론/NNG+’/SS
16일치에서	16/SN+일/NNB+치/NNB+에서/JKB
