# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.402
metadata : {}


# id : NWRW1800000040.402.1.1
국정원·경찰 27명 증언대…신원 노출 막으려 ‘가림막 청문회’

국정원·경찰	국정원/NNG+·/SP+경찰/NNG
27명	27/SN+명/NNB
증언대…신원	증언대/NNG+…/SE+신원/NNG
노출	노출/NNG
막으려	막/VV+으려/EC
‘가림막	‘/SS+가림막/NNG
청문회’	청문회/NNG+’/SS


# id : NWRW1800000040.402.2.1
국정원 국조, 19일 2차 청문회

국정원	국정원/NNG
국조,	국조/NNG+,/SP
19일	19/SN+일/NNB
2차	2/SN+차/NNB
청문회	청문회/NNG


# id : NWRW1800000040.402.3.1
민주당, 국조 돌파구 찾기

민주당,	민주당/NNP+,/SP
국조	국조/NNG
돌파구	돌파구/NNG
찾기	찾/VV+기/ETN


# id : NWRW1800000040.402.4.1
박원동 전 국정원 국장 등 공략

박원동	박원동/NNP
전	전/MMD
국정원	국정원/NNG
국장	국장/NNG
등	등/NNB
공략	공략/NNG


# id : NWRW1800000040.402.5.1
대선개입·수사외압 규명 벼려

대선개입·수사외압	대선/NNG+개입/NNG+·/SP+수사/NNG+외압/NNG
규명	규명/NNG
벼려	벼리/VV+어/EF


# id : NWRW1800000040.402.6.1
새누리당, 맞불 공세 예고

새누리당,	새누리당/NNP+,/SP
맞불	맞불/NNG
공세	공세/NNG
예고	예고/NNG


# id : NWRW1800000040.402.7.1
“1차 청문회와 비슷한 기조”

“1차	“/SS+1/SN+차/NNB
청문회와	청문회/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
기조”	기조/NNG+”/SS


# id : NWRW1800000040.402.8.1
직원 감금 의혹 등 부각시킬 듯

직원	직원/NNG
감금	감금/NNG
의혹	의혹/NNG
등	등/NNB
부각시킬	부각/NNG+시키/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000040.402.9.1
국가정보원 대선 개입 진상규명을 위한 국정조사 2차 청문회가 국정원 전·현직 직원과 경찰관 등 27명의 증인·참고인을 출석시킨 가운데 19일 열린다.

국가정보원	국가/NNG+정보원/NNG
대선	대선/NNG
개입	개입/NNG
진상규명을	진상/NNG+규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국정조사	국정/NNG+조사/NNG
2차	2/SN+차/NNB
청문회가	청문회/NNG+가/JKS
국정원	국정원/NNG
전·현직	전·현직/NNG
직원과	직원/NNG+과/JC
경찰관	경찰관/NNG
등	등/NNB
27명의	27/SN+명/NNB+의/JKG
증인·참고인을	증인/NNG+·/SP+참고인/NNG+을/JKO
출석시킨	출석/NNG+시키/XSV+ㄴ/ETM
가운데	가운데/NNG
19일	19/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.402.9.2
대선개입 의혹과 수사 축소·은폐에 관여한 의혹을 받고 있는 핵심 실무자들이 증언대에 서는 만큼 지난 16일 1차 청문회에 출석한 원세훈 전 국정원장과 김용판 전 서울경찰청장의 ‘모르쇠 답변’으로 한계에 직면한 국정조사에 돌파구가 마련될지 주목된다.

대선개입	대선/NNG+개입/NNG
의혹과	의혹/NNG+과/JC
수사	수사/NNG
축소·은폐에	축소/NNG+·/SP+은폐/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
핵심	핵심/NNG
실무자들이	실무자/NNG+들/XSN+이/JKS
증언대에	증언대/NNG+에/JKB
서는	서/VV+는/ETM
만큼	만큼/NNB
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
1차	1/SN+차/NNB
청문회에	청문회/NNG+에/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
원세훈	원세훈/NNP
전	전/MMD
국정원장과	국정원장/NNG+과/JC
김용판	김용판/NNP
서울경찰청장의	서울경찰청장/NNG+의/JKG
‘모르쇠	‘/SS+모르쇠/NNG
답변’으로	답변/NNG+’/SS+으로/JKB
한계에	한계/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
국정조사에	국정/NNG+조사/NNG+에/JKB
돌파구가	돌파구/NNG+가/JKS
마련될지	마련/NNG+되/XSV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.402.10.1
민주당은 우선 박원동 전 국정원 국익정보국장을 상대로 새누리당과 국정원, 경찰의 공모 여부 등을 파고들 계획이다.

민주당은	민주당/NNP+은/JX
우선	우선/MAG
박원동	박원동/NNP
전	전/MMD
국정원	국정원/NNG
국익정보국장을	국익/NNG+정보국장/NNG+을/JKO
상대로	상대/NNG+로/JKB
새누리당과	새누리당/NNP+과/JC
국정원,	국정원/NNG+,/SP
