# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.362
metadata : {}


# id : NWRW1800000026.362.1.1
대한항공 "우리 A380은 사고기와 다른 엔진"

대한항공	대한항공/NNP
"우리	"/SS+우리/NP
A380은	A/SL+380/SN+은/JX
사고기와	사고기/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
엔진"	엔진/NNG+"/SS


# id : NWRW1800000026.362.2.1
대한항공은 "내년부터 도입하는 A380 차세대 항공기에는 최근 엔진 사고가 난 콴타스항공의 A380이 장착한 엔진과 전혀 다른 엔진을 장착한다"고 5일 밝혔다.

대한항공은	대한항공/NNP+은/JX
"내년부터	"/SS+내년/NNG+부터/JX
도입하는	도입/NNG+하/XSV+는/ETM
A380	A/SL+380/SN
차세대	차세대/NNG
항공기에는	항공기/NNG+에/JKB+는/JX
최근	최근/MAG
엔진	엔진/NNG
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
콴타스항공의	콴타스항공/NNP+의/JKG
A380이	A/SL+380/SN+이/JKS
장착한	장착/NNG+하/XSV+ㄴ/ETM
엔진과	엔진/NNG+과/JKB
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
엔진을	엔진/NNG+을/JKO
장착한다"고	장착/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.362.3.1
A380은 엔진얼라이언스사가 제작한 엔진과 영국 롤스로이스가 제작한 엔진 등 두 종류의 엔진이 사용된다.

A380은	A/SL+380/SN+은/JX
엔진얼라이언스사가	엔진얼라이언스사/NNP+가/JKS
제작한	제작/NNG+하/XSV+ㄴ/ETM
엔진과	엔진/NNG+과/JC
영국	영국/NNP
롤스로이스가	롤스로이스/NNP+가/JKS
엔진	엔진/NNG
등	등/NNB
두	두/MMN
종류의	종류/NNG+의/JKG
엔진이	엔진/NNG+이/JKS
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.362.3.2
항공사들은 그중에서 자신들이 운항할 A380에 장착할 엔진을 직접 선정한다.

항공사들은	항공사/NNG+들/XSN+은/JX
그중에서	그중/NNG+에서/JKB
자신들이	자신/NNG+들/XSN+이/JKS
운항할	운항/NNG+하/XSV+ㄹ/ETM
A380에	A/SL+380/SN+에/JKB
장착할	장착/NNG+하/XSV+ㄹ/ETM
엔진을	엔진/NNG+을/JKO
직접	직접/MAG
선정한다.	선정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.362.3.3
대한항공은 "우리는 안전성이 높고 기존 항공기 엔진보다 연료도 10% 이상 절감할 수 있어 엔진얼라이언스의 GP7200 엔진을 선택했다"고 밝혔다.

대한항공은	대한항공/NNP+은/JX
"우리는	"/SS+우리/NP+는/JX
안전성이	안전/NNG+성/XSN+이/JKS
높고	높/VA+고/EC
기존	기존/NNG
항공기	항공기/NNG
엔진보다	엔진/NNG+보다/JKB
연료도	연료/NNG+도/JX
10%	10/SN+%/SW
이상	이상/NNG
절감할	절감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
엔진얼라이언스의	엔진얼라이언스/NNP+의/JKG
GP7200	GP/SL+7200/SN
엔진을	엔진/NNG+을/JKO
선택했다"고	선택/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.362.4.1
호주 콴타스항공의 A380은 이달 4일 싱가포르에서 호주 시드니로 가던 중 엔진 이상으로 창이국제공항에 비상착륙했다.

호주	호주/NNP
콴타스항공의	콴타스항공/NNP+의/JKG
A380은	A/SL+380/SN+은/JX
이달	이달/NNG
4일	4/SN+일/NNB
싱가포르에서	싱가포르/NNP+에서/JKB
시드니로	시드니/NNP+로/JKB
가던	가/VV+던/ETM
중	중/NNB
엔진	엔진/NNG
이상으로	이상/NNG+으로/JKB
창이국제공항에	창이국제공항/NNP+에/JKB
비상착륙했다.	비상/NNG+착륙/NNG+하/XSV+았/EP+다/EF+./SF


