# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.214
metadata : {}


# id : NWRW1800000040.214.1.1
지난번 검찰총장 유력후보…“발 넓어” 위태 지적도 김 차관 부친, 박정희 시절 육군 대령…월남전 참전

지난번	지난번/NNG
검찰총장	검찰/NNG+총장/NNG
유력후보…“발	유력/NNG+후보/NNG+…/SE+“/SS+발/NNG
넓어”	넓/VA+어/EC+”/SS
위태	위태/XR
지적도	지적/NNG+도/JX
김	김/NNP
차관	차관/NNG
부친,	부친/NNG+,/SP
박정희	박정희/NNP
시절	시절/NNG
육군	육군/NNG
대령…월남전	대령/NNG+…/SE+월남전/NNG
참전	참전/NNG


# id : NWRW1800000040.214.2.1
김학의 차관은 누구

김학의	김학의/NNP
차관은	차관/NNG+은/JX
누구	누구/NP


# id : NWRW1800000040.214.3.1
취임 엿새 만에 사표를 낸 김학의(57) 전 법무부 차관은 한때 유력한 검찰총장 후보자로 거론되기도 했다.

취임	취임/NNG
엿새	엿새/NNG
만에	만/NNB+에/JKB
사표를	사표/NNG+를/JKO
낸	내/VV+ㄴ/ETM
김학의(57)	김학의/NNP+(/SS+57/SN+)/SS
전	전/MMD
법무부	법무부/NNG
차관은	차관/NNG+은/JX
한때	한때/NNG
유력한	유력/NNG+하/XSA+ㄴ/ETM
검찰총장	검찰/NNG+총장/NNG
후보자로	후보자/NNG+로/JKB
거론되기도	거론/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.214.3.2
법무부는 지난달 7일 열린 검찰총장후보추천위원회에 안창호(56·사법연수원 14기) 헌법재판소 재판관과 함께 김 전 차관을 우선순위 후보자로 제시한 것으로 알려졌다.

법무부는	법무부/NNG+는/JX
지난달	지난달/NNG
7일	7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
검찰총장후보추천위원회에	검찰/NNG+총장/NNG+후보/NNG+추천/NNG+위원회/NNG+에/JKB
안창호(56·사법연수원	안창호/NNP+(/SS+56/SN+·/SP+사법/NNG+연수원/NNG
14기)	14/SN+기/NNG+)/SS
헌법재판소	헌법/NNG+재판소/NNG
재판관과	재판관/NNG+과/JKB
함께	함께/MAG
김	김/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
우선순위	우선순위/NNG
후보자로	후보자/NNG+로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.214.3.3
하지만 추천위원들이 후보자들을 놓고 난상토론을 하면서 김 전 차관은 3명의 후보군에 들지 못했다.

하지만	하지만/MAJ
추천위원들이	추천/NNG+위원/NNG+들/XSN+이/JKS
후보자들을	후보자/NNG+들/XSN+을/JKO
놓고	놓/VV+고/EC
난상토론을	난상/NNG+토론/NNG+을/JKO
하면서	하/VV+면서/EC
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
3명의	3/SN+명/NNB+의/JKG
후보군에	후보군/NNG+에/JKB
들지	들/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.214.4.1
당시 김진태(61·사법연수원 14기) 대검찰청 차장과 채동욱(54·14기) 서울고검장, 소병철(55·15기) 대구고검장이 후보자로 추천됐는데, 누가 총장이 되든 김 전 차관의 동기 또는 후배가 총장이 되는 상황이어서 새 총장이 취임하면 옷을 벗을 것으로 예상됐다.

당시	당시/NNG
김진태(61·사법연수원	김진태/NNP+(/SS+61/SN+·/SP+사법/NNG+연수원/NNG
14기)	14/SN+기/NNG+)/SS
대검찰청	대/XPN+검찰청/NNG
차장과	차장/NNG+과/JC
채동욱(54·14기)	채동욱/NNP+(/SS+54/SN+·/SP+14/SN+기/NNG+)/SS
서울고검장,	서울고검장/NNG+,/SP
소병철(55·15기)	소병철/NNP+(/SS+55/SN+·/SP+15/SN+기/NNG+)/SS
대구고검장이	대구고검장/NNG+이/JKS
후보자로	후보자/NNG+로/JKB
추천됐는데,	추천/NNG+되/XSV+었/EP+는데/EC+,/SP
누가	누구/NP+가/JKS
총장이	총장/NNG+이/JKS
되든	되/VV+든/EC
김	김/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
동기	동기/NNG
또는	또는/MAG
후배가	후배/NNG+가/JKS
되는	되/VV+는/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
새	새/MMA
취임하면	취임/NNG+하/XSV+면/EC
옷을	옷/NNG+을/JKO
벗을	벗/VV+을/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.214.4.2
하지만 지난 13일 법무부 차관으로 임명되고, 15일 취임했다.

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
법무부	법무부/NNG
차관으로	차관/NNG+으로/JKB
임명되고,	임명/NNG+되/XSV+고/EC+,/SP
15일	15/SN+일/NNB
취임했다.	취임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.4.3
황교안 법무부 장관보다 사법시험은 1년 후배지만 경기고 1년 선배여서 인사를 놓고 뒷말이 무성했다.

황교안	황교안/NNP
법무부	법무부/NNG
장관보다	장관/NNG+보다/JKB
사법시험은	사법/NNG+시험/NNG+은/JX
1년	1/SN+년/NNB
후배지만	후배/NNG+이/VCP+지만/EC
경기고	경기고/NNP
선배여서	선배/NNG+이/VCP+어서/EC
인사를	인사/NNG+를/JKO
놓고	놓/VV+고/EC
뒷말이	뒷말/NNG+이/JKS
무성했다.	무성하/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.214.4.4
검찰 관계자는 “장관은 차관과 계속 업무협의를 하는데 장관 입장에서 고교 선배인 차관이 편하겠냐.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“장관은	“/SS+장관/NNG+은/JX
차관과	차관/NNG+과/JKB
계속	계속/MAG
업무협의를	업무/NNG+협의/NNG+를/JKO
하는데	하/VV+는데/EC
장관	장관/NNG
입장에서	입장/NNG+에서/JKB
고교	고교/NNG
선배인	선배/NNG+이/VCP+ㄴ/ETM
차관이	차관/NNG+이/JKS
편하겠냐.	편하/VA+겠/EP+냐/EF+./SF


# id : NWRW1800000040.214.4.5
고교 후배 밑에 고교 선배를 배치하지 않는 건 검찰 인사의 기본”이라고 말했다.

고교	고교/NNG
후배	후배/NNG
밑에	밑/NNG+에/JKB
선배를	선배/NNG+를/JKO
배치하지	배치/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
건	거/NNB+ㄴ/JX
검찰	검찰/NNG
인사의	인사/NNG+의/JKG
기본”이라고	기본/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.214.4.6
현 정부가 3명의 검찰총장 후보자들이 마음에 들지 않아, 애초 염두에 뒀던 김 전 차관을 임명해 검찰총장의 힘을 빼려는 것 아니냐는 분석도 나왔다.

현	현/MMD
정부가	정부/NNG+가/JKS
3명의	3/SN+명/NNB+의/JKG
검찰총장	검찰/NNG+총장/NNG
후보자들이	후보자/NNG+들/XSN+이/JKS
마음에	마음/NNG+에/JKB
들지	들/VV+지/EC
않아,	않/VX+아/EC+,/SP
애초	애초/NNG
염두에	염두/NNG+에/JKB
뒀던	두/VV+었/EP+던/ETM
김	김/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
임명해	임명/NNG+하/XSV+아/EC
검찰총장의	검찰/NNG+총장/NNG+의/JKG
힘을	힘/NNG+을/JKO
