# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.267
metadata : {}


# id : NWRW1800000028.267.1.1
서울시, 대형건물 앞 개방땐 혜택

서울시,	서울시/NNP+,/SP
대형건물	대형/NNG+건물/NNG
앞	앞/NNG
개방땐	개방/NNG+때/NNG+ㄴ/JX
혜택	혜택/NNG


# id : NWRW1800000028.267.2.1
서울시는 도심 내 대형건물의 앞뜰 공간을 시민들에게 개방하면 리모델링을 할 때 여러가지 혜택을 주는 내용의 ‘건물전면 시민휴게공간 조성 활성화 방안’을 마련했다고 밝혔다.

서울시는	서울시/NNP+는/JX
도심	도심/NNG
내	내/NNB
대형건물의	대형/NNG+건물/NNG+의/JKG
앞뜰	앞뜰/NNG
공간을	공간/NNG+을/JKO
시민들에게	시민/NNG+들/XSN+에게/JKB
개방하면	개방/NNG+하/XSV+면/EC
리모델링을	리모델링/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
여러가지	여러/MMN+가지/NNB
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
내용의	내용/NNG+의/JKG
‘건물전면	‘/SS+건물/NNG+전면/NNG
시민휴게공간	시민/NNG+휴게/NNG+공간/NNG
조성	조성/NNG
활성화	활성/NNG+화/XSN
방안’을	방안/NNG+’/SS+을/JKO
마련했다고	마련/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.267.3.1
주요 내용을 보면, 건물 전면이나 앞뜰을 시민 휴게공간으로 만들 경우 리모델링 가능 연수를 20년에서 15년으로 앞당겨준다.

주요	주요/NNG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
건물	건물/NNG
전면이나	전면/NNG+이나/JC
앞뜰을	앞뜰/NNG+을/JKO
시민	시민/NNG
휴게공간으로	휴게/NNG+공간/NNG+으로/JKB
만들	만들/VV+ㄹ/ETM
경우	경우/NNG
리모델링	리모델링/NNG
가능	가능/NNG
연수를	연수/NNG+를/JKO
20년에서	20/SN+년/NNB+에서/JKB
15년으로	15/SN+년/NNB+으로/JKB
앞당겨준다.	앞당기/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.267.4.1
리모델링 시 용적률도 기존 600% 이하인 경우 최대 660%까지 허용하고, 기존 600% 이상이면 10% 범위 안에서 상향 조정할 수 있도록 한다.

리모델링	리모델링/NNG
시	시/NNB
