# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.19
metadata : {}


# id : NWRW1800000046.19.1.1
탄력받는 '아베노믹스'

탄력받는	탄력/NNG+받/XSV+는/ETM
'아베노믹스'	'/SS+아베노믹스/NNG+'/SS


# id : NWRW1800000046.19.2.1
증시 15년만에 2만선 돌파… 무역수지 2년9개월만에 흑자

증시	증시/NNG
15년만에	15/SN+년/NNB+만/NNB+에/JKB
2만선	2/SN+만/NR+선/NNG
돌파…	돌파/NNG+…/SE
무역수지	무역/NNG+수지/NNG
2년9개월만에	2/SN+년/NNB+9/SN+개월/NNB+만/NNB+에/JKB
흑자	흑자/NNG


# id : NWRW1800000046.19.3.1
아베노믹스가 꽃을 피우는 것일까.

아베노믹스가	아베노믹스/NNG+가/JKS
꽃을	꽃/NNG+을/JKO
피우는	피우/VV+는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.19.3.2
일본 닛케이 지수가 15년 만에 종가(終價) 기준으로 2만을 넘어섰고, 2년 9개월 만에 일본 무역수지가 적자에서 흑자로 전환됐다.

일본	일본/NNP
닛케이	닛케이/NNP
지수가	지수/NNG+가/JKS
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
종가(終價)	종가/NNG+(/SS+終價/SH+)/SS
기준으로	기준/NNG+으로/JKB
2만을	2/SN+만/NR+을/JKO
넘어섰고,	넘어서/VV+었/EP+고/EC+,/SP
2년	2/SN+년/NNB
9개월	9/SN+개월/NNB
무역수지가	무역/NNG+수지/NNG+가/JKS
적자에서	적자/NNG+에서/JKB
흑자로	흑자/NNG+로/JKB
전환됐다.	전환/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.19.4.1
22일 도쿄 증시에서 닛케이 지수는 전날 대비 1.13% 오른 2만133.90으로 마감했다.

22일	22/SN+일/NNB
도쿄	도쿄/NNP
증시에서	증시/NNG+에서/JKB
닛케이	닛케이/NNP
지수는	지수/NNG+는/JX
전날	전날/NNG
대비	대비/NNG
1.13%	1/SN+./SP+13/SN+%/SW
오른	오르/VV+ㄴ/ETM
2만133.90으로	2/SN+만/NR+133/SN+./SP+90/SN+으로/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.4.2
지난 10일 장중 한때 2만 선을 뚫고 올라온 데 이어, 12일 만에 종가로도 2만을 돌파했다.

지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
장중	장중/NNG
한때	한때/MAG
2만	2/SN+만/NR
선을	선/NNG+을/JKO
뚫고	뚫/VV+고/EC
올라온	올라오/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
12일	12/SN+일/NNB
만에	만/NNB+에/JKB
종가로도	종가/NNG+로/JKB+도/JX
2만을	2/SN+만/NR+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.19.4.3
닛케이지수가 2만 선 위에서 마감한 것은 IT(정보기술) 버블이 주가를 한껏 끌어올린 2000년 4월 14일이 마지막이었다.

닛케이지수가	닛케이/NNP+지수/NNG+가/JKS
2만	2/SN+만/NR
선	선/NNG
위에서	위/NNG+에서/JKB
마감한	마감/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
