# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.128
metadata : {}


# id : NWRW1800000026.128.1.1
[어린이·청소년] 영원히 사는 법

[어린이·청소년]	[/SS+어린이/NNG+·/SP+청소년/NNG+]/SS
영원히	영원히/MAG
사는	살/VV+는/ETM
법	법/NNB


# id : NWRW1800000026.128.2.1
◆콜린 톰슨 글·그림|이지원 옮김|논장|36쪽|9800원

◆콜린	◆/SW+콜린/NNP
톰슨	톰슨/NNP
글·그림|이지원	글/NNG+·/SP+그림/NNG+|/SW+이지원/NNP
옮김|논장|36쪽|9800원	옮기/VV+ㅁ/ETN+|/SW+논장/NNP+|/SW+36/SN+쪽/NNG+|/SW+9800/SN+원/NNB


# id : NWRW1800000026.128.3.1
밤만 되면 서가의 책들이 살아 움직이는 커다란 도서관에서 책이 한 권 사라진다.

밤만	밤/NNG+만/JX
되면	되/VV+면/EC
서가의	서가/NNG+의/JKG
책들이	책/NNG+들/XSN+이/JKS
살아	살/VV+아/EC
움직이는	움직이/VV+는/ETM
커다란	커다랗/VA+ㄴ/ETM
도서관에서	도서관/NNG+에서/JKB
책이	책/NNG+이/JKS
한	한/MMN
권	권/NNB
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.128.3.2
그 책의 제목은 '영원히 사는 법'.

그	그/MMD
책의	책/NNG+의/JKG
제목은	제목/NNG+은/JX
'영원히	'/SS+영원히/MAG
사는	살/VV+는/ETM
법'.	법/NNB+'/SS+./SF


# id : NWRW1800000026.128.3.3
책 속에서 살고 있는 소년 피터는 어느 날 사라진 책의 기록 카드를 발견하고 책을 찾아 나선다.

책	책/NNG
속에서	속/NNG+에서/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
소년	소년/NNG
피터는	피터/NNP+는/JX
어느	어느/MMD
날	날/NNG
사라진	사라지/VV+ㄴ/ETM
책의	책/NNG+의/JKG
기록	기록/NNG
카드를	카드/NNG+를/JKO
발견하고	발견/NNG+하/XSV+고/EC
책을	책/NNG+을/JKO
찾아	찾/VV+아/EC
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.128.3.4
다락방의 낡은 중국 책 속에서 마침내 그 책을 발견한 피터, 아주 오래전 그 책을 읽고 시간 속에 얼어붙어 버린 '영원한 아이'를 만나는데….

다락방의	다락방/NNG+의/JKG
낡은	낡/VV+은/ETM
중국	중국/NNP
책	책/NNG
속에서	속/NNG+에서/JKB
마침내	마침내/MAG
그	그/MMD
책을	책/NNG+을/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
피터,	피터/NNP+,/SP
아주	아주/MAG
오래전	오래전/NNG
읽고	읽/VV+고/EC
시간	시간/NNG
속에	속/NNG+에/JKB
얼어붙어	얼어붙/VV+어/EC
버린	버리/VX+ㄴ/ETM
'영원한	'/SS+영원/NNG+하/XSA+ㄴ/ETM
아이'를	아이/NNG+'/SS+를/JKO
만나는데….	만나/VV+는데/EC+…./SE


# id : NWRW1800000026.128.3.5
피터는 과연 그 책을 읽게 될까?

피터는	피터/NNP+는/JX
과연	과연/MAG
그	그/MMD
책을	책/NNG+을/JKO
읽게	읽/VV+게/EC
될까?	되/VV+ㄹ까/EF+?/SF


# id : NWRW1800000026.128.4.1
책 한 권 한 권의 디테일을 세세하게 그려낸 정교한 그림들이 눈을 즐겁게 하는 그림책이다.

책	책/NNG
한	한/MMN
권	권/NNB
권의	권/NNB+의/JKG
디테일을	디테일/NNG+을/JKO
세세하게	세세하/VA+게/EC
그려낸	그리/VV+어/EC+내/VX+ㄴ/ETM
정교한	정교하/VA+ㄴ/ETM
그림들이	그림/NNG+들/XSN+이/JKS
눈을	눈/NNG+을/JKO
즐겁게	즐겁/VA+게/EC
하는	하/VX+는/ETM
그림책이다.	그림책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.128.4.2
청화백자(靑華白瓷)의 문양을 연상시키는 푸른 색조의 중국식 정원 풍경은 탄성이 나올 정도로 아름답다.

청화백자(靑華白瓷)의	청화/NNG+백자/NNG+(/SS+靑華白瓷/SH+)/SS+의/JKG
문양을	문양/NNG+을/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
푸른	푸르/VA+ㄴ/ETM
색조의	색조/NNG+의/JKG
중국식	중국식/NNG
정원	정원/NNG
풍경은	풍경/NNG+은/JX
탄성이	탄성/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
아름답다.	아름답/VA+다/EF+./SF


# id : NWRW1800000026.128.4.3
아이와 함께 책장을 넘기며 시간·늙음·영생에 대해 이야기해보는 것도 좋겠다.

아이와	아이/NNG+와/JKB
함께	함께/MAG
책장을	책장/NNG+을/JKO
넘기며	넘기/VV+며/EC
시간·늙음·영생에	시간/NNG+·/SP+늙/VV+음/ETN+·/SP+영생/NNG+에/JKB
대해	대하/VV+아/EC
이야기해보는	이야기/NNG+하/XSV+아/EC+보/VX+는/ETM
것도	것/NNB+도/JX
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000026.128.4.4
5세 이상.

5세	5/SN+세/NNB
이상.	이상/NNG+./SF


