# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.256
metadata : {}


# id : NWRW1800000046.256.1.1
[조용헌 살롱] (982) 제주 本態(본태)박물관

[조용헌	[/SS+조용헌/NNP
살롱]	살롱/NNG+]/SS
(982)	(/SS+982/SN+)/SS
제주	제주/NNP
本態(본태)박물관	本態/SH+(/SS+본태/NNP+)/SS+박물관/NNG


# id : NWRW1800000046.256.2.1
'남(南)본태, 북(北)리움'.

'남(南)본태,	'/SS+남/NNG+(/SS+南/SH+)/SS+본태/NNP+,/SP
북(北)리움'.	북/NNG+(/SS+北/SH+)/SS+리움/NNP+'/SS+./SF


# id : NWRW1800000046.256.2.2
수도 서울을 대표하는 미술관이 리움이라면, 남쪽 지방을 대표하는 박물관은 제주 서귀포에 있는 본태(本態)박물관이라는 생각이 들었다.

수도	수도/NNG
서울을	서울/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
미술관이	미술관/NNG+이/JKS
리움이라면,	리움/NNP+이/VCP+라면/EC+,/SP
남쪽	남쪽/NNG
지방을	지방/NNG+을/JKO
박물관은	박물관/NNG+은/JX
제주	제주/NNP
서귀포에	서귀포/NNP+에/JKB
있는	있/VA+는/ETM
본태(本態)박물관이라는	본태/NNP+(/SS+本態/SH+)/SS+박물관/NNG+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.256.2.3
삼성가(家) 홍라희 관장의 리움이 당대의 내로라하는 예술 작품들을 전시하는 미술관이라면 현대가 넷째 며느리 이행자 고문의 본태박물관은 한국인들의 소박한 생활용품들을 소장하고 있다.

삼성가(家)	삼성가/NNG+(/SS+家/SH+)/SS
홍라희	홍라희/NNP
관장의	관장/NNG+의/JKG
리움이	리움/NNP+이/JKS
당대의	당대/NNG+의/JKG
내로라하는	내로라하/VV+는/ETM
예술	예술/NNG
작품들을	작품/NNG+들/XSN+을/JKO
전시하는	전시/NNG+하/XSV+는/ETM
미술관이라면	미술관/NNG+이/VCP+라면/EC
현대가	현대가/NNG
넷째	넷째/NR
며느리	며느리/NNG
이행자	이행자/NNP
고문의	고문/NNG+의/JKG
본태박물관은	본태박물관/NNP+은/JX
한국인들의	한국인/NNG+들/XSN+의/JKG
소박한	소박하/VA+ㄴ/ETM
생활용품들을	생활용품/NNG+들/XSN+을/JKO
소장하고	소장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.256.2.4
리움에 귀품(貴品)이 많다면 본태는 민품(民品) 위주이다.

리움에	리움/NNP+에/JKB
귀품(貴品)이	귀품/NNG+(/SS+貴品/SH+)/SS+이/JKS
많다면	많/VA+다면/EC
본태는	본태/NNP+는/JX
민품(民品)	민품/NNG+(/SS+民品/SH+)/SS
위주이다.	위주/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.3.1
'본태(本態)'는 '우리 본래의 모습'이라는 뜻이라고 한다.

'본태(本態)'는	'/SS+본태/NNP+(/SS+本態/SH+)/SS+'/SS+는/JX
'우리	'/SS+우리/NP
본래의	본래/NNG+의/JKG
모습'이라는	모습/NNG+'/SS+이/VCP+라는/ETM
뜻이라고	뜻/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.3.2
한국인의 본래 면목을 보여주는 고가구·병풍·소반·보자기·수예품·책장·문방구류 등이 소장되어 있다.

한국인의	한국인/NNG+의/JKG
본래	본래/NNG
면목을	면목/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
고가구·병풍·소반·보자기·수예품·책장·문방구류	고가구/NNG+·/SP+병풍/NNG+·/SP+소반/NNG+·/SP+보자기/NNG+·/SP+수예품/NNG+·/SP+책장/NNG+·/SP+문방구/NNG+류/XSN
등이	등/NNB+이/JKS
소장되어	소장/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.256.3.3
별로 값나가는 물건은 없다.

별로	별로/MAG
값나가는	값나가/VV+는/ETM
물건은	물건/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.256.3.4
그렇지만 박물관 터는 값나가는 곳이다.

그렇지만	그렇지만/MAJ
박물관	박물관/NNG
터는	터/NNG+는/JX
값나가는	값나가/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.4.1
일본의 유명 건축가 안도 다다오가 지은 본태박물관 건물은 제주의 바다와 바람결, 맑은 하늘 가운데 한가하게 서 있는 느낌이 든다.

일본의	일본/NNP+의/JKG
유명	유명/NNG
건축가	건축가/NNG
안도	안도/NNP
다다오가	다다오/NNP+가/JKS
지은	짓/VV+은/ETM
본태박물관	본태박물관/NNP
건물은	건물/NNG+은/JX
제주의	제주/NNP+의/JKG
바다와	바다/NNG+와/JC
바람결,	바람결/NNG+,/SP
맑은	맑/VA+은/ETM
하늘	하늘/NNG
가운데	가운데/NNG
한가하게	한가하/VA+게/EC
서	서/VV+어/EC
있는	있/VX+는/ETM
느낌이	느낌/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.4.2
앞으로는 멀리 산방산(山房山)이 보인다.

앞으로는	앞/NNG+으로/JKB+는/JX
멀리	멀리/MAG
산방산(山房山)이	산방산/NNP+(/SS+山房山/SH+)/SS+이/JKS
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.4.3
투구 모양 같기도 하고, 힘센 장사의 주먹 모양 같기도 한 산방산의 기운이 박물관 터로 반사되어 돌아온다.

투구	투구/NNG
모양	모양/NNG
같기도	같/VA+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
힘센	힘세/VA+ㄴ/ETM
장사의	장사/NNG+의/JKG
주먹	주먹/NNG
한	하/VX+ㄴ/ETM
산방산의	산방산/NNP+의/JKG
기운이	기운/NNG+이/JKS
박물관	박물관/NNG
터로	터/NNG+로/JKB
반사되어	반사/NNG+되/XSV+어/EC
돌아온다.	돌아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.4.4
바닷가에서는 앞에 섬이 하나 있어야 좋다.

바닷가에서는	바닷가/NNG+에서/JKB+는/JX
앞에	앞/NNG+에/JKB
섬이	섬/NNG+이/JKS
하나	하나/NR
있어야	있/VA+어야/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000046.256.5.1
리움과 본태는 문화 권력을 상징하는 미술관이자 박물관이다.

리움과	리움/NNP+과/JC
본태는	본태/NNP+는/JX
문화	문화/NNG
권력을	권력/NNG+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
미술관이자	미술관/NNG+이/VCP+자/EC
박물관이다.	박물관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.5.2
한국 재벌가 안주인들이 자신의 상업자본을 문화 권력으로 전환하는 장치이기도 하지만 동시에 사회에 기여하는 방법이기도 하다.

한국	한국/NNP
재벌가	재벌가/NNG
안주인들이	안주인/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
상업자본을	상업/NNG+자본/NNG+을/JKO
문화	문화/NNG
권력으로	권력/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
장치이기도	장치/NNG+이/VCP+기/ETN+도/JX
하지만	하/VX+지만/EC
동시에	동시/NNG+에/JKB
사회에	사회/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
방법이기도	방법/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000046.256.5.3
돈을 쓰는 일이기 때문이다.

돈을	돈/NNG+을/JKO
쓰는	쓰/VV+는/ETM
일이기	일/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.5.4
그래서 두 면이 다 있다.

그래서	그래서/MAJ
두	두/MMN
면이	면/NNG+이/JKS
다	다/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.256.5.5
서민들이 평소에 보기 어려운 예술품을 보면서 공부도 하고, 충전도 하고, 바람도 쐬며 놀 수 있는 공간을 제공하는 셈이다.

서민들이	서민/NNG+들/XSN+이/JKS
평소에	평소/NNG+에/JKB
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
예술품을	예술품/NNG+을/JKO
보면서	보/VV+면서/EC
공부도	공부/NNG+도/JX
하고,	하/VV+고/EC+,/SP
충전도	충전/NNG+도/JX
바람도	바람/NNG+도/JX
쐬며	쐬/VV+며/EC
놀	놀/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간을	공간/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.5.6
학계와 문화예술계 인사들의 교류 장소이기도 하다.

학계와	학계/NNG+와/JC
문화예술계	문화/NNG+예술/NNG+계/XSN
인사들의	인사/NNG+들/XSN+의/JKG
교류	교류/NNG
장소이기도	장소/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000046.256.5.7
교류에서 이종접합(異種接合)과 이종격투기가 이루어진다.

교류에서	교류/NNG+에서/JKB
이종접합(異種接合)과	이종/NNG+접합/NNG+(/SS+異種接合/SH+)/SS+과/JC
이종격투기가	이종/NNG+격투기/NNG+가/JKS
이루어진다.	이루어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.6.1
본태박물관에서 상여(喪輿) 전시를 한다기에 가보니까 '피안(彼岸)으로 가는 길의 동반자-꽃상여와 꼭두의 미학'이라는 제목이 붙어 있었다.

본태박물관에서	본태박물관/NNP+에서/JKB
상여(喪輿)	상여/NNG+(/SS+喪輿/SH+)/SS
전시를	전시/NNG+를/JKO
한다기에	하/VV+ㄴ다기/ETN+에/JKB
가보니까	가/VV+아/EC+보/VX+니까/EC
'피안(彼岸)으로	'/SS+피안/NNG+(/SS+彼岸/SH+)/SS+으로/JKB
가는	가/VV+는/ETM
길의	길/NNG+의/JKG
동반자-꽃상여와	동반자/NNG+-/SO+꽃상여/NNG+와/JC
꼭두의	꼭두/NNG+의/JKG
미학'이라는	미학/NNG+'/SS+이/VCP+라는/ETM
제목이	제목/NNG+이/JKS
붙어	붙/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.256.6.2
"아니 어떻게 이처럼 근사한 제목을 뽑아냈습니까?" "몇 초 만에 생각이 났습니다."

"아니	"/SS+아니/IC
어떻게	어떻/VA+게/EC
이처럼	이/NP+처럼/JKB
근사한	근사하/VA+ㄴ/ETM
제목을	제목/NNG+을/JKO
뽑아냈습니까?"	뽑아내/VV+었/EP+습니까/EF+?/SF+"/SS
"몇	"/SS+몇/NR
초	초/NNB
만에	만/NNB+에/JKB
생각이	생각/NNG+이/JKS
났습니다."	나/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000046.256.6.3
상여 전시를 총괄 기획한 유홍준 선생의 대답이다.

상여	상여/NNG
전시를	전시/NNG+를/JKO
총괄	총괄/NNG
기획한	기획/NNG+하/XSV+ㄴ/ETM
유홍준	유홍준/NNP
선생의	선생/NNG+의/JKG
대답이다.	대답/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.256.6.4
어찌 몇 초 만에 났겠는가! 30~40년을 농축해서 발효시켜야만 선문답(禪問答)처럼 순간적으로 제목이 튀어나온다.

어찌	어찌/MAG
몇	몇/NR
초	초/NNB
만에	만/NNB+에/JKB
났겠는가!	나/VV+았/EP+겠/EP+는가/EF+!/SF
30~40년을	30/SN+~/SO+40/SN+년/NNB+을/JKO
농축해서	농축/NNG+하/XSV+아서/EC
발효시켜야만	발효/NNG+시키/XSV+어야/EC+만/JX
선문답(禪問答)처럼	선문답/NNG+(/SS+禪問答/SH+)/SS+처럼/JKB
순간적으로	순간/NNG+적/XSN+으로/JKB
제목이	제목/NNG+이/JKS
튀어나온다.	튀어나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.256.6.5
얼굴은 시커멓지만 눈빛이 아직도 형형한 유홍준은 국보급 인물이므로 잘 보존해야 한다.

얼굴은	얼굴/NNG+은/JX
시커멓지만	시커멓/VA+지만/EC
눈빛이	눈빛/NNG+이/JKS
아직도	아직/MAG+도/JX
형형한	형형하/VA+ㄴ/ETM
유홍준은	유홍준/NNP+은/JX
국보급	국보급/NNG
인물이므로	인물/NNG+이/VCP+므로/EC
잘	잘/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


