# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.122
metadata : {}


# id : NWRW1800000053.122.1.1
올가을엔 ‘실험 연극’ 바람이 분다

올가을엔	올가을/NNG+에/JKB+ㄴ/JX
‘실험	‘/SS+실험/NNG
연극’	연극/NNG+’/SS
바람이	바람/NNG+이/JKS
분다	불/VV+ㄴ다/EF


# id : NWRW1800000053.122.2.1
서울 대학로서 22일까지 열리는 ‘서울미래연극제’ ‘서울연극폭탄’

서울	서울/NNP
대학로서	대학로/NNP+서/JKB
22일까지	22/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
‘서울미래연극제’	‘/SS+서울/NNP+미래/NNG+연극제/NNG+’/SS
‘서울연극폭탄’	‘/SS+서울/NNP+연극/NNG+폭탄/NNG+’/SS


# id : NWRW1800000053.122.3.1
올가을 대학로가 실험 연극으로 물든다.

올가을	올가을/NNG
대학로가	대학로/NNP+가/JKS
실험	실험/NNG
연극으로	연극/NNG+으로/JKB
물든다.	물들/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.4.1
22일까지 서울 대학로에서 서울연극협회가 준비한 ‘제7회 서울미래연극제(ST-Future)’와 ‘2017 서울연극폭탄(ST-BOMB)’ 무대가 동시에 펼쳐진다.

22일까지	22/SN+일/NNB+까지/JX
서울	서울/NNP
대학로에서	대학로/NNP+에서/JKB
서울연극협회가	서울연극협회/NNP+가/JKS
준비한	준비/NNG+하/XSV+ㄴ/ETM
‘제7회	‘/SS+제/XPN+7/SN+회/NNB
서울미래연극제(ST-Future)’와	서울/NNP+미래/NNG+연극제/NNG+(/SS+ST/SL+-/SO+Future/SL+)/SS+’/SS+와/JC
‘2017	‘/SS+2017/SN
서울연극폭탄(ST-BOMB)’	서울/NNP+연극/NNG+폭탄/NNG+(/SS+ST/SL+-/SO+BOMB/SL+)/SS+’/SS
무대가	무대/NNG+가/JKS
동시에	동시/NNG+에/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.4.2
두 연극 축제 모두 실험적인 국내 창작극을 발견하고 해외 무대 진출을 모색하기 위해 마련됐다.

두	두/MMN
연극	연극/NNG
축제	축제/NNG
모두	모두/MAG
실험적인	실험/NNG+적/XSN+이/VCP+ㄴ/ETM
국내	국내/NNG
창작극을	창작극/NNG+을/JKO
발견하고	발견/NNG+하/XSV+고/EC
해외	해외/NNG
무대	무대/NNG
진출을	진출/NNG+을/JKO
모색하기	모색/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.122.5.1
서울미래연극제가 선보이는 7개 작품은 희곡을 넘어 다양한 표현 방법을 활용 및 개발한 창작 작품들이다.

서울미래연극제가	서울/NNP+미래/NNG+연극제/NNG+가/JKS
선보이는	선보이/VV+는/ETM
7개	7/SN+개/NNB
작품은	작품/NNG+은/JX
희곡을	희곡/NNG+을/JKO
넘어	넘/VV+어/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
표현	표현/NNG
방법을	방법/NNG+을/JKO
활용	활용/NNG
및	및/MAG
개발한	개발/NNG+하/XSV+ㄴ/ETM
창작	창작/NNG
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.122.5.2
장르의 경계가 없는 실험과 시도가 돋보인다.

장르의	장르/NNG+의/JKG
경계가	경계/NNG+가/JKS
없는	없/VA+는/ETM
실험과	실험/NNG+과/JC
시도가	시도/NNG+가/JKS
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.6.1
해보카 프로젝트의 ‘씹을 거리를 가져오세요’는 다큐멘터리 시어터를 차용해 ‘화’라는 감정 밑에 숨겨진 것을 찾아 나선다.

해보카	해보카/NNG
프로젝트의	프로젝트/NNG+의/JKG
‘씹을	‘/SS+씹/VV+을/ETM
거리를	거리/NNB+를/JKO
가져오세요’는	가져오/VV+시/EP+어요/EF+’/SS+는/JX
다큐멘터리	다큐멘터리/NNG
시어터를	시어터/NNG+를/JKO
차용해	차용/NNG+하/XSV+아/EC
‘화’라는	‘/SS+화/NNG+’/SS+이/VCP+라는/ETM
감정	감정/NNG
밑에	밑/NNG+에/JKB
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
것을	것/NNB+을/JKO
찾아	찾/VV+아/EC
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.6.2
이를 위해 창작진은 한강 다리 위 등에서 텐트를 치고 동시대를 살고 있는 관객들의 ‘분노’를 수집해 공유하는 프로젝트를 진행했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
창작진은	창작진/NNG+은/JX
한강	한강/NNP
다리	다리/NNG
위	위/NNG
등에서	등/NNB+에서/JKB
텐트를	텐트/NNG+를/JKO
치고	치/VV+고/EC
동시대를	동시대/NNG+를/JKO
살고	살/VV+고/EC
있는	있/VX+는/ETM
관객들의	관객/NNG+들/XSN+의/JKG
‘분노’를	‘/SS+분노/NNG+’/SS+를/JKO
수집해	수집/NNG+하/XSV+아/EC
공유하는	공유/NNG+하/XSV+는/ETM
프로젝트를	프로젝트/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.122.6.3
이번 공연에선 곳곳에서 수집한 다양한 관객의 이야기를 주고받으며 인간의 욕망과 삶을 이야기한다.

이번	이번/NNG
공연에선	공연/NNG+에서/JKB+ㄴ/JX
곳곳에서	곳곳/NNG+에서/JKB
수집한	수집/NNG+하/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
관객의	관객/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
주고받으며	주고받/VV+으며/EC
인간의	인간/NNG+의/JKG
욕망과	욕망/NNG+과/JC
삶을	삶/NNG+을/JKO
이야기한다.	이야기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.6.4
12∼15일 알과핵 소극장.

12∼15일	12/SN+∼/SO+15/SN+일/NNB
알과핵	알과핵/NNP
소극장.	소/XPN+극장/NNG+./SF


# id : NWRW1800000053.122.7.1
예술단체 인테러뱅의 ‘VISUS-동물농장: 두 발은 나쁘고 네 발은 좋다’(11∼15일·드림씨어터)는 조지 오웰의 ‘동물농장’을 각색해 무대에 올린다.

예술단체	예술/NNG+단체/NNG
인테러뱅의	인테러뱅/NNP+의/JKG
‘VISUS-동물농장:	‘/SS+VISUS/SL+-/SO+동물/NNG+농장/NNG+:/SP
두	두/MMN
발은	발/NNG+은/JX
나쁘고	나쁘/VA+고/EC
네	네/MMN
좋다’(11∼15일·드림씨어터)는	좋/VA+다/EF+’/SS+(/SS+11/SN+∼/SO+15/SN+일/NNB+·/SP+드림씨어터/NNP+)/SS+는/JX
조지	조지/NNP
오웰의	오웰/NNP+의/JKG
‘동물농장’을	‘/SS+동물/NNG+농장/NNG+’/SS+을/JKO
각색해	각색/NNG+하/XSV+아/EC
무대에	무대/NNG+에/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.7.2
극단 시지프의 ‘[On-Air] BJ 파우스트’도 주목할 만하다.

극단	극단/NNG
시지프의	시지프/NNP+의/JKG
‘[On-Air]	‘/SS+[/SS+On/SL+-/SO+Air/SL+]/SS
BJ	BJ/SL
파우스트’도	파우스트/NNP+’/SS+도/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000053.122.7.3
페이스북 실시간 방송을 통해 무대와 객석, 그리고 극장 밖 대중까지 접촉하며 연극의 소통이란 무엇인가를 고민한다.

페이스북	페이스북/NNP
실시간	실시간/NNG
방송을	방송/NNG+을/JKO
통해	통하/VV+아/EC
무대와	무대/NNG+와/JC
객석,	객석/NNG+,/SP
그리고	그리고/MAJ
극장	극장/NNG
밖	밖/NNG
대중까지	대중/NNG+까지/JX
접촉하며	접촉/NNG+하/XSV+며/EC
연극의	연극/NNG+의/JKG
소통이란	소통/NNG+이란/JX
무엇인가를	무엇/NP+이/VCP+ㄴ가/EF+를/JKO
고민한다.	고민/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.7.4
11∼15일 드림아트센터 4관.

11∼15일	11/SN+∼/SO+15/SN+일/NNB
드림아트센터	드림아트센터/NNP
4관.	4관/NNG+./SF


# id : NWRW1800000053.122.8.1
서울연극협회는 참가작 중 3개 작품을 베스트 작품으로 선정하고, 23일 폐막식에서 발표할 예정이다.

서울연극협회는	서울연극협회/NNP+는/JX
참가작	참가작/NNG
중	중/NNB
3개	3/SN+개/NNB
작품을	작품/NNG+을/JKO
베스트	베스트/NNG
작품으로	작품/NNG+으로/JKB
선정하고,	선정/NNG+하/XSV+고/EC+,/SP
23일	23/SN+일/NNB
폐막식에서	폐막식/NNG+에서/JKB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.122.8.2
선정된 작품들은 서울연극폭탄(ST-BOMB)의 네트워크를 통해 본격적 해외 진출을 모색한다.

선정된	선정/NNG+되/XSV+ㄴ/ETM
작품들은	작품/NNG+들/XSN+은/JX
서울연극폭탄(ST-BOMB)의	서울/NNP+연극/NNG+폭탄/NNG+(/SS+ST/SL+-/SO+BOMB/SL+)/SS+의/JKG
네트워크를	네트워크/NNG+를/JKO
통해	통하/VV+아/EC
본격적	본격/NNG+적/XSN
해외	해외/NNG
진출을	진출/NNG+을/JKO
모색한다.	모색/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.9.1
올해 2회째를 맞는 서울연극폭탄(ST-BOMB)은 국내 작품의 진출과 해외 우수 작품 초청을 진행하는 프로젝트다.

올해	올해/NNG
2회째를	2/SN+회/NNB+째/XSN+를/JKO
맞는	맞/VV+는/ETM
서울연극폭탄(ST-BOMB)은	서울/NNP+연극/NNG+폭탄/NNG+(/SS+ST/SL+-/SO+BOMB/SL+)/SS+은/JX
국내	국내/NNG
작품의	작품/NNG+의/JKG
진출과	진출/NNG+과/JC
해외	해외/NNG
우수	우수/NNG
작품	작품/NNG
초청을	초청/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.122.9.2
이번에는 동유럽 권역을 조명한다.

이번에는	이번/NNG+에/JKB+는/JX
동유럽	동유럽/NNP
권역을	권역/NNG+을/JKO
조명한다.	조명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.9.3
루마니아 토니불란드라 극단의 ‘오셀로’가 13일부터 나흘간 동양예술극장 2관 무대에 오른다.

루마니아	루마니아/NNP
토니불란드라	토니불란드라/NNP
극단의	극단/NNG+의/JKG
‘오셀로’가	‘/SS+오셀로/NNG+’/SS+가/JKS
13일부터	13/SN+일/NNB+부터/JX
나흘간	나흘/NNG+간/XSN
동양예술극장	동양예술극장/NNP
2관	2관/NNG
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.122.9.4
이 외에도 체코 폴란드 루마니아 등 동유럽권의 연극 축제 예술감독들과 테이블 토크를 진행한다.

이	이/NP
외에도	외/NNB+에/JKB+도/JX
체코	체코/NNP
폴란드	폴란드/NNP
루마니아	루마니아/NNP
등	등/NNB
동유럽권의	동유럽/NNP+권/XSN+의/JKG
연극	연극/NNG
축제	축제/NNG
예술감독들과	예술/NNG+감독/NNG+들/XSN+과/JC
테이블	테이블/NNG
토크를	토크/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


