# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.199
metadata : {}


# id : NWRW1800000041.199.1.1
지하철역 상가 불나고… 달리던 시외버스 전소

지하철역	지하철역/NNG
상가	상가/NNG
불나고…	불나/VV+고/EC+…/SE
달리던	달리/VV+던/ETM
시외버스	시외버스/NNG
전소	전소/NNG


# id : NWRW1800000041.199.2.1
신속한 초동대처로 禍 면했다

신속한	신속/NNG+하/XSA+ㄴ/ETM
초동대처로	초동/NNG+대처/NNG+로/JKB
禍	禍/SH
면했다	면하/VV+았/EP+다/EF


# id : NWRW1800000041.199.3.1
지난 주말 서울에선 달리는 버스와 지하철 역사 내 상가에서 잇따라 불이 나 자칫 큰 사고로 번질 수 있었으나 신속한 초기 대응으로 인명피해를 막을 수 있었다.

지난	지나/VV+ㄴ/ETM
주말	주말/NNG
서울에선	서울/NNP+에서/JKB+ㄴ/JX
달리는	달리/VV+는/ETM
버스와	버스/NNG+와/JC
지하철	지하철/NNG
역사	역사/NNG
내	내/NNB
상가에서	상가/NNG+에서/JKB
잇따라	잇따르/VV+아/EC
불이	불/NNG+이/JKS
나	나/VV+아/EC
자칫	자칫/MAG
큰	크/VA+ㄴ/ETM
사고로	사고/NNG+로/JKB
번질	번지/VV+ㄹ/ETM
수	수/NNB
있었으나	있/VA+었/EP+으나/EC
신속한	신속/NNG+하/XSA+ㄴ/ETM
초기	초기/NNG
대응으로	대응/NNG+으로/JKB
인명피해를	인명/NNG+피해/NNG+를/JKO
막을	막/VV+을/ETM
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.199.4.1
17일 오후 2시경 서울 서초구 원지동 경부고속도로 양재나들목에서 부산 방향 3km 지점에서 달리던 청주행 시외버스 차량 앞쪽에서 연기가 솟아올랐다.

17일	17/SN+일/NNB
오후	오후/NNG
2시경	2/SN+시/NNB+경/XSN
서울	서울/NNP
서초구	서초구/NNP
원지동	원지동/NNP
