# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.70
metadata : {}


# id : NWRW1800000044.70.1.1
중미 대선에도 ‘좌파 바람’ 부나

중미	중미/NNP
대선에도	대선/NNG+에/JKB+도/JX
‘좌파	‘/SS+좌파/NNG
바람’	바람/NNG+’/SS
부나	불/VV+나/EF


# id : NWRW1800000044.70.2.1
[한겨레] 엘살바도르·코스타리카 중간개표

[한겨레]	[/SS+한겨레/NNP+]/SS
엘살바도르·코스타리카	엘살바도르/NNP+·/SP+코스타리카/NNP
중간개표	중간/NNG+개표/NNG


# id : NWRW1800000044.70.3.1
두 나라 모두 좌파 후보 선두 달려

두	두/MMN
나라	나라/NNG
모두	모두/MAG
좌파	좌파/NNG
후보	후보/NNG
선두	선두/NNG
달려	달리/VV+어/EF


# id : NWRW1800000044.70.4.1
표차 안커 각각 3·4월 결선투표 할듯

표차	표/NNG+차/NNG
안커	안/MAG+크/VA+어/EC
각각	각각/MAG
3·4월	3/SN+·/SP+4/SN+월/NNB
결선투표	결선/NNG+투표/NNG
할듯	하/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000044.70.5.1
남아메리카를 휩쓴 ‘좌파 바람’이 중앙아메리카에서도 위세를 떨치고 있다.

남아메리카를	남아메리카/NNP+를/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
‘좌파	‘/SS+좌파/NNG
바람’이	바람/NNG+’/SS+이/JKS
중앙아메리카에서도	중앙아메리카/NNP+에서/JKB+도/JX
위세를	위세/NNG+를/JKO
떨치고	떨치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.70.5.2
2일 치러진 엘살바도르와 코스타리카 대선 중간 개표 결과 좌파 후보가 나란히 선두를 달리고 있다.

2일	2/SN+일/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
엘살바도르와	엘살바도르/NNP+와/JC
코스타리카	코스타리카/NNP
대선	대선/NNG
중간	중간/NNG
개표	개표/NNG
결과	결과/NNG
좌파	좌파/NNG
후보가	후보/NNG+가/JKS
나란히	나란히/MAG
선두를	선두/NNG+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.70.5.3
두 후보 모두 압도적 승리를 거두진 못할 것으로 보여, 결선 투표를 치를 전망이다.

두	두/MMN
후보	후보/NNG
모두	모두/MAG
압도적	압도/NNG+적/XSN
승리를	승리/NNG+를/JKO
거두진	거두/VV+지/EC+ㄴ/JX
못할	못하/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여,	보이/VV+어/EC+,/SP
결선	결선/NNG
투표를	투표/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.70.6.1
<데페아>(DPA) 통신 등 외신 보도를 종합하면, 3일 개표가 75%가량 진행된 엘살바도르에선 집권 ‘파라분도 마르티 민족해방전선’(FMLN)의 살바도르 산체스 세렌(69) 후보가 49%의 득표율로 1위를 기록했다.

<데페아>(DPA)	</SS+데페아/NNP+>/SS+(/SS+DPA/SL+)/SS
통신	통신/NNG
등	등/NNB
외신	외신/NNG
보도를	보도/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
3일	3/SN+일/NNB
개표가	개표/NNG+가/JKS
75%가량	75/SN+%/SW+가량/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
엘살바도르에선	엘살바도르/NNP+에서/JKB+ㄴ/JX
집권	집권/NNG
‘파라분도	‘/SS+파라분도/NNP
마르티	마르티/NNP
민족해방전선’(FMLN)의	민족해방전선/NNP+’/SS+(/SS+FMLN/SL+)/SS+의/JKG
살바도르	살바도르/NNP
산체스	산체스/NNP
세렌(69)	세렌/NNP+(/SS+69/SN+)/SS
후보가	후보/NNG+가/JKS
49%의	49/SN+%/SW+의/JKG
득표율로	득표/NNG+율/XSN+로/JKB
1위를	1/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.70.6.2
민족공화동맹(ARENA)의 노르만 키하노(67) 후보는 39%의 득표율로 뒤를 쫓고 있다.

민족공화동맹(ARENA)의	민족공화동맹/NNP+(/SS+ARENA/SL+)/SS+의/JKG
노르만	노르만/NNP
키하노(67)	키하노/NNP+(/SS+67/SN+)/SS
후보는	후보/NNG+는/JX
39%의	39/SN+%/SW+의/JKG
득표율로	득표/NNG+율/XSN+로/JKB
뒤를	뒤/NNG+를/JKO
쫓고	쫓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.70.7.1
좌파 게릴라 단체이던 해방전선은 내전이 끝난 뒤인 1992년 정당으로 변신해, 2009년 대선에서 17년간 집권한 보수 성향의 공화동맹을 꺾고 집권에 성공했다.

좌파	좌파/NNG
게릴라	게릴라/NNG
단체이던	단체/NNG+이/VCP+던/ETM
해방전선은	해방전선/NNP+은/JX
내전이	내전/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1992년	1992/SN+년/NNB
정당으로	정당/NNG+으로/JKB
변신해,	변신/NNG+하/XSV+아/EC+,/SP
2009년	2009/SN+년/NNB
대선에서	대선/NNG+에서/JKB
17년간	17/SN+년/NNB+간/XSN
집권한	집권/NNG+하/XSV+ㄴ/ETM
보수	보수/NNG
성향의	성향/NNG+의/JKG
공화동맹을	공화동맹/NNP+을/JKO
꺾고	꺾/VV+고/EC
집권에	집권/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.70.7.2
마우리시오 푸네스 대통령의 현정부는 무상교육 확대와 빈농에 종자·농자재 지원, 노인 복지연금 도입 등으로 공화동맹의 오랜 표밭이던 농민·빈민층의 마음을 사로잡았다.

마우리시오	마우리시오/NNP
푸네스	푸네스/NNP
대통령의	대통령/NNG+의/JKG
현정부는	현/MMD+정부/NNG+는/JX
무상교육	무상/NNG+교육/NNG
확대와	확대/NNG+와/JC
빈농에	빈농/NNG+에/JKB
종자·농자재	종자/NNG+·/SP+농자재/NNG
지원,	지원/NNG+,/SP
노인	노인/NNG
복지연금	복지/NNG+연금/NNG
도입	도입/NNG
등으로	등/NNB+으로/JKB
공화동맹의	공화동맹/NNP+의/JKG
오랜	오랜/MMA
표밭이던	표밭/NNG+이/VCP+던/ETM
농민·빈민층의	농민/NNG+·/SP+빈민/NNG+층/XSN+의/JKG
마음을	마음/NNG+을/JKO
사로잡았다.	사로잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.70.7.3
하지만 예산적자 누적과 일자리 창출 실패, 수그러들지 않는 조직범죄 등이 발목을 잡아 정권 재창출이 어려우리란 전망이 나오기도 했다.

하지만	하지만/MAJ
예산적자	예산/NNG+적자/NNG
누적과	누적/NNG+과/JC
일자리	일자리/NNG
창출	창출/NNG
실패,	실패/NNG+,/SP
수그러들지	수그러들/VV+지/EC
않는	않/VX+는/ETM
조직범죄	조직범죄/NNG
등이	등/NNB+이/JKS
발목을	발목/NNG+을/JKO
잡아	잡/VV+아/EC
정권	정권/NNG
재창출이	재/XPN+창출/NNG+이/JKS
어려우리란	어렵/VA+으리란/ETM
전망이	전망/NNG+이/JKS
나오기도	나오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.70.7.4
<보스턴글로브>는 “유권자들이 아직은 공화동맹의 재집권을 받아들일 수 없다는 정서가 강한 것으로 보인다”고 풀었다.

<보스턴글로브>는	</SS+보스턴글로브/NNP+>/SS+는/JX
“유권자들이	“/SS+유권자/NNG+들/XSN+이/JKS
아직은	아직/MAG+은/JX
공화동맹의	공화동맹/NNP+의/JKG
재집권을	재/XPN+집권/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
정서가	정서/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.70.8.1
코스타리카에선 좌파 성향인 시민행동당(PAC)의 루이스 기예르모 솔리스(55) 후보가 초반 열세를 뒤집고, 보수 성향인 집권 민족해방당(PLN)의 조니 아라야(56) 후보를 앞질렀다.

코스타리카에선	코스타리카/NNP+에서/JKB+ㄴ/JX
좌파	좌파/NNG
성향인	성향/NNG+이/VCP+ㄴ/ETM
시민행동당(PAC)의	시민행동당/NNP+(/SS+PAC/SL+)/SS+의/JKG
루이스	루이스/NNP
기예르모	기예르모/NNP
솔리스(55)	솔리스/NNP+(/SS+55/SN+)/SS
후보가	후보/NNG+가/JKS
초반	초반/NNG
열세를	열세/NNG+를/JKO
뒤집고,	뒤집/VV+고/EC+,/SP
보수	보수/NNG
집권	집권/NNG
민족해방당(PLN)의	민족해방당/NNP+(/SS+PLN/SL+)/SS+의/JKG
조니	조니/NNP
아라야(56)	아라야/NNP+(/SS+56/SN+)/SS
후보를	후보/NNG+를/JKO
앞질렀다.	앞지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.70.8.2
<로이터> 통신은 3일 “개표율이 70%를 넘자 솔리스 후보(30.8%)가 아라야 후보(29.7%)를 누르고 역전에 성공했다”고 전했다.

<로이터>	</SS+로이터/NNP+>/SS
통신은	통신/NNG+은/JX
3일	3/SN+일/NNB
“개표율이	“/SS+개표/NNG+율/XSN+이/JKS
70%를	70/SN+%/SW+를/JKO
넘자	넘/VV+자/EC
솔리스	솔리스/NNP
후보(30.8%)가	후보/NNG+(/SS+30/SN+./SP+8/SN+%/SW+)/SS+가/JKS
아라야	아라야/NNP
후보(29.7%)를	후보/NNG+(/SS+29/SN+./SP+7/SN+%/SW+)/SS+를/JKO
누르고	누르/VV+고/EC
역전에	역전/NNG+에/JKB
성공했다”고	성공/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.70.9.1
엘살바도르와 코스타리카에선 득표율이 각각 50%와 40%를 넘는 후보가 없으면 결선 투표를 실시한다.

엘살바도르와	엘살바도르/NNP+와/JC
코스타리카에선	코스타리카/NNP+에서/JKB+ㄴ/JX
득표율이	득표/NNG+율/XSN+이/JKS
각각	각각/MAG
50%와	50/SN+%/SW+와/JKB
40%를	40/SN+%/SW+를/JKO
넘는	넘/VV+는/ETM
후보가	후보/NNG+가/JKS
없으면	없/VA+으면/EC
결선	결선/NNG
투표를	투표/NNG+를/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


