# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.312
metadata : {}


# id : NWRW1800000022.312.1.1
[北 무단방류 '임진강 참변'] "방류 직전 水位, 평소보다 안 높았는데 왜?";전문가들 '北 주장' 비판 "北, 댐 수위 조절하려면 조금씩 흘려도 충분한데 갑자기 수문 열어 피해"

[北	[/SS+北/SH
무단방류	무단/NNG+방류/NNG
'임진강	'/SS+임진강/NNP
참변']	참변/NNG+'/SS+]/SS
"방류	"/SS+방류/NNG
직전	직전/NNG
水位,	水位/SH+,/SP
평소보다	평소/NNG+보다/JKB
안	안/MAG
높았는데	높/VA+았/EP+는데/EC
왜?";전문가들	왜/MAG+?/SF+"/SS+;/SP+전문가/NNG+들/XSN
'北	'/SS+北/SH
주장'	주장/NNG+'/SS
비판	비판/NNG
"北,	"/SS+北/SH+,/SP
댐	댐/NNG
수위	수위/NNG
조절하려면	조절/NNG+하/XSV+려면/EC
조금씩	조금/NNG+씩/XSN
흘려도	흘리/VV+어도/EC
충분한데	충분하/VA+ㄴ데/EC
갑자기	갑자기/MAG
수문	수문/NNG
열어	열/VV+어/EC
피해"	피해/NNG+"/SS


# id : NWRW1800000022.312.2.1
북한이 7일 오후 임진강 댐 무단 방류 사건과 관련, "강 상류 수위가 높아져 긴급 방류했다"고 해명한 데 대해 국내 수자원 전문가들은 "상식적으로 도저히 납득하기 어렵다"며 조목조목 반박했다.

북한이	북한/NNP+이/JKS
7일	7/SN+일/NNB
오후	오후/NNG
임진강	임진강/NNP
댐	댐/NNG
무단	무단/NNG
방류	방류/NNG
사건과	사건/NNG+과/JKB
관련,	관련/NNG+,/SP
"강	"/SS+강/NNG
상류	상류/NNG
수위가	수위/NNG+가/JKS
높아져	높아지/VV+어/EC
긴급	긴급/NNG
방류했다"고	방류/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
해명한	해명/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
국내	국내/NNG
수자원	수자원/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
"상식적으로	"/SS+상식/NNG+적/XSN+으로/JKB
도저히	도저히/MAG
납득하기	납득/NNG+하/XSV+기/ETN
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
조목조목	조목조목/MAG
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.312.3.1
◆비 온 뒤 방류할 시간 충분히 있어

◆비	◆/SW+비/NNG
온	오/VV+ㄴ/ETM
뒤	뒤/NNG
방류할	방류/NNG+하/XSV+ㄹ/ETM
시간	시간/NNG
충분히	충분히/MAG
있어	있/VA+어/EF


# id : NWRW1800000022.312.4.1
무엇보다 최근 들어 황강댐에 받아두었던 물을 긴박하게 방류할 이유가 없다고 전문가들은 지적한다.

무엇보다	무엇/NP+보다/JKB
최근	최근/NNG
들어	들/VV+어/EC
황강댐에	황강댐/NNP+에/JKB
받아두었던	받/VV+아/EC+두/VX+었/EP+던/ETM
물을	물/NNG+을/JKO
긴박하게	긴박/NNG+하/XSA+게/EC
방류할	방류/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다고	없/VA+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.312.4.2
북한 황강댐의 저수용량은 3억~4억t 규모.

북한	북한/NNP
황강댐의	황강댐/NNP+의/JKG
저수용량은	저수/NNG+용량/NNG+은/JX
3억~4억t	3/SN+억/NR+~/SO+4/SN+억/NR+t/SW
규모.	규모/NNG+./SF


# id : NWRW1800000022.312.4.3
우리나라 팔당댐(2억4400만t)보다 1.5배나 큰 중대형 댐이다.

우리나라	우리나라/NNG
팔당댐(2억4400만t)보다	팔당댐/NNP+(/SS+2/SN+억/NR+4400/SN+만/NR+t/SW+)/SS+보다/JKB
1.5배나	1/SN+./SP+5/SN+배/NNG+나/JX
큰	크/VA+ㄴ/ETM
중대형	중대형/NNG
댐이다.	댐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.312.4.4
하지만 이번 사건이 발생하기 8~9일 전인 지난달 26~27일 임진강 유역에는 223㎜의 비(26일 59㎜, 27일 164㎜)가 내린 것 외에는 큰 비가 오지 않았다고 기상청은 밝혔다.

하지만	하지만/MAJ
이번	이번/NNG
사건이	사건/NNG+이/JKS
발생하기	발생/NNG+하/XSV+기/ETN
8~9일	8/SN+~/SO+9/SN+일/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
26~27일	26/SN+~/SO+27/SN+일/NNB
임진강	임진강/NNP
유역에는	유역/NNG+에/JKB+는/JX
223㎜의	223/SN+㎜/SW+의/JKG
비(26일	비/NNG+(/SS+26/SN+일/NNB
59㎜,	59/SN+㎜/SW+,/SP
27일	27/SN+일/NNB
