# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.418
metadata : {}


# id : NWRW1800000038.418.1.1
김정은이 추진 중인 경제개혁, 北기득권층 반발에 오락가락

김정은이	김정은/NNP+이/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경제개혁,	경제/NNG+개혁/NNG+,/SP
北기득권층	北/SH+기득/NNG+권/XSN+층/XSN
반발에	반발/NNG+에/JKB
오락가락	오락가락/MAG


# id : NWRW1800000038.418.2.1
'시장경제 도입' 발표해놓고 관련 정책 제안한 연구원들, 黨 조직부 주장 따라 처벌

'시장경제	'/SS+시장/NNG+경제/NNG
도입'	도입/NNG+'/SS
발표해놓고	발표/NNG+하/XSV+아/EC+놓/VX+고/EC
관련	관련/NNG
정책	정책/NNG
제안한	제안/NNG+하/XSV+ㄴ/ETM
연구원들,	연구원/NNG+들/XSN+,/SP
黨	黨/SH
조직부	조직부/NNG
주장	주장/NNG
따라	따르/VV+아/EC
처벌	처벌/NNG


# id : NWRW1800000038.418.3.1
북한 김정은 노동당 제1비서가 지난해부터 추진 중인 경제 개혁 조치가 당·군 핵심 권력 엘리트들의 반발에 부딪혀 오락가락하고 있다고, 북한 내부 사정에 정통한 정부 소식통이 14일 밝혔다.

북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
지난해부터	지난해/NNG+부터/JX
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경제	경제/NNG
개혁	개혁/NNG
조치가	조치/NNG+가/JKS
당·군	당/NNG+·/SP+군/NNG
핵심	핵심/NNG
권력	권력/NNG
엘리트들의	엘리트/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
부딪혀	부딪히/VV+어/EC
오락가락하고	오락가락/MAG+하/XSV+고/EC
있다고,	있/VX+다고/EC+,/SP
내부	내부/NNG
사정에	사정/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
정부	정부/NNG
소식통이	소식통/NNG+이/JKS
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.418.4.1
김정은은 지난해 6월 북한 내에 시장경제적 요소를 도입하는 것을 골자로 하는 '6·28 조치'를 발표하면서 각 대학 등 연구 기관에 "누구나 마음 놓고 정책을 제안하라"고 지시했다.

김정은은	김정은/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
북한	북한/NNP
내에	내/NNB+에/JKB
시장경제적	시장/NNG+경제/NNG+적/XSN
요소를	요소/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
