# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.303
metadata : {}


# id : NWRW1800000053.303.1.1
바른정당 끝장토론 “국정농단 세력과 연대는 없다”

바른정당	바른정당/NNP
끝장토론	끝장/NNG+토론/NNG
“국정농단	“/SS+국정/NNG+농단/NNG
세력과	세력/NNG+과/JKB
연대는	연대/NNG+는/JX
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000053.303.2.1
“후보 확정때까지 독자행보”… 김무성 재등판론도 공식 논의 “탄핵 기각땐 의원직 총사퇴” 거론도

“후보	“/SS+후보/NNG
확정때까지	확정/NNG+때/NNG+까지/JX
독자행보”…	독자/NNG+행보/NNG+”/SS+…/SE
김무성	김무성/NNP
재등판론도	재/XPN+등판/NNG+론/XSN+도/JX
공식	공식/NNG
논의	논의/NNG
“탄핵	“/SS+탄핵/NNG
기각땐	기각/NNG+때/NNG+ㄴ/JX
의원직	의원직/NNG
총사퇴”	총사퇴/NNG+”/SS
거론도	거론/NNG+도/JX


# id : NWRW1800000053.303.3.1
바른정당이 12일 ‘끝장 대토론회’를 열고 당내 대선 주자 간 갈등의 원인이 돼 온 연대론과 관련해 “스스로 정체성을 확립하면서 독자적인 길을 가겠다”며 진화에 나섰다.

바른정당이	바른정당/NNP+이/JKS
12일	12/SN+일/NNB
‘끝장	‘/SS+끝장/NNG
대토론회’를	대/XPN+토론회/NNG+’/SS+를/JKO
열고	열/VV+고/EC
당내	당내/NNG
대선	대선/NNG
주자	주자/NNG
간	간/NNB
갈등의	갈등/NNG+의/JKG
원인이	원인/NNG+이/JKC
돼	되/VV+어/EC
온	오/VX+ㄴ/ETM
연대론과	연대/NNG+론/XSN+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“스스로	“/SS+스스로/MAG
정체성을	정체/NNG+성/XSN+을/JKO
확립하면서	확립/NNG+하/XSV+면서/EC
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
길을	길/NNG+을/JKO
가겠다”며	가/VV+겠/EP+다/EF+”/SS+며/EC
진화에	진화/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.303.4.1
최근 유승민 의원은 ‘보수 후보 단일화론’을 펼쳤고, 남경필 경기도지사는 “보수끼리 뭉치는 건 과거 정치”라며 유 의원과 각을 세워왔다.

최근	최근/MAG
유승민	유승민/NNP
의원은	의원/NNG+은/JX
‘보수	‘/SS+보수/NNG
후보	후보/NNG
단일화론’을	단일/NNG+화/XSN+론/XSN+’/SS+을/JKO
펼쳤고,	펼치/VV+었/EP+고/EC+,/SP
남경필	남경필/NNP
경기도지사는	경기/NNP+도지사/NNG+는/JX
“보수끼리	“/SS+보수/NNG+끼리/XSN
뭉치는	뭉치/VV+는/ETM
건	거/NNB+ㄴ/JX
과거	과거/NNG
정치”라며	정치/NNG+”/SS+이/VCP+라며/EC
유	유/NNP
의원과	의원/NNG+과/JKB
각을	각/NNG+을/JKO
세워왔다.	세우/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.303.4.2
남 지사는 이날 토론회에서도 “우리는 국정농단에 반대하고 따뜻한 여당의 길을 포기한 야당”이라며 선명성을 강조했다.

남	남/NNP
지사는	지사/NNG+는/JX
이날	이날/NNG
토론회에서도	토론회/NNG+에서/JKB+도/JX
“우리는	“/SS+우리/NP+는/JX
국정농단에	국정/NNG+농단/NNG+에/JKB
반대하고	반대/NNG+하/XSV+고/EC
따뜻한	따뜻하/VA+ㄴ/ETM
여당의	여당/NNG+의/JKG
길을	길/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
야당”이라며	야당/NNG+”/SS+이/VCP+라며/EC
선명성을	선명/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.303.5.1
하지만 두 후보 모두 경선을 치러야 하는 상황에서 당론으로 어느 한쪽 손을 들어주기는 어렵다.

