# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.206
metadata : {}


# id : NWRW1800000022.206.1.1
[제주ㆍ서울]우도 차량총량제 올 휴가철에도 시행

[제주ㆍ서울]우도	[/SS+제주/NNP+ㆍ/SP+서울/NNP+]/SS+우도/NNP
차량총량제	차량/NNG+총량/NNG+제/XSN
올	올/NNG
휴가철에도	휴가철/NNG+에/JKB+도/JX
시행	시행/NNG


# id : NWRW1800000022.206.2.1
올해 휴가철에도 '섬 속의 섬' 우도에 들어갈 수 있는 차량이 하루 최대 605대로 제한된다.

올해	올해/NNG
휴가철에도	휴가철/NNG+에/JKB+도/JX
'섬	'/SS+섬/NNG
속의	속/NNG+의/JKG
섬'	섬/NNG+'/SS
우도에	우도/NNP+에/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
차량이	차량/NNG+이/JKS
하루	하루/NNG
최대	최대/NNG
605대로	605/SN+대/NNB+로/JKB
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.206.3.1
제주도는 제주시 우도에 지난해에 이어 올해 7~8월에도 차량총량제를 시행하기로 했다고 9일 밝혔다.

제주도는	제주도/NNP+는/JX
제주시	제주시/NNP
우도에	우도/NNP+에/JKB
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
올해	올해/NNG
7~8월에도	7/SN+~/SO+8/SN+월/NNB+에/JKB+도/JX
차량총량제를	차량/NNG+총량/NNG+제/XSN+를/JKO
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.206.3.2
피서객이 반입하는 차량으로 교통체증은 물론 경관과 생태계 훼손 등 부작용을 막기 위해서다.

피서객이	피서객/NNG+이/JKS
반입하는	반입/NNG+하/XSV+는/ETM
차량으로	차량/NNG+으로/JKB
교통체증은	교통/NNG+체증/NNG+은/JX
물론	물론/MAG
경관과	경관/NNG+과/JC
생태계	생태/NNG+계/XSN
훼손	훼손/NNG
등	등/NNB
부작용을	부작용/NNG+을/JKO
막기	막/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000022.206.3.3
차량총량제는 도시교통정비촉진법과 제주도 도시교통정비촉진에 관한 조례에 근거를 두고, 지역경제에 미치는 영향과 주민 만족도 조사를 바탕으로 섬으로 반입되는 차량 한도를 정한 것이다.

차량총량제는	차량/NNG+총량/NNG+제/XSN+는/JX
도시교통정비촉진법과	도시/NNG+교통/NNG+정비/NNG+촉진법/NNG+과/JC
제주도	제주도/NNP
도시교통정비촉진에	도시/NNG+교통/NNG+정비/NNG+촉진/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례에	조례/NNG+에/JKB
근거를	근거/NNG+를/JKO
두고,	두/VV+고/EC+,/SP
지역경제에	지역/NNG+경제/NNG+에/JKB
미치는	미치/VV+는/ETM
영향과	영향/NNG+과/JC
주민	주민/NNG
만족도	만족도/NNG
조사를	조사/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
섬으로	섬/NNG+으로/JKB
반입되는	반입/NNG+되/XSV+는/ETM
차량	차량/NNG
한도를	한도/NNG+를/JKO
정한	정하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.206.4.1
제주도는 제주시와 우도면, 우도도항선 대합실 등에 차량총량제 상황실을 설치해 운영하고 관광여행안내사협회 등을 통해 피서객들에게 이를 적극 홍보할 예정이다.

제주도는	제주도/NNP+는/JX
제주시와	제주시/NNP+와/JC
