# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.152
metadata : {}


# id : NWRW1800000046.152.1.1
[교육의 미래를 묻는다] (4) 2014 노벨평화상 카일라시

[교육의	[/SS+교육/NNG+의/JKG
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.152.5.2
한국은 교육의 질을 높여 산업화를 이뤘고, 가난에서 벗어나 번영에 성공했다.

한국은	한국/NNP+은/JX
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
높여	높이/VV+어/EC
산업화를	산업/NNG+화/XSN+를/JKO
이뤘고,	이루/VV+었/EP+고/EC+,/SP
가난에서	가난/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
번영에	번영/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.152.5.3
인도와 방글라데시 등 남아시아에서도 많은 아이가 학교에 다닐 수 있게 됐지만, 교육의 질을 높이는 데 더 힘써야 한다.

인도와	인도/NNP+와/JC
방글라데시	방글라데시/NNP
등	등/NNB
남아시아에서도	남아시아/NNP+에서/JKB+도/JX
많은	많/VA+은/ETM
아이가	아이/NNG+가/JKS
학교에	학교/NNG+에/JKB
다닐	다니/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐지만,	되/VV+었/EP+지만/EC+,/SP
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
높이는	높이/VV+는/ETM
데	데/NNB
더	더/MAG
힘써야	힘쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.152.5.4
학교를 졸업하지 못하고 노동 현장으로 되돌아가는 학생이 많다.

학교를	학교/NNG+를/JKO
졸업하지	졸업/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
노동	노동/NNG
현장으로	현장/NNG+으로/JKB
되돌아가는	되돌아가/VV+는/ETM
학생이	학생/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.152.5.5
교사들에 대한 훈련도 부족하다."

교사들에	교사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
훈련도	훈련/NNG+도/JX
부족하다."	부족/NNG+하/XSA+다/EF+./SF+"/SS


# id : NWRW1800000046.152.6.1
―한국 학생들은 지나친 경쟁 때문에 행복도가 낮다.

―한국	―/SS+한국/NNP
학생들은	학생/NNG+들/XSN+은/JX
지나친	지나치/VA+ㄴ/ETM
경쟁	경쟁/NNG
때문에	때문/NNB+에/JKB
행복도가	행복도/NNG+가/JKS
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000046.152.7.1
"만족감과 행복은 부와 발전, 지식으로부터 나오는 것이 아니다.

"만족감과	"/SS+만족감/NNG+과/JC
행복은	행복/NNG+은/JX
부와	부/NNG+와/JC
발전,	발전/NNG+,/SP
지식으로부터	지식/NNG+으로부터/JKB
나오는	나오/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.152.7.2
행복은 우리가 얼마나 많이 갖고 있느냐가 아니라 얼마나 줄 수 있느냐에 따르는 것이다.

행복은	행복/NNG+은/JX
우리가	우리/NP+가/JKS
얼마나	얼마나/MAG
많이	많이/MAG
갖고	갖/VV+고/EC
있느냐가	있/VX+느냐/EF+가/JKC
아니라	아니/VCN+라/EC
줄	주/VV+ㄹ/ETM
수	수/NNB
있느냐에	있/VA+느냐/EF+에/JKB
따르는	따르/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.152.7.3
한국이 지금까지 성취한 것이 얼마나 많은가.

한국이	한국/NNP+이/JKS
지금까지	지금/NNG+까지/JX
성취한	성취/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
얼마나	얼마나/MAG
많은가.	많/VA+은가/EF+./SF


# id : NWRW1800000046.152.7.4
이제는 그 성취를 어떻게 지구촌에 돌려주느냐를 고민할 시점이 됐다."

이제는	이제/NNG+는/JX
그	그/MMD
성취를	성취/NNG+를/JKO
어떻게	어떻/VA+게/EC
지구촌에	지구촌/NNG+에/JKB
돌려주느냐를	돌려주/VV+느냐/EF+를/JKO
고민할	고민/NNG+하/XSV+ㄹ/ETM
시점이	시점/NNG+이/JKC
됐다."	되/VV+었/EP+다/EF+./SF+"/SS


# id : NWRW1800000046.152.8.1
―그렇다면 당신이 생각하는 교육의 궁극적인 목표는 무엇인가.

―그렇다면	―/SS+그렇/VA+다면/EC
당신이	당신/NP+이/JKS
생각하는	생각/NNG+하/XSV+는/ETM
교육의	교육/NNG+의/JKG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
목표는	목표/NNG+는/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000046.152.9.1
"교육이 나라의 경제적 발전에 긍정적인 영향을 미친다는 점은 증명됐다.

"교육이	"/SS+교육/NNG+이/JKS
나라의	나라/NNG+의/JKG
경제적	경제/NNG+적/XSN
발전에	발전/NNG+에/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친다는	미치/VV+ㄴ다는/ETM
점은	점/NNG+은/JX
증명됐다.	증명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.152.9.2
하지만 교육의 궁극적인 목표는 개개인의 잠재적인 능력을 깨우고 내면의 인간성을 키워, 남을 도우면서 행복을 느끼는 것이다.

하지만	하지만/MAJ
교육의	교육/NNG+의/JKG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
목표는	목표/NNG+는/JX
개개인의	개개인/NNG+의/JKG
잠재적인	잠재/NNG+적/XSN+이/VCP+ㄴ/ETM
능력을	능력/NNG+을/JKO
깨우고	깨우/VV+고/EC
내면의	내면/NNG+의/JKG
인간성을	인간/NNG+성/XSN+을/JKO
키워,	키우/VV+어/EC+,/SP
남을	남/NNG+을/JKO
도우면서	돕/VV+으면서/EC
행복을	행복/NNG+을/JKO
느끼는	느끼/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.152.9.3
교육을 통해 나를 알고, 다른 사람을 알고, 세상을 이해하게 되는 것.

교육을	교육/NNG+을/JKO
통해	통하/VV+아/EC
나를	나/NP+를/JKO
알고,	알/VV+고/EC+,/SP
다른	다른/MMD
사람을	사람/NNG+을/JKO
세상을	세상/NNG+을/JKO
이해하게	이해/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.152.9.4
결과적으로는 사회 정의와 평등을 이뤄내는 것이다."

결과적으로는	결과/NNG+적/XSN+으로/JKB+는/JX
사회	사회/NNG
정의와	정의/NNG+와/JC
평등을	평등/NNG+을/JKO
이뤄내는	이루/VV+어/EC+내/VX+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.152.10.1
―대학 입시와 취업난에 시달리는 한국 청년들에게 해주고 싶은 말이 있다면.

―대학	―/SS+대학/NNG
입시와	입시/NNG+와/JC
취업난에	취업난/NNG+에/JKB
시달리는	시달리/VV+는/ETM
한국	한국/NNP
청년들에게	청년/NNG+들/XSN+에게/JKB
해주고	하/VV+아/EC+주/VX+고/EC
싶은	싶/VX+은/ETM
말이	말/NNG+이/JKS
있다면.	있/VA+다면/EC+./SF


# id : NWRW1800000046.152.11.1
"방글라데시, 네팔 등 많은 남아시아 국가가 빈곤하지만 행복지수는 높다.

"방글라데시,	"/SS+방글라데시/NNP+,/SP
네팔	네팔/NNP
등	등/NNB
많은	많/VA+은/ETM
남아시아	남아시아/NNP
국가가	국가/NNG+가/JKS
빈곤하지만	빈곤/NNG+하/XSA+지만/EC
행복지수는	행복/NNG+지수/NNG+는/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.152.11.2
이웃과의 관계가 돈독하기 때문이다.

이웃과의	이웃/NNG+과/JKB+의/JKG
관계가	관계/NNG+가/JKS
돈독하기	돈독하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.152.11.3
이들은 거리에서 함께 춤추고 웃고 울고 싸운다.

이들은	이/NP+들/XSN+은/JX
거리에서	거리/NNG+에서/JKB
함께	함께/MAG
춤추고	춤추/VV+고/EC
웃고	웃/VV+고/EC
울고	울/VV+고/EC
싸운다.	싸우/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.152.11.4
비록 가난하지만 타인과 연결돼 있다는 것을 알기 때문에 안정감을 느낀다.

비록	비록/MAG
가난하지만	가난/NNG+하/XSA+지만/EC
타인과	타인/NNG+과/JKB
연결돼	연결/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
알기	알/VV+기/ETN
때문에	때문/NNB+에/JKB
안정감을	안정감/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.152.11.5
한국의 청소년과 젊은이들도 오늘, 아니 일주일에 한 번이라도 내가 다른 사람을 미소 짓게 만들었는가를 돌아보기 바란다.

한국의	한국/NNP+의/JKG
청소년과	청소년/NNG+과/JC
젊은이들도	젊은이/NNG+들/XSN+도/JX
오늘,	오늘/NNG+,/SP
아니	아니/IC
일주일에	일주일/NNG+에/JKB
한	한/MMN
번이라도	번/NNB+이/VCP+라도/EC
내가	내/NP+가/JKS
다른	다른/MMD
사람을	사람/NNG+을/JKO
미소	미소/NNG
짓게	짓/VV+게/EC
만들었는가를	만들/VV+었/EP+는가/EF+를/JKO
돌아보기	돌아보/VV+기/ETN
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.152.11.6
자신만을 위해 꿈꾸는 사람은 절대 그 꿈을 이룰 수 없다.

자신만을	자신/NNG+만/JX+을/JKO
위해	위하/VV+아/EC
꿈꾸는	꿈꾸/VV+는/ETM
사람은	사람/NNG+은/JX
절대	절대/MAG
그	그/MMD
꿈을	꿈/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.152.11.7
이웃과 사회를 위한 꿈을 꿔야 한다."

이웃과	이웃/NNG+과/JC
사회를	사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
꿔야	꾸/VV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.152.12.1
―아동 권리를 되찾아 주기 위해 오랫동안 노력해 왔는데.

―아동	―/SS+아동/NNG
권리를	권리/NNG+를/JKO
되찾아	되찾/VV+아/EC
주기	주/VX+기/ETN
위해	위하/VV+아/EC
오랫동안	오랫동안/NNG
노력해	노력/NNG+하/XSV+아/EC
왔는데.	오/VX+았/EP+는데/EC+./SF


# id : NWRW1800000046.152.13.1
"나의 최종적인 목표는 아동 노동 착취나 인신매매를 없애고, 모든 어린이가 어린이다운 삶을 살 수 있게 하는 것이다.

"나의	"/SS+나/NP+의/JKG
최종적인	최종/NNG+적/XSN+이/VCP+ㄴ/ETM
목표는	목표/NNG+는/JX
아동	아동/NNG
노동	노동/NNG
착취나	착취/NNG+나/JC
인신매매를	인신매매/NNG+를/JKO
없애고,	없애/VV+고/EC+,/SP
모든	모든/MMN
어린이가	어린이/NNG+가/JKS
어린이다운	어린이/NNG+답/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살	살/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.152.13.2
북한 어린이들에게도 관심이 많다.

북한	북한/NNP
어린이들에게도	어린이/NNG+들/XSN+에게/JKB+도/JX
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.152.13.3
북한 어린이, 남한 어린이, 미국 어린이, 남수단 어린이 모두 지구의 미래다.

북한	북한/NNP
어린이,	어린이/NNG+,/SP
남한	남한/NNP
미국	미국/NNP
남수단	남수단/NNP
어린이	어린이/NNG
모두	모두/MAG
지구의	지구/NNG+의/JKG
미래다.	미래/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.152.13.4
국제사회가 우리의 미래를 위해 관심을 기울여주기 바란다."

국제사회가	국제/NNG+사회/NNG+가/JKS
우리의	우리/NP+의/JKG
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
관심을	관심/NNG+을/JKO
기울여주기	기울이/VV+어/EC+주/VX+기/ETN
바란다."	바라/VV+ㄴ다/EF+./SF+"/SS


