# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.214
metadata : {}


# id : NWRW1800000041.214.1.1
現 고1부터 치르는 2017학년도 수능필수 한국사

現	現/SH
고1부터	고/NNG+1/SN+부터/JX
치르는	치르/VV+는/ETM
2017학년도	2017/SN+학년도/NNG
수능필수	수능/NNG+필수/NNG
한국사	한국사/NNG


# id : NWRW1800000041.214.2.1
20문항 50점 만점… 40점이상 1등급 9등급까지 5점 단위로 낮아져… 국어-수학도 수준별시험 없애

20문항	20/SN+문항/NNG
50점	50/SN+점/NNB
만점…	만점/NNG+…/SE
40점이상	40/SN+점/NNB+이상/NNG
1등급	1/SN+등급/NNG
9등급까지	9/SN+등급/NNG+까지/JX
5점	5/SN+점/NNB
단위로	단위/NNG+로/JKB
낮아져…	낮/VA+아/EC+지/VX+어/EF+…/SE
국어-수학도	국어/NNG+-/SO+수학/NNG+도/JX
수준별시험	수준/NNG+별/XSN+시험/NNG
없애	없애/VV+어/EC


# id : NWRW1800000041.214.3.1
현재 고등학교 1학년 학생들이 치르는 2017학년도 대학수학능력시험에서 처음으로 필수 응시 영역이 되는 한국사가 20문항 9등급 절대평가로 실시된다.

현재	현재/MAG
고등학교	고등학교/NNG
1학년	1/SN+학년/NNG
학생들이	학생/NNG+들/XSN+이/JKS
치르는	치르/VV+는/ETM
2017학년도	2017/SN+학년도/NNG
대학수학능력시험에서	대학/NNG+수학/NNG+능력/NNG+시험/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
필수	필수/NNG
응시	응시/NNG
영역이	영역/NNG+이/JKC
되는	되/VV+는/ETM
한국사가	한국사/NNG+가/JKS
20문항	20/SN+문항/NNG
9등급	9/SN+등급/NNG
절대평가로	절대/NNG+평가/NNG+로/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.3.2
또 국어, 수학 영역에서 A, B형 수준별 시험이 폐지된다.

또	또/MAG
국어,	국어/NNG+,/SP
수학	수학/NNG
영역에서	영역/NNG+에서/JKB
A,	A/SL+,/SP
B형	B/SL+형/XSN
수준별	수준/NNG+별/XSN
시험이	시험/NNG+이/JKS
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.4.1
교육부와 한국대학교육협의회(대교협)는 각각 2017학년도 대학수학능력시험 기본계획과 대학입학전형 기본사항을 1일 발표했다.

교육부와	교육부/NNG+와/JC
한국대학교육협의회(대교협)는	한국대학교육협의회/NNP+(/SS+대교협/NNP+)/SS+는/JX
각각	각각/MAG
2017학년도	2017/SN+학년도/NNG
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
기본계획과	기본/NNG+계획/NNG+과/JC
대학입학전형	대학/NNG+입학/NNG+전형/NNG
기본사항을	기본/NNG+사항/NNG+을/JKO
1일	1/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.214.4.2
2014학년도에 처음 도입된 국·영·수 수준별 A, B형 시험은 2015학년도부터 영어 수준별 시험이 폐지되고, 2017학년도부터는 국어 수학 수준별 시험이 없어지는 순서로 완전히 폐지된다.

2014학년도에	2014/SN+학년도/NNG+에/JKB
처음	처음/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
국·영·수	국·영·수/NNG
수준별	수준/NNG+별/XSN
A,	A/SL+,/SP
B형	B/SL+형/XSN
시험은	시험/NNG+은/JX
2015학년도부터	2015/SN+학년도/NNG+부터/JX
영어	영어/NNP
시험이	시험/NNG+이/JKS
폐지되고,	폐지/NNG+되/XSV+고/EC+,/SP
2017학년도부터는	2017/SN+학년도/NNG+부터/JX+는/JX
국어	국어/NNG
수학	수학/NNG
없어지는	없어지/VV+는/ETM
순서로	순서/NNG+로/JKB
완전히	완전히/MAG
폐지된다.	폐지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.4.3
따라서 2013학년도처럼 국어, 영어 영역은 공통시험으로, 수학 영역은 이과 계열인 가형과 문과 계열인 나형 시험으로 운영된다.

따라서	따라서/MAJ
2013학년도처럼	2013/SN+학년도/NNG+처럼/JKB
국어,	국어/NNG+,/SP
영어	영어/NNP
영역은	영역/NNG+은/JX
공통시험으로,	공통/NNG+시험/NNG+으로/JKB+,/SP
수학	수학/NNG
이과	이과/NNG
계열인	계열/NNG+이/VCP+ㄴ/ETM
가형과	가형/NNG+과/JC
문과	문과/NNG
나형	나형/NNG
시험으로	시험/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.5.1
필수 응시 과목인 한국사 영역의 시험 시간은 30분으로 탐구영역 전에 실시된다.

필수	필수/NNG
응시	응시/NNG
과목인	과목/NNG+이/VCP+ㄴ/ETM
한국사	한국사/NNG
영역의	영역/NNG+의/JKG
시험	시험/NNG
시간은	시간/NNG+은/JX
30분으로	30/SN+분/NNB+으로/JKB
탐구영역	탐구/NNG+영역/NNG
전에	전/NNG+에/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.5.2
한국사가 추가됨에 따라 4교시 시험 시간은 60분에서 90분으로 늘어났다.

한국사가	한국사/NNG+가/JKS
추가됨에	추가/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
4교시	4/SN+교시/NNB
시험	시험/NNG
시간은	시간/NNG+은/JX
60분에서	60/SN+분/NNB+에서/JKB
90분으로	90/SN+분/NNB+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.214.5.3
기존 탐구영역처럼 문항당 배점은 2∼3점, 5지 선다형의 20문항으로 구성되며 만점은 50점이다.

기존	기존/NNG
탐구영역처럼	탐구/NNG+영역/NNG+처럼/JKB
문항당	문항/NNG+당/XSN
배점은	배점/NNG+은/JX
2∼3점,	2/SN+∼/SO+3/SN+점/NNB+,/SP
5지	5지/NNG
선다형의	선다형/NNG+의/JKG
20문항으로	20/SN+문항/NNG+으로/JKB
구성되며	구성/NNG+되/XSV+며/EC
만점은	만점/NNG+은/JX
50점이다.	50/SN+점/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.214.6.1
한국사 성적은 과목 중 유일하게 표준점수, 백분위점수, 등급이 제공되는 상대평가가 아닌 절대평가 9등급만 통보된다.

한국사	한국사/NNG
성적은	성적/NNG+은/JX
과목	과목/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
표준점수,	표준/NNG+점수/NNG+,/SP
백분위점수,	백분위/NNG+점수/NNG+,/SP
등급이	등급/NNG+이/JKS
제공되는	제공/NNG+되/XSV+는/ETM
상대평가가	상대/NNG+평가/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
절대평가	절대/NNG+평가/NNG
9등급만	9/SN+등급/NNG+만/JX
통보된다.	통보/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.214.6.2
1등급 구분점수(등급 컷)는 40점, 2등급 구분점수는 35점이며 이하 등급 구분점수는 5점씩 낮아진다.

1등급	1/SN+등급/NNG
구분점수(등급	구분/NNG+점수/NNG+(/SS+등급/NNG
컷)는	컷/NNG+)/SS+는/JX
40점,	40/SN+점/NNB+,/SP
2등급	2/SN+등급/NNG
구분점수는	구분/NNG+점수/NNG+는/JX
35점이며	35/SN+점/NNB+이/VCP+며/EC
이하	이하/NNG
등급	등급/NNG
5점씩	5/SN+점/NNB+씩/XSN
낮아진다.	낮/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.214.7.1
대교협은 각 대학에 한국사 성적을 활용하도록 권고하기로 했다.

대교협은	대교협/NNP+은/JX
각	각/MMD
대학에	대학/NNG+에/JKB
한국사	한국사/NNG
성적을	성적/NNG+을/JKO
활용하도록	활용/NNG+하/XSV+도록/EC
권고하기로	권고/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.214.7.2
예를 들어 수시모집에서는 최저학력기준이나 응시자격기준으로 활용하고 정시모집의 경우 최저학력기준, 응시자격기준 외에도 가산점을 부여하는 방식으로 활용하는 것이다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
수시모집에서는	수시/NNG+모집/NNG+에서/JKB+는/JX
최저학력기준이나	최저/NNG+학력/NNG+기준/NNG+이나/JC
응시자격기준으로	응시/NNG+자격/NNG+기준/NNG+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
정시모집의	정시/NNG+모집/NNG+의/JKG
경우	경우/NNG
최저학력기준,	최저/NNG+학력/NNG+기준/NNG+,/SP
응시자격기준	응시/NNG+자격/NNG+기준/NNG
외에도	외/NNB+에/JKB+도/JX
가산점을	가산점/NNG+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.214.8.1
수험생 부담을 줄이기 위해 한국사는 절대평가로 실시되지만 난이도의 일관성이 담보되지 않으면 오히려 수험생이 피해를 볼 수 있다는 지적도 나오고 있다.

수험생	수험/NNG+생/XSN
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
한국사는	한국사/NNG+는/JX
절대평가로	절대/NNG+평가/NNG+로/JKB
실시되지만	실시/NNG+되/XSV+지만/EC
난이도의	난이도/NNG+의/JKG
일관성이	일관/NNG+성/XSN+이/JKS
담보되지	담보/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
오히려	오히려/MAG
수험생이	수험/NNG+생/XSN+이/JKS
피해를	피해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.214.8.2
전체적 난이도가 일관되게 유지되지 않는다면 고정된 등급 구분점수가 해마다 다른 의미를 갖게 되기 때문이다.

전체적	전체/NNG+적/XSN
난이도가	난이도/NNG+가/JKS
일관되게	일관/NNG+되/XSV+게/EC
유지되지	유지/NNG+되/XSV+지/EC
않는다면	않/VX+는다면/EC
고정된	고정/NNG+되/XSV+ㄴ/ETM
등급	등급/NNG
구분점수가	구분/NNG+점수/NNG+가/JKS
해마다	해마다/MAG
다른	다른/MMD
의미를	의미/NNG+를/JKO
갖게	갖/VV+게/EC
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.214.9.1
2017학년도 대입에서도 전형방법 수를 수시 4개, 정시 2개로 한정하는 대입전형 간소화와 우선선발 폐지, 대학별 고사 지양 등 교육부의 기존 정책들은 유지된다.

2017학년도	2017/SN+학년도/NNG
