# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.10
metadata : {}


# id : NWRW1800000048.10.1.1
결혼하기 좋은 계절, 백화점들 속속 웨딩페어

결혼하기	결혼/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
계절,	계절/NNG+,/SP
백화점들	백화점/NNG+들/XSN
속속	속속/MAG
웨딩페어	웨딩페어/NNG


# id : NWRW1800000048.10.2.1
롯데·현대 백화점 할인행사

롯데·현대	롯데/NNP+·/SP+현대/NNP
백화점	백화점/NNG
할인행사	할인/NNG+행사/NNG


# id : NWRW1800000048.10.3.1
봄, 결혼철을 맞아 유통업계가 관련 행사를 속속 열고 있다.

봄,	봄/NNG+,/SP
결혼철을	결혼/NNG+철/NNG+을/JKO
맞아	맞/VV+아/EC
유통업계가	유통업/NNG+계/XSN+가/JKS
관련	관련/NNG
행사를	행사/NNG+를/JKO
속속	속속/MAG
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.10.4.1
롯데백화점은 오는 27일부터 다음달 8일까지 전 지점에서 웨딩페어를 진행한다고 25일 밝혔다.

롯데백화점은	롯데백화점/NNP+은/JX
오는	오/VV+는/ETM
27일부터	27/SN+일/NNB+부터/JX
다음달	다음/NNG+달/NNG
8일까지	8/SN+일/NNB+까지/JX
전	전/MMN
지점에서	지점/NNG+에서/JKB
웨딩페어를	웨딩페어/NNG+를/JKO
진행한다고	진행/NNG+하/XSV+ㄴ다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.10.4.2
가전, 가구는 물론 시계와 보석, 패션, 잡화 등 150여개의 브랜드가 1000억원 물량의 혼수 상품을 내놓는 행사다.

가전,	가전/NNG+,/SP
가구는	가구/NNG+는/JX
물론	물론/MAG
시계와	시계/NNG+와/JC
보석,	보석/NNG+,/SP
패션,	패션/NNG+,/SP
잡화	잡화/NNG
등	등/NNB
150여개의	150/SN+여/XSN+개/NNB+의/JKG
브랜드가	브랜드/NNG+가/JKS
1000억원	1000/SN+억/NR+원/NNB
물량의	물량/NNG+의/JKG
혼수	혼수/NNG
상품을	상품/NNG+을/JKO
내놓는	내놓/VV+는/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.10.4.3
롯데백화점에서만 만날 수 있는 단독 상품들도 1만 5000점 이상 준비해 할인된 가격에 판매한다.

롯데백화점에서만	롯데백화점/NNP+에서/JKB+만/JX
만날	만나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단독	단독/NNG
상품들도	상품/NNG+들/XSN+도/JX
1만	1/SN+만/NR
5000점	5000/SN+점/NNB
이상	이상/NNG
준비해	준비/NNG+하/XSV+아/EC
할인된	할인/NNG+되/XSV+ㄴ/ETM
가격에	가격/NNG+에/JKB
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.10.5.1
먼저 침대, 식탁 등에 대해 시몬스, 휘슬러 등 10여개 브랜드와 공동으로 기획해 17개 품목을 최대 50% 할인 판매한다.

먼저	먼저/MAG
침대,	침대/NNG+,/SP
식탁	식탁/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
시몬스,	시몬스/NNP+,/SP
휘슬러	휘슬러/NNP
등	등/NNB
10여개	10/SN+여/XSN+개/NNB
브랜드와	브랜드/NNG+와/JKB
공동으로	공동/NNG+으로/JKB
기획해	기획/NNG+하/XSV+아/EC
17개	17/SN+개/NNB
품목을	품목/NNG+을/JKO
