# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.250
metadata : {}


# id : NWRW1800000022.250.1.1
[충청] 태안 신두사구에 생태공원 만든다

[충청]	[/SS+충청/NNP+]/SS
태안	태안/NNP
신두사구에	신두사구/NNP+에/JKB
생태공원	생태/NNG+공원/NNG
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000022.250.2.1
국내 최대 해안사구로 천연기념물 제431호인 충남 태안군 원북면 신두사구가 2012년까지 대규모 생태공원으로 탈바꿈할 전망이다.

국내	국내/NNG
최대	최대/NNG
해안사구로	해안/NNG+사구/NNG+로/JKB
천연기념물	천연기념물/NNG
제431호인	제/XPN+431/SN+호/NNB+이/VCP+ㄴ/ETM
충남	충남/NNP
태안군	태안군/NNP
원북면	원북면/NNP
신두사구가	신두사구/NNP+가/JKS
2012년까지	2012/SN+년/NNB+까지/JX
대규모	대/XPN+규모/NNG
생태공원으로	생태/NNG+공원/NNG+으로/JKB
탈바꿈할	탈바꿈/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.250.3.1
태안군은 해안 생태계 기능 회복, 사구생태계 기능 유지 등을 위해 공원화사업을 추진키로 했다.

태안군은	태안군/NNP+은/JX
해안	해안/NNG
생태계	생태/NNG+계/XSN
기능	기능/NNG
회복,	회복/NNG+,/SP
사구생태계	사구/NNG+생태/NNG+계/XSN
유지	유지/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
공원화사업을	공원/NNG+화/XSN+사업/NNG+을/JKO
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.250.3.2
이에 따라 사구 내 각종 동·식물 등 천연기념물 지정구역 100만㎡가 습지학습원, 전망대, 모래집적시설 등을 갖춘 보전·관찰존 등으로 조성된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
사구	사구/NNG
내	내/NNB
각종	각종/NNG
동·식물	동·식물/NNG
등	등/NNB
천연기념물	천연기념물/NNG
지정구역	지정/NNG+구역/NNG
100만㎡가	100/SN+만/NR+㎡/SW+가/JKS
습지학습원,	습지/NNG+학습원/NNG+,/SP
전망대,	전망대/NNG+,/SP
모래집적시설	모래/NNG+집적/NNG+시설/NNG
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
보전·관찰존	보전/NNG+·/SP+관찰/NNG+존/NNG
등으로	등/NNB+으로/JKB
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.250.4.1
또 3000~4000㎡ 규모 홍보·학습존에는 각종 체험학습장이 들어선다.

또	또/MAG
3000~4000㎡	3000/SN+~/SO+4000/SN+㎡/SW
규모	규모/NNG
홍보·학습존에는	홍보/NNG+·/SP+학습/NNG+존/NNG+에/JKB+는/JX
각종	각종/NNG
체험학습장이	체험/NNG+학습장/NNG+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.250.4.2
홍보·학습존 내 생태전시관은 5D 영상을 활용, 신두사구의 생태를 생생하게 체험할 수 있도록 꾸밀 예정이다.

홍보·학습존	홍보/NNG+·/SP+학습/NNG+존/NNG
내	내/NNB
생태전시관은	생태/NNG+전시관/NNG+은/JX
5D	5/SN+D/SL
영상을	영상/NNG+을/JKO
활용,	활용/NNG+,/SP
신두사구의	신두사구/NNP+의/JKG
생태를	생태/NNG+를/JKO
생생하게	생생하/VA+게/EC
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
꾸밀	꾸미/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.250.5.1
군은 신두사구를 생태공원으로 조성하기 위해 올해부터 2012년까지 총 180억원을 투입할 계획.

군은	군/NNG+은/JX
신두사구를	신두사구/NNP+를/JKO
생태공원으로	생태/NNG+공원/NNG+으로/JKB
조성하기	조성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
올해부터	올해/NNG+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
총	총/MMA
180억원을	180/SN+억/NR+원/NNB+을/JKO
투입할	투입/NNG+하/XSV+ㄹ/ETM
계획.	계획/NNG+./SF


# id : NWRW1800000022.250.5.2
우선 기본설계 용역을 거쳐 10월부터 사구생태 홍보관, 생태관찰로, 자연학습원, 야외무대, 광장 등을 조성할 방침이다.

우선	우선/MAG
기본설계	기본/NNG+설계/NNG
용역을	용역/NNG+을/JKO
거쳐	거치/VV+어/EC
10월부터	10/SN+월/NNB+부터/JX
사구생태	사구/NNG+생태/NNG
홍보관,	홍보관/NNG+,/SP
