# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.162
metadata : {}


# id : NWRW1800000053.162.1.1
최순실이 변호사 200명 먹여 살린다고?

최순실이	최순실/NNP+이/JKS
변호사	변호사/NNG
200명	200/SN+명/NNB
먹여	먹이/VV+어/EC
살린다고?	살리/VV+ㄴ다고/EF+?/SF


# id : NWRW1800000053.162.2.1
서초 법조타운 때 아닌 ‘특수’

서초	서초/NNP
법조타운	법조/NNG+타운/NNG
때	때/NNG
아닌	아니/VCN+ㄴ/ETM
‘특수’	‘/SS+특수/NNG+’/SS


# id : NWRW1800000053.162.3.1
“서초동이 확실히 특수(特需)는 특수죠.”

“서초동이	“/SS+서초동/NNP+이/JKS
확실히	확실히/MAG
특수(特需)는	특수/NNG+(/SS+特需/SH+)/SS+는/JX
특수죠.”	특수/NNG+이/VCP+죠/EF+./SF+”/SS


# id : NWRW1800000053.162.4.1
23일 서울 서초구 서초동에서 만난 판사 출신 A 변호사는 ‘요즘 변호사 업계 분위기는 어떠냐’는 질문에 “최순실 씨(61·구속 기소)가 변호사 일자리는 많이 만들었다”며 이렇게 말했다.

23일	23/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
서초동에서	서초동/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
판사	판사/NNG
출신	출신/NNG
A	A/SL
변호사는	변호사/NNG+는/JX
‘요즘	‘/SS+요즘/NNG
변호사	변호사/NNG
업계	업계/NNG
분위기는	분위기/NNG+는/JX
어떠냐’는	어떻/VA+냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“최순실	“/SS+최순실/NNP
씨(61·구속	씨/NNB+(/SS+61/SN+·/SP+구속/NNG
기소)가	기소/NNG+)/SS+가/JKS
일자리는	일자리/NNG+는/JX
많이	많이/MAG
만들었다”며	만들/VV+었/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.4.2
A 변호사도 최 씨의 국정 농단을 수사 중인 박영수 특별검사팀이 기소한 사건을 수임했다.

A	A/SL
변호사도	변호사/NNG+도/JX
최	최/NNP
씨의	씨/NNB+의/JKG
국정	국정/NNG
농단을	농단/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
박영수	박영수/NNP
특별검사팀이	특별/NNG+검사/NNG+팀/NNG+이/JKS
기소한	기소/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
수임했다.	수임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.4.3
그는 “법원을 떠나 개인 법률사무소를 연 지 몇 년 됐지만, 서초동 법조타운이 요즘처럼 바쁘게 돌아가는 모습은 처음 봤다”고 말했다.

그는	그/NP+는/JX
“법원을	“/SS+법원/NNG+을/JKO
떠나	떠나/VV+아/EC
개인	개인/NNG
법률사무소를	법률/NNG+사무소/NNG+를/JKO
연	열/VV+ㄴ/ETM
지	지/NNB
몇	몇/NR
년	년/NNB
됐지만,	되/VV+었/EP+지만/EC+,/SP
서초동	서초동/NNP
법조타운이	법조/NNG+타운/NNG+이/JKS
요즘처럼	요즘/NNG+처럼/JKB
바쁘게	바쁘/VA+게/EC
돌아가는	돌아가/VV+는/ETM
모습은	모습/NNG+은/JX
처음	처음/NNG
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.5.1
변호사들은 대개 매년 2월을 ‘보릿고개’로 생각한다.

변호사들은	변호사/NNG+들/XSN+은/JX
대개	대개/MAG
매년	매년/MAG
2월을	2/SN+월/NNB+을/JKO
‘보릿고개’로	‘/SS+보릿고개/NNG+’/SS+로/JKB
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.162.5.2
법원과 검찰의 정기 인사로 재판과 수사 일정이 중단되는 까닭에 사건 수임이 줄어들기 때문이다.

법원과	법원/NNG+과/JC
검찰의	검찰/NNG+의/JKG
정기	정기/NNG
인사로	인사/NNG+로/JKB
재판과	재판/NNG+과/JC
수사	수사/NNG
일정이	일정/NNG+이/JKS
중단되는	중단/NNG+되/XSV+는/ETM
까닭에	까닭/NNG+에/JKB
사건	사건/NNG
수임이	수임/NNG+이/JKS
줄어들기	줄어들/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.5.3
하지만 올해는 사정이 다르다.

하지만	하지만/MAJ
올해는	올해/NNG+는/JX
사정이	사정/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000053.162.5.4
지난해 10월부터 지금까지 줄곧 국정 농단 사건과 관련한 검찰과 특검 수사, 형사재판, 헌법재판소의 탄핵 심판이 이어지면서 변호사 수요가 오히려 늘어났다.

지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
지금까지	지금/NNG+까지/JX
줄곧	줄곧/MAG
국정	국정/NNG
농단	농단/NNG
사건과	사건/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
검찰과	검찰/NNG+과/JC
특검	특검/NNG
수사,	수사/NNG+,/SP
형사재판,	형사/NNG+재판/NNG+,/SP
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
탄핵	탄핵/NNG
심판이	심판/NNG+이/JKS
이어지면서	이어지/VV+면서/EC
변호사	변호사/NNG
수요가	수요/NNG+가/JKS
오히려	오히려/MAG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.162.6.1
동아일보가 법원과 검찰, 특검의 공식 기록을 분석한 결과 국정 농단 관련 형사 사건에 선임계를 낸 변호사는 23일 현재 144명이다.

동아일보가	동아일보/NNP+가/JKS
법원과	법원/NNG+과/JC
검찰,	검찰/NNG+,/SP
특검의	특검/NNG+의/JKG
공식	공식/NNG
기록을	기록/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
국정	국정/NNG
농단	농단/NNG
관련	관련/NNG
형사	형사/NNG
사건에	사건/NNG+에/JKB
선임계를	선임계/NNG+를/JKO
낸	내/VV+ㄴ/ETM
변호사는	변호사/NNG+는/JX
23일	23/SN+일/NNB
현재	현재/MAG
144명이다.	144/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.6.2
검찰과 특검이 기소하거나, 기소를 앞두고 있는 피의자는 모두 34명.

검찰과	검찰/NNG+과/JC
특검이	특검/NNG+이/JKS
기소하거나,	기소/NNG+하/XSV+거나/EC+,/SP
기소를	기소/NNG+를/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
피의자는	피의자/NNG+는/JX
모두	모두/MAG
34명.	34/SN+명/NNB+./SF


# id : NWRW1800000053.162.6.3
피의자 또는 피고인 한 명당 평균 4.2명의 변호사가 선임된 셈이다.

피의자	피의자/NNG
또는	또는/MAG
피고인	피고인/NNG
한	한/MMN
명당	명/NNB+당/XSN
평균	평균/NNG
4.2명의	4/SN+./SP+2/SN+명/NNB+의/JKG
변호사가	변호사/NNG+가/JKS
선임된	선임/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.6.4
또 검찰 또는 특검 수사 단계에서 변호를 맡았다가 사임한 변호사도 25명이 있다.

또	또/MAG
검찰	검찰/NNG
또는	또는/MAG
특검	특검/NNG
수사	수사/NNG
단계에서	단계/NNG+에서/JKB
변호를	변호/NNG+를/JKO
맡았다가	맡/VV+았/EP+다가/EC
사임한	사임/NNG+하/XSV+ㄴ/ETM
변호사도	변호사/NNG+도/JX
25명이	25/SN+명/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.162.7.1
최 씨 사건이 발단이 돼 박근혜 대통령 탄핵 심판이 열린 헌재와 특검에도 변호사들이 있다.

최	최/NNP
씨	씨/NNB
사건이	사건/NNG+이/JKS
발단이	발단/NNG+이/JKC
돼	되/VV+어/EC
박근혜	박근혜/NNP
대통령	대통령/NNG
탄핵	탄핵/NNG
심판이	심판/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
헌재와	헌재/NNG+와/JC
특검에도	특검/NNG+에/JKB+도/JX
변호사들이	변호사/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.162.7.2
박근혜 대통령 탄핵 심판 국회 소추위원단(16명)과 박 대통령 대리인단(17명)의 변호사를 합하면 모두 33명이다.

박근혜	박근혜/NNP
대통령	대통령/NNG
탄핵	탄핵/NNG
심판	심판/NNG
국회	국회/NNG
소추위원단(16명)과	소추/NNG+위원단/NNG+(/SS+16/SN+명/NNB+)/SS+과/JC
박	박/NNP
대리인단(17명)의	대리인단/NNG+(/SS+17/SN+명/NNB+)/SS+의/JKG
변호사를	변호사/NNG+를/JKO
합하면	합/NNG+하/XSV+면/EC
모두	모두/MAG
33명이다.	33/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.7.3
또 박영수 특검과 4명의 특검보를 비롯해 특검팀에서 수사 중인 변호사는 32명이다.

또	또/MAG
박영수	박영수/NNP
특검과	특검/NNG+과/JC
4명의	4/SN+명/NNB+의/JKG
특검보를	특검보/NNG+를/JKO
비롯해	비롯하/VV+아/EC
특검팀에서	특검/NNG+팀/NNG+에서/JKB
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
변호사는	변호사/NNG+는/JX
32명이다.	32/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.8.1
이를 모두 합치면 23일 현재 변호사 209명(사임 변호사 제외)이 국정 농단 사건에 참여하고 있는 것이다.

이를	이/NP+를/JKO
모두	모두/MAG
합치면	합치/VV+면/EC
23일	23/SN+일/NNB
현재	현재/MAG
변호사	변호사/NNG
209명(사임	209/SN+명/NNB+(/SS+사임/NNG
제외)이	제외/NNG+)/SS+이/JKS
국정	국정/NNG
농단	농단/NNG
사건에	사건/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.8.2
전국의 개업 변호사가 2만 명을 약간 넘는 수준인 점을 감안하면 대략 변호사 100명 중 1명꼴이다.

전국의	전국/NNG+의/JKG
개업	개업/NNG
변호사가	변호사/NNG+가/JKS
2만	2/SN+만/NR
명을	명/NNB+을/JKO
약간	약간/MAG
넘는	넘/VV+는/ETM
수준인	수준/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
대략	대략/MAG
변호사	변호사/NNG
100명	100/SN+명/NNB
중	중/NNB
1명꼴이다.	1/SN+명/NNB+꼴/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.162.8.3
한 법조계 인사는 “구치소 접견만 담당하는 이른바 ‘집사 변호사’와 선임계를 내지 않고 ‘그림자 변호’를 하는 거물급 변호사까지 포함하면 전체 숫자는 훨씬 늘어날 것”이라고 말했다.

한	한/MMN
법조계	법조/NNG+계/XSN
인사는	인사/NNG+는/JX
“구치소	“/SS+구치소/NNG
접견만	접견/NNG+만/JX
담당하는	담당/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘집사	‘/SS+집사/NNG
변호사’와	변호사/NNG+’/SS+와/JC
선임계를	선임계/NNG+를/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
‘그림자	‘/SS+그림자/NNG
변호’를	변호/NNG+’/SS+를/JKO
하는	하/VV+는/ETM
거물급	거물급/NNG
