# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.65
metadata : {}


# id : NWRW1800000029.65.1.1
“은퇴자산 축적엔 ETF-배분엔 물가연동채권”… ‘100세 시대’ 투자 심포지엄

“은퇴자산	“/SS+은퇴/NNG+자산/NNG
축적엔	축적/NNG+에/JKB+ㄴ/JX
ETF-배분엔	ETF/SL+-/SO+배분/NNG+에/JKB+ㄴ/JX
물가연동채권”…	물가/NNG+연동/NNG+채권/NNG+”/SS+…/SE
‘100세	‘/SS+100/SN+세/NNB
시대’	시대/NNG+’/SS
투자	투자/NNG
심포지엄	심포지엄/NNG


# id : NWRW1800000029.65.2.1
100세 시대가 코앞이다.

100세	100/SN+세/NNB
시대가	시대/NNG+가/JKS
코앞이다.	코앞/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.65.2.2
60세에 은퇴를 한다고 가정하면 은퇴 이후에도 40년을 더 살아야 하는 셈이다.

60세에	60/SN+세/NNB+에/JKB
은퇴를	은퇴/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
가정하면	가정/NNG+하/XSV+면/EC
은퇴	은퇴/NNG
이후에도	이후/NNG+에/JKB+도/JX
40년을	40/SN+년/NNB+을/JKO
더	더/MAG
살아야	살/VV+아야/EC
하는	하/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.65.2.3
은퇴 이후의 삶이 길어졌다는 것은 모아둔 돈을 배분해 써야 하는 기간이 길어졌다는 의미이기도 하다.

은퇴	은퇴/NNG
이후의	이후/NNG+의/JKG
삶이	삶/NNG+이/JKS
길어졌다는	길어지/VV+었/EP+다는/ETM
것은	것/NNB+은/JX
모아둔	모으/VV+아/EC+두/VX+ㄴ/ETM
돈을	돈/NNG+을/JKO
배분해	배분/NNG+하/XSV+아/EC
써야	쓰/VV+어야/EC
하는	하/VX+는/ETM
기간이	기간/NNG+이/JKS
의미이기도	의미/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000029.65.2.4
문제는 그 긴 시간 기댈 언덕은 마땅치 않다는 점.

문제는	문제/NNG+는/JX
그	그/MMD
긴	길/VA+ㄴ/ETM
시간	시간/NNG
기댈	기대/VV+ㄹ/ETM
언덕은	언덕/NNG+은/JX
마땅치	마땅하/VA+지/EC
않다는	않/VX+다는/ETM
점.	점/NNG+./SF


# id : NWRW1800000029.65.2.5
국민연금이 있지만 2060년에 재원 고갈이 예상돼 적신호를 울리고 있다.

국민연금이	국민연금/NNG+이/JKS
있지만	있/VA+지만/EC
2060년에	2060/SN+년/NNB+에/JKB
재원	재원/NNG
고갈이	고갈/NNG+이/JKS
예상돼	예상/NNG+되/XSV+어/EC
적신호를	적신호/NNG+를/JKO
울리고	울리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.65.3.1
100세 시대를 대비해야 하는 개인은 어떤 방식으로 노후자금을 만들어야 할까.

100세	100/SN+세/NNB
시대를	시대/NNG+를/JKO
대비해야	대비/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
개인은	개인/NNG+은/JX
어떤	어떤/MMD
방식으로	방식/NNG+으로/JKB
노후자금을	노후/NNG+자금/NNG+을/JKO
만들어야	만들/VV+어야/EC
할까.	하/VX+ㄹ까/EF+./SF


# id : NWRW1800000029.65.3.2
금융투자협회가 6일 개최한 ‘100세 시대 도래와 자본시장의 역할’ 심포지엄에서 토론에 나선 유상호 한국투자증권 대표는 “투자위험 관리를 고려한 금융투자 상품을 통해 적극적으로 고령화 시대에 대비해야 할 필요가 있다”고 강조했다.

금융투자협회가	금융투자협회/NNP+가/JKS
6일	6/SN+일/NNB
개최한	개최/NNG+하/XSV+ㄴ/ETM
‘100세	‘/SS+100/SN+세/NNB
시대	시대/NNG
도래와	도래/NNG+와/JC
자본시장의	자본/NNG+시장/NNG+의/JKG
역할’	역할/NNG+’/SS
심포지엄에서	심포지엄/NNG+에서/JKB
토론에	토론/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
유상호	유상호/NNP
한국투자증권	한국투자증권/NNP
대표는	대표/NNG+는/JX
“투자위험	“/SS+투자/NNG+위험/NNG
관리를	관리/NNG+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
금융투자	금융/NNG+투자/NNG
상품을	상품/NNG+을/JKO
통해	통하/VV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
고령화	고령/NNG+화/XSN
시대에	시대/NNG+에/JKB
대비해야	대비/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.65.4.1
유 대표는 “일반적인 투자는 결혼, 주택자금, 교육비 등 각 생애주기 상에서 일정 수익을 목표로 중·단기에 걸쳐 이뤄진다”며 “반면 100세 시대를 위한 노후대비 투자는 일반적인 투자를 통해 수익을 노리는 것은 물론이고 예측 불가능한 노후기간에 자산이 소진되지 않도록 관리해야 한다는 점에서 차별화된다”고 말했다.

유	유/NNP
대표는	대표/NNG+는/JX
“일반적인	“/SS+일반/NNG+적/XSN+이/VCP+ㄴ/ETM
투자는	투자/NNG+는/JX
결혼,	결혼/NNG+,/SP
주택자금,	주택/NNG+자금/NNG+,/SP
교육비	교육비/NNG
등	등/NNB
각	각/MMD
생애주기	생애/NNG+주기/NNG
상에서	상/XSN+에서/JKB
일정	일정/NNG
수익을	수익/NNG+을/JKO
목표로	목표/NNG+로/JKB
중·단기에	중·단기/NNG+에/JKB
걸쳐	걸치/VV+어/EC
이뤄진다”며	이뤄지/VV+ㄴ다/EF+”/SS+며/EC
“반면	“/SS+반면/NNG
100세	100/SN+세/NNB
시대를	시대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
노후대비	노후/NNG+대비/NNG
