# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.7
metadata : {}


# id : NWRW1800000040.7.1.1
‘지하경제 양성화’ 시작부터 꼬이나

‘지하경제	‘/SS+지하/NNG+경제/NNG
양성화’	양성/NNG+화/XSN+’/SS
시작부터	시작/NNG+부터/JX
꼬이나	꼬이/VV+나/EF


# id : NWRW1800000040.7.2.1
FIU 금융정보 공유 문제

FIU	FIU/SL
금융정보	금융/NNG+정보/NNG
공유	공유/NNG
문제	문제/NNG


# id : NWRW1800000040.7.3.1
부처간 힘겨루기로 중단

부처간	부처/NNG+간/NNB
힘겨루기로	힘겨루기/NNG+로/JKB
중단	중단/NNG


# id : NWRW1800000040.7.4.1
인수위도 이견 조율 손놔

인수위도	인수위/NNG+도/JX
이견	이견/NNG
조율	조율/NNG
손놔	손/NNG+놓/VV+아/EF


# id : NWRW1800000040.7.5.1
지하경제 양성화 해법의 하나로 꼽혀온 금융정보분석원(FIU)의 금융정보 공개를 둘러싼 논의가 각 부처 사이의 힘겨루기로 사실상 중단됐다.

지하경제	지하/NNG+경제/NNG
양성화	양성/NNG+화/XSN
해법의	해법/NNG+의/JKG
하나로	하나/NR+로/JKB
꼽혀온	꼽히/VV+어/EC+오/VX+ㄴ/ETM
금융정보분석원(FIU)의	금융/NNG+정보/NNG+분석원/NNG+(/SS+FIU/SL+)/SS+의/JKG
금융정보	금융/NNG+정보/NNG
공개를	공개/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
각	각/MMD
부처	부처/NNG
사이의	사이/NNG+의/JKG
힘겨루기로	힘겨루기/NNG+로/JKB
사실상	사실/NNG+상/XSN
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.7.5.2
특히 부처간의 이견을 조율해야할 대통령직 인수위원회가 손을 놓고 있어 박근혜 대통령 당선인의 복지공약 실현을 위한 재원 135조원의 20%(28조5000억원)를 책임질 지하경제의 양성화를 통한 세수 확보 계획이 시작 전부터 꼬였다는 우려가 나온다.

특히	특히/MAG
부처간의	부처/NNG+간/NNB+의/JKG
이견을	이견/NNG+을/JKO
조율해야할	조율/NNG+하/XSV+아야/EC+하/VX+ㄹ/ETM
대통령직	대통령직/NNG
인수위원회가	인수/NNG+위원회/NNG+가/JKS
손을	손/NNG+을/JKO
놓고	놓/VV+고/EC
있어	있/VX+어/EC
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인의	당선인/NNG+의/JKG
복지공약	복지/NNG+공약/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
재원	재원/NNG
135조원의	135/SN+조/NR+원/NNB+의/JKG
20%(28조5000억원)를	20/SN+%/SW+(/SS+28/SN+조/NR+5000/SN+억/NR+원/NNB+)/SS+를/JKO
책임질	책임지/VV+ㄹ/ETM
지하경제의	지하/NNG+경제/NNG+의/JKG
양성화를	양성/NNG+화/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
세수	세수/NNG
확보	확보/NNG
계획이	계획/NNG+이/JKS
시작	시작/NNG
전부터	전/NNG+부터/JX
꼬였다는	꼬이/VV+었/EP+다는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.7.6.1
4일 한 정부 부처 관계자는 “금융위 산하 금융정보분석원(금정원)의 금융 정보를 국세청이 공유하느냐 여부에 대한 논의가 당사자인 금융위원회, 국세청, 검찰, 기획재정부는 물론 인수위 간에도 거의 이뤄지지 않고 있다”고 말했다.

4일	4/SN+일/NNB
한	한/MMN
정부	정부/NNG
부처	부처/NNG
관계자는	관계자/NNG+는/JX
“금융위	“/SS+금융위/NNG
산하	산하/NNG
금융정보분석원(금정원)의	금융/NNG+정보/NNG+분석원/NNG+(/SS+금정원/NNG+)/SS+의/JKG
금융	금융/NNG
정보를	정보/NNG+를/JKO
국세청이	국세청/NNG+이/JKS
공유하느냐	공유/NNG+하/XSV+느냐/EF
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
금융위원회,	금융/NNG+위원회/NNG+,/SP
국세청,	국세청/NNG+,/SP
검찰,	검찰/NNG+,/SP
기획재정부는	기획/NNG+재정부/NNG+는/JX
물론	물론/MAG
인수위	인수위/NNG
간에도	간/NNB+에/JKB+도/JX
거의	거의/MAG
이뤄지지	이뤄지/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.7.6.2
이 관계자는 “인수위가 1월 말 이 문제를 관련 기관이 알아서 조율해보라고 지시했지만 각 기관들의 입장 차가 뚜렷해 부처들끼리의 조율은 사실상 불가능해 보인다”고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“인수위가	“/SS+인수위/NNG+가/JKS
1월	1/SN+월/NNB
말	말/NNB
문제를	문제/NNG+를/JKO
관련	관련/NNG
기관이	기관/NNG+이/JKS
알아서	알/VV+아서/EC
조율해보라고	조율/NNG+하/XSV+아/EC+보/VX+라고/EC
지시했지만	지시/NNG+하/XSV+았/EP+지만/EC
각	각/MMD
기관들의	기관/NNG+들/XSN+의/JKG
입장	입장/NNG
차가	차/NNG+가/JKS
뚜렷해	뚜렷하/VA+아/EC
부처들끼리의	부처/NNG+들/XSN+끼리/XSN+의/JKG
조율은	조율/NNG+은/JX
사실상	사실/NNG+상/XSN
불가능해	불/XPN+가능/NNG+하/XSA+아/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.7.6.3
실제로 지난달 인수위 지시 후에도 금융위와 국세청의 과장급 실무자들끼리만 2~3차례 만났을 뿐이다.

실제로	실제로/MAG
지난달	지난달/NNG
인수위	인수위/NNG
지시	지시/NNG
후에도	후/NNG+에/JKB+도/JX
금융위와	금융위/NNG+와/JC
국세청의	국세청/NNG+의/JKG
과장급	과장급/NNG
실무자들끼리만	실무자/NNG+들/XSN+끼리/XSN+만/JX
2~3차례	2/SN+~/SO+3/SN+차례/NNG
만났을	만나/VV+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.7.6.4
금정원 정보의 분석을 맡아온 검찰과 국세청의 소속 기관인 기획재정부가 협의를 한 적은 아예 없었다.

금정원	금정원/NNG
정보의	정보/NNG+의/JKG
분석을	분석/NNG+을/JKO
맡아온	맡/VV+아/EC+오/VX+ㄴ/ETM
검찰과	검찰/NNG+과/JC
국세청의	국세청/NNG+의/JKG
소속	소속/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
기획재정부가	기획/NNG+재정부/NNG+가/JKS
협의를	협의/NNG+를/JKO
한	하/VV+ㄴ/ETM
적은	적/NNB+은/JX
아예	아예/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.7.7.1
복지 재원 마련의 핵심 정책이 이처럼 삐걱대온 것은 1차적으로 각 부처의 힘겨루기 탓이다.

복지	복지/NNG
재원	재원/NNG
마련의	마련/NNG+의/JKG
핵심	핵심/NNG
정책이	정책/NNG+이/JKS
이처럼	이/NP+처럼/JKB
삐걱대온	삐걱대/VV+어/EC+오/VX+ㄴ/ETM
것은	것/NNB+은/JX
1차적으로	1/SN+차/NNB+적/XSN+으로/JKB
각	각/MMD
부처의	부처/NNG+의/JKG
힘겨루기	힘겨루기/NNG
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.7.7.2
국세청은 그동안 금정원의 정보 공유를 숙원사업으로 꼽아왔다.

국세청은	국세청/NNG+은/JX
그동안	그동안/NNG
금정원의	금정원/NNG+의/JKG
정보	정보/NNG
공유를	공유/NNG+를/JKO
숙원사업으로	숙원/NNG+사업/NNG+으로/JKB
꼽아왔다.	꼽/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.7.7.3
국세청은 금정원 혐의 정보 가운데 불과 3% 정도만 제공받고 있다.

국세청은	국세청/NNG+은/JX
금정원	금정원/NNG
혐의	혐의/NNG
정보	정보/NNG
가운데	가운데/NNG
불과	불과/MAG
3%	3/SN+%/SW
정도만	정도/NNG+만/JX
제공받고	제공/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.7.7.4
국세청은 수상한 자금 거래를 분류하는 금정원 자료를 본다면, 연간 수조원의 세금을 더 걷을 수 있다고 말해왔다.

국세청은	국세청/NNG+은/JX
수상한	수상하/VA+ㄴ/ETM
자금	자금/NNG
거래를	거래/NNG+를/JKO
분류하는	분류/NNG+하/XSV+는/ETM
금정원	금정원/NNG
자료를	자료/NNG+를/JKO
본다면,	보/VV+ㄴ다면/EC+,/SP
연간	연간/NNG
수조원의	수조/NR+원/NNB+의/JKG
세금을	세금/NNG+을/JKO
더	더/MAG
걷을	걷/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
말해왔다.	말/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.7.7.5
반면 금융위와 검찰 등은 국세청이 과세정보를 악용할 수 있는데다 현행법상 금융비밀 보호주의가 훼손될 수 있다며 반대해 왔다.

반면	반면/NNG
금융위와	금융위/NNG+와/JC
검찰	검찰/NNG
등은	등/NNB+은/JX
국세청이	국세청/NNG+이/JKS
과세정보를	과세/NNG+정보/NNG+를/JKO
악용할	악용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데다	있/VA+는/ETM+데/NNB+다/JX
현행법상	현행법/NNG+상/XSN
금융비밀	금융/NNG+비밀/NNG
보호주의가	보호주의/NNG+가/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
있다며	있/VA+다며/EC
반대해	반대/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.7.8.1
인수위 책임론도 불거지고 있다.

인수위	인수위/NNG
책임론도	책임/NNG+론/XSN+도/JX
불거지고	불거지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.7.8.2
이미 예상된 부처간의 밥그릇 싸움을 수수방관해 불협화음만 키우고 있다는 비판이다.

이미	이미/MAG
예상된	예상/NNG+되/XSV+ㄴ/ETM
부처간의	부처/NNG+간/NNB+의/JKG
밥그릇	밥그릇/NNG
싸움을	싸움/NNG+을/JKO
수수방관해	수수방관/NNG+하/XSV+아/EC
불협화음만	불협화음/NNG+만/JX
키우고	키우/VV+고/EC
있다는	있/VX+다는/ETM
비판이다.	비판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.7.8.3
