# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.214
metadata : {}


# id : NWRW1800000032.214.1.1
‘알몸’ 잊어주세요…졸업식은 ‘축제’

‘알몸’	‘/SS+알몸/NNG+’/SS
잊어주세요…졸업식은	잊/VV+어/EC+주/VX+시/EP+어요/EF+…/SE+졸업식/NNG+은/JX
‘축제’	‘/SS+축제/NNG+’/SS


# id : NWRW1800000032.214.2.1
작년 물의 빚은 일산 학교들

작년	작년/NNG
물의	물의/NNG
빚은	빚/VV+은/ETM
일산	일산/NNP
학교들	학교/NNG+들/XSN


# id : NWRW1800000032.214.3.1
올해는 음악·미술 행사 마련

올해는	올해/NNG+는/JX
음악·미술	음악/NNG+·/SP+미술/NNG
행사	행사/NNG
마련	마련/NNG


# id : NWRW1800000032.214.4.1
지난해 2월 ‘알몸 졸업식 뒤풀이’로 물의를 빚었던 경기 고양시 일산의 한 중학교가 학생과 학부모·교사가 함께 어울리는 축제 형태로 졸업식을 준비하고 있다.

지난해	지난해/NNG
2월	2/SN+월/NNB
‘알몸	‘/SS+알몸/NNG
졸업식	졸업식/NNG
뒤풀이’로	뒤풀이/NNG+’/SS+로/JKB
물의를	물의/NNG+를/JKO
빚었던	빚/VV+었/EP+던/ETM
경기	경기/NNP
고양시	고양시/NNP
일산의	일산/NNP+의/JKG
한	한/MMN
중학교가	중학교/NNG+가/JKS
학생과	학생/NNG+과/JC
학부모·교사가	학부모/NNG+·/SP+교사/NNG+가/JKS
함께	함께/MAG
어울리는	어울리/VV+는/ETM
축제	축제/NNG
형태로	형태/NNG+로/JKB
졸업식을	졸업식/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.214.4.2
지난해 같은 졸업식 일탈행위가 재발해선 안 되겠다는 바람에서다.

지난해	지난해/NNG
같은	같/VA+은/ETM
졸업식	졸업식/NNG
일탈행위가	일탈/NNG+행위/NNG+가/JKS
재발해선	재발/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
되겠다는	되/VV+겠/EP+다는/ETM
바람에서다.	바람/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000032.214.4.3
다음달 졸업식을 앞둔 인근 다른 중학교들도 공연과 작품 전시 등으로 다채롭게 준비하며 고심하고 있다.

다음달	다음/NNG+달/NNG
졸업식을	졸업식/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
인근	인근/NNG
다른	다른/MMD
중학교들도	중학교/NNG+들/XSN+도/JX
공연과	공연/NNG+과/JC
작품	작품/NNG
전시	전시/NNG
등으로	등/NNB+으로/JKB
다채롭게	다채롭/VA+게/EC
준비하며	준비/NNG+하/XSV+며/EC
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.214.5.1
고양시 ㅇ중학교는 오는 2월11일 졸업식에서 전교생이 참여하는 음악·춤 공연, 미술작품 전시회와 함께 졸업생들이 부모의 발을 씻어주는 ‘세족식’을 한다.

고양시	고양시/NNP
ㅇ중학교는	ㅇ/SW+중학교/NNG+는/JX
오는	오/VV+는/ETM
2월11일	2/SN+월/NNB+11/SN+일/NNB
졸업식에서	졸업식/NNG+에서/JKB
전교생이	전교/NNG+생/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
음악·춤	음악/NNG+·/SP+춤/NNG
공연,	공연/NNG+,/SP
미술작품	미술/NNG+작품/NNG
전시회와	전시회/NNG+와/JKB
함께	함께/MAG
졸업생들이	졸업/NNG+생/XSN+들/XSN+이/JKS
부모의	부모/NNG+의/JKG
발을	발/NNG+을/JKO
씻어주는	씻/VV+어/EC+주/VX+는/ETM
‘세족식’을	‘/SS+세족식/NNG+’/SS+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.214.5.2
이 학교 이홍규 교장은 “학생과 교사들이 여러 차례 만나 축제 형태의 프로그램을 함께 만들었다”고 말했다.

이	이/MMD
학교	학교/NNG
이홍규	이홍규/NNP
교장은	교장/NNG+은/JX
“학생과	“/SS+학생/NNG+과/JC
교사들이	교사/NNG+들/XSN+이/JKS
여러	여러/MMN
차례	차례/NNG
만나	만나/VV+아/EC
