# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.375
metadata : {}


# id : NWRW1800000022.375.1.1
李대통령 오늘부터 '韓·아세안 회의';캄보디아선 앙코르와트 찾아

李대통령	李/SH+대통령/NNG
오늘부터	오늘/NNG+부터/JX
'韓·아세안	'/SS+韓/SH+·/SP+아세안/NNP
회의';캄보디아선	회의/NNG+'/SS+;/SW+캄보디아/NNP+서/JKB+ㄴ/JX
앙코르와트	앙코르와트/NNP
찾아	찾/VV+아/EF


# id : NWRW1800000022.375.2.1
이명박 대통령은 24~25일 열리는 '아세안(ASEAN·동남아국가연합)' 관련 회의에 잇따라 참석하기 위해 23일 저녁 태국 후아힌에 도착했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
24~25일	24/SN+~/SO+25/SN+일/NNB
열리는	열리/VV+는/ETM
'아세안(ASEAN·동남아국가연합)'	'/SS+아세안/NNP+(/SS+ASEAN/SL+·/SP+동남아국가연합/NNP+)/SS+'/SS
관련	관련/NNG
회의에	회의/NNG+에/JKB
잇따라	잇따르/VV+아/EC
참석하기	참석/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
23일	23/SN+일/NNB
저녁	저녁/NNG
태국	태국/NNP
후아힌에	후아힌/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.375.2.2
이 대통령은 '한·아세안 정상회의' '아세안+3(한·중·일) 정상회의' '동아시아 정상회의(EAS)' 등 다자외교 무대에서 올 초 천명한 '신(新)아시아 외교' 구상을 본격화하고 북핵문제 공조와 기후 변화 및 녹색 성장 협력 방안 등을 협의할 예정이다.

이	이/NNP
대통령은	대통령/NNG+은/JX
'한·아세안	'/SS+한/NNP+·/SP+아세안/NNP
정상회의'	정상/NNG+회의/NNG+'/SS
'아세안+3(한·중·일)	'/SS+아세안/NNP++/SW+3/SN+(/SS+한·중·일/NNP+)/SS
'동아시아	'/SS+동아시아/NNP
정상회의(EAS)'	정상/NNG+회의/NNG+(/SS+EAS/SL+)/SS+'/SS
등	등/NNB
다자외교	다자/NNG+외교/NNG
무대에서	무대/NNG+에서/JKB
올	올/NNG
초	초/NNB
천명한	천명/NNG+하/XSV+ㄴ/ETM
'신(新)아시아	'/SS+신/XPN+(/SS+新/SH+)/SS+아시아/NNP
외교'	외교/NNG+'/SS
구상을	구상/NNG+을/JKO
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
북핵문제	북핵/NNG+문제/NNG
공조와	공조/NNG+와/JC
기후	기후/NNG
변화	변화/NNG
및	및/MAG
녹색	녹색/NNG
성장	성장/NNG
협력	협력/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.375.2.3
이 대통령은 이번 아시아 국가들의 모임에서 내년 11월 G20(주요 20개국) 정상회의 개최국이자 의장국인 한국이 G20과 아세안 국가들 사이의 가교 역할을 하겠다는 점을 강조할 것으로 전해졌다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이번	이번/NNG
아시아	아시아/NNP
국가들의	국가/NNG+들/XSN+의/JKG
모임에서	모임/NNG+에서/JKB
내년	내년/NNG
11월	11/SN+월/NNB
G20(주요	G/SL+20/SN+(/SS+주요/NNG
20개국)	20/SN+개국/NNB+)/SS
정상회의	정상/NNG+회의/NNG
개최국이자	개최국/NNG+이/VCP+자/EC
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
한국이	한국/NNP+이/JKS
G20과	G/SL+20/SN+과/JC
아세안	아세안/NNP
국가들	국가/NNG+들/XSN
사이의	사이/NNG+의/JKG
가교	가교/NNG
역할을	역할/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
점을	점/NNG+을/JKO
강조할	강조/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.375.3.1
앞서 이 대통령과 부인 김윤옥 여사는 캄보디아 국빈 방문 이틀째인 이날 오전 훈센 총리 부부의 안내로 세계적 문화유적지인 앙코르와트를 둘러봤다.

앞서	앞서/MAG
이	이/NNP
대통령과	대통령/NNG+과/JC
부인	부인/NNG
김윤옥	김윤옥/NNP
여사는	여사/NNG+는/JX
캄보디아	캄보디아/NNP
국빈	국빈/NNG
방문	방문/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
이날	이날/NNG
오전	오전/NNG
훈센	훈센/NNP
총리	총리/NNG
부부의	부부/NNG+의/JKG
안내로	안내/NNG+로/JKB
세계적	세계/NNG+적/XSN
문화유적지인	문화/NNG+유적지/NNG+이/VCP+ㄴ/ETM
앙코르와트를	앙코르와트/NNP+를/JKO
둘러봤다.	둘러보/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.375.3.2
이 대통령은 캄보디아 정부에서 제공한 특별 전세기편으로 수도 프놈펜에서 북서쪽으로 약 300㎞ 떨어진 시엠립의 앙코르와트로 이동했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
캄보디아	캄보디아/NNP
정부에서	정부/NNG+에서/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
특별	특별/NNG
전세기편으로	전세기/NNG+편/NNB+으로/JKB
수도	수도/NNG
프놈펜에서	프놈펜/NNP+에서/JKB
북서쪽으로	북서쪽/NNG+으로/JKB
약	약/MMA
300㎞	300/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
시엠립의	시엠립/NNP+의/JKG
앙코르와트로	앙코르와트/NNP+로/JKB
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.375.3.3
훈센 총리는 이 대통령의 앙코르와트 방문이 지난해까지 5년 연속 캄보디아 관광객 숫자에서 1위를 차지한 한국인들에게 미칠 홍보 효과 등을 고려, 외교 채널을 통해 간곡히 시찰을 권유한 것으로 알려졌다.

훈센	훈센/NNP
총리는	총리/NNG+는/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
앙코르와트	앙코르와트/NNP
방문이	방문/NNG+이/JKS
지난해까지	지난해/NNG+까지/JX
5년	5/SN+년/NNB
연속	연속/NNG
캄보디아	캄보디아/NNP
관광객	관광객/NNG
숫자에서	숫자/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
한국인들에게	한국인/NNG+들/XSN+에게/JKB
미칠	미치/VV+ㄹ/ETM
홍보	홍보/NNG
효과	효과/NNG
등을	등/NNB+을/JKO
고려,	고려/NNG+,/SP
외교	외교/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
간곡히	간곡히/MAG
시찰을	시찰/NNG+을/JKO
권유한	권유/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.375.4.1
이 대통령과 훈센 총리는 오찬을 함께하면서 전날 정상회담에서 합의한 우리 정부의 시엠립 우회도로 건설사업 무상 지원 등을 주제로 환담했다.

이	이/NNP
대통령과	대통령/NNG+과/JC
훈센	훈센/NNP
총리는	총리/NNG+는/JX
오찬을	오찬/NNG+을/JKO
함께하면서	함께/MAG+하/XSV+면서/EC
전날	전날/NNG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
우리	우리/NP
정부의	정부/NNG+의/JKG
시엠립	시엠립/NNP
우회도로	우회/NNG+도로/NNG
건설사업	건설/NNG+사업/NNG
무상	무상/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
환담했다.	환담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.375.4.2
훈센 총리는 한국의 지원을 거듭 높이 평가했으며, 이 대통령은 미래 세대를 위해 인류 문화유산인 앙코르와트 보존에 노력하겠다는 뜻을 밝혔다.

훈센	훈센/NNP
총리는	총리/NNG+는/JX
한국의	한국/NNP+의/JKG
지원을	지원/NNG+을/JKO
거듭	거듭/MAG
높이	높이/MAG
평가했으며,	평가/NNG+하/XSV+았/EP+으며/EC+,/SP
이	이/NNP
대통령은	대통령/NNG+은/JX
미래	미래/NNG
세대를	세대/NNG+를/JKO
위해	위하/VV+아/EC
