# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.145
metadata : {}


# id : NWRW1800000048.145.1.1
호남고속철 서대전 경유 ‘수요냐 시간이냐’

호남고속철	호남고속철/NNP
서대전	서대전/NNP
경유	경유/NNG
‘수요냐	‘/SS+수요/NNG+이/VCP+냐/EF
시간이냐’	시간/NNG+이/VCP+냐/EF+’/SS


# id : NWRW1800000048.145.2.1
“대전의 호남선 이용객 큰 불편”

“대전의	“/SS+대전/NNP+의/JKG
호남선	호남선/NNP
이용객	이용객/NNG
큰	크/VA+ㄴ/ETM
불편”	불편/NNG+”/SS


# id : NWRW1800000048.145.3.1
철도공사 ‘전체편수 20% 경유’ 의견

철도공사	철도공사/NNP
‘전체편수	‘/SS+전체/NNG+편수/NNG
20%	20/SN+%/SW
경유’	경유/NNG+’/SS
의견	의견/NNG


# id : NWRW1800000048.145.4.1
호남쪽은 “45분 더 지체” 반발 거세

호남쪽은	호남/NNP+쪽/NNB+은/JX
“45분	“/SS+45/SN+분/NNB
더	더/MAG
지체”	지체/NNG+”/SS
반발	반발/NNG
거세	거세/VA+어/EF


# id : NWRW1800000048.145.5.1
3월 개통되는 호남고속철도의 운행 노선에 서대전역 경유 편을 일부 포함하려는 국토교통부, 한국철도공사, 대전광역시와 이를 배제하려는 광주광역시, 전남, 전북 간에 논쟁이 벌어지고 있다.

3월	3/SN+월/NNB
개통되는	개통/NNG+되/XSV+는/ETM
호남고속철도의	호남고속철도/NNP+의/JKG
운행	운행/NNG
노선에	노선/NNG+에/JKB
서대전역	서대전역/NNP
경유	경유/NNG
편을	편/NNB+을/JKO
일부	일부/NNG
포함하려는	포함/NNG+하/XSV+려는/ETM
국토교통부,	국토/NNG+교통부/NNG+,/SP
한국철도공사,	한국철도공사/NNP+,/SP
대전광역시와	대전광역시/NNP+와/JC
이를	이/NP+를/JKO
배제하려는	배제/NNG+하/XSV+려는/ETM
광주광역시,	광주광역시/NNP+,/SP
전남,	전남/NNP+,/SP
전북	전북/NNP
간에	간/NNB+에/JKB
논쟁이	논쟁/NNG+이/JKS
