# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.265
metadata : {}


# id : NWRW1800000044.265.1.1
“지자체서 아파트 예산지원때 경비원 처우 심사를”

“지자체서	“/SS+지자체/NNG+서/JKB
아파트	아파트/NNG
예산지원때	예산/NNG+지원/NNG+때/NNG
경비원	경비원/NNG
처우	처우/NNG
심사를”	심사/NNG+를/JKO+”/SS


# id : NWRW1800000044.265.2.1
[한겨레] 노동당, 서울시·25개 구청에 제안

[한겨레]	[/SS+한겨레/NNP+]/SS
노동당,	노동당/NNP+,/SP
서울시·25개	서울시/NNP+·/SP+25/SN+개/NNB
구청에	구청/NNG+에/JKB
제안	제안/NNG


# id : NWRW1800000044.265.3.1
시설유지·보수 등에 매년 수십억

시설유지·보수	시설/NNG+유지/NNG+·/SP+보수/NNG
등에	등/NNB+에/JKB
매년	매년/MAG
수십억	수십억/NR


# id : NWRW1800000044.265.4.1
“지원에 걸맞은 공적 관리 의무”

“지원에	“/SS+지원/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
공적	공/NNG+적/XSN
관리	관리/NNG
의무”	의무/NNG+”/SS


# id : NWRW1800000044.265.5.1
○○클래식아파트 놀이터 보수 1억원, □□팰리스아파트 에너지 절감 7769만원, △△아파트 도로 보수 6457만원….

○○클래식아파트	○○/SW+클래식/NNG+아파트/NNG
놀이터	놀이터/NNG
보수	보수/NNG
1억원,	1/SN+억/NR+원/NNB+,/SP
□□팰리스아파트	□□/SW+팰리스/NNP+아파트/NNG
에너지	에너지/NNG
절감	절감/NNG
7769만원,	7769/SN+만/NR+원/NNB+,/SP
△△아파트	△/SW+△/SW+아파트/NNG
도로	도로/NNG
6457만원….	6457/SN+만/NR+원/NNB+…/SE+./SF


# id : NWRW1800000044.265.6.1
서울시 각 구청들이 아파트 단지에 예산을 대주는 ‘공동주택 지원’ 사업의 일부다.

서울시	서울시/NNP
각	각/MMD
구청들이	구청/NNG+들/XSN+이/JKS
아파트	아파트/NNG
단지에	단지/NNG+에/JKB
예산을	예산/NNG+을/JKO
대주는	대/VV+어/EC+주/VX+는/ETM
‘공동주택	‘/SS+공동/NNG+주택/NNG
지원’	지원/NNG+’/SS
사업의	사업/NNG+의/JKG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.265.6.2
서울시와 구청들이 유지·보수와 공동체 활성화를 명목으로 아파트 단지에 지원하는 예산이 연간 100억원에 이르는 것으로 드러났다.

서울시와	서울시/NNP+와/JC
구청들이	구청/NNG+들/XSN+이/JKS
유지·보수와	유지/NNG+·/SP+보수/NNG+와/JC
공동체	공동체/NNG
활성화를	활성/NNG+화/XSN+를/JKO
명목으로	명목/NNG+으로/JKB
아파트	아파트/NNG
단지에	단지/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
예산이	예산/NNG+이/JKS
연간	연간/NNG
100억원에	100/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.265.6.3
내년부터 경비노동자 최저임금 100% 적용을 앞두고 감원과 임금 삭감 등이 아파트별로 추진되고 있는 가운데, 지방자치단체가 예산을 지원하는 만큼 경비노동자의 처우 개선도 유도해야 한다는 주장이 나오고 있다.

내년부터	내년/NNG+부터/JX
경비노동자	경비/NNG+노동자/NNG
최저임금	최저/NNG+임금/NNG
100%	100/SN+%/SW
적용을	적용/NNG+을/JKO
앞두고	앞두/VV+고/EC
감원과	감원/NNG+과/JC
임금	임금/NNG
