# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.66
metadata : {}


# id : NWRW1800000046.66.1.1
[스페인 가톨릭 성지를 가다] (中) 산티아고 순례길

[스페인	[/SS+스페인/NNP
가톨릭	가톨릭/NNG
성지를	성지/NNG+를/JKO
가다]	가/VV+다/EF+]/SS
(中)	(/SS+中/SH+)/SS
산티아고	산티아고/NNP
순례길	순례길/NNG


# id : NWRW1800000046.66.2.1
800㎞의 순례 끝났으니… 이제 '日常 순례길' 오릅니다

800㎞의	800/SN+㎞/SW+의/JKG
순례	순례/NNG
끝났으니…	끝나/VV+았/EP+으니/EC+…/SE
이제	이제/MAG
'日常	'/SS+日常/SH
순례길'	순례길/NNG+'/SS
오릅니다	오르/VV+ㅂ니다/EF


# id : NWRW1800000046.66.3.1
지난 9일 이른 아침, 버스 차창 밖으로 벌써 스틱을 짚고 성큼성큼 길을 걷는 사람들 모습이 보였다 사라지길 거듭한다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
이른	이르/VA+ㄴ/ETM
아침,	아침/NNG+,/SP
버스	버스/NNG
차창	차창/NNG
밖으로	밖/NNG+으로/JKB
벌써	벌써/MAG
스틱을	스틱/NNG+을/JKO
짚고	짚/VV+고/EC
성큼성큼	성큼성큼/MAG
길을	길/NNG+을/JKO
걷는	걷/VV+는/ETM
사람들	사람/NNG+들/XSN
모습이	모습/NNG+이/JKS
보였다	보이/VV+었/EP+다/EC
사라지길	사라지/VV+기/ETN+ㄹ/JKO
거듭한다.	거듭/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.66.3.2
한 달 치 살림을 꾸려넣은 터질 듯한 배낭을 진 사람, 자전거 양옆에 짐꾸러미를 매단 사람들도 보인다.

한	한/MMN
달	달/NNB
치	치/NNB
살림을	살림/NNG+을/JKO
꾸려넣은	꾸리/VV+어/EC+넣/VV+은/ETM
터질	터지/VV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
배낭을	배낭/NNG+을/JKO
진	지/VV+ㄴ/ETM
사람,	사람/NNG+,/SP
자전거	자전거/NNG
양옆에	양옆/NNG+에/JKB
짐꾸러미를	짐/NNG+꾸러미/NNG+를/JKO
매단	매달/VV+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.66.3.3
이들을 지나쳐 먼저 도착한 산티아고 데 콤포스텔라 주교좌성당 앞엔 오전 10시가 채 되지 않은 시각인데도 완주자들이 증서를 치켜들고 환호한다.

이들을	이/NP+들/XSN+을/JKO
지나쳐	지나치/VV+어/EC
먼저	먼저/MAG
도착한	도착/NNG+하/XSV+ㄴ/ETM
산티아고	산티아고/NNP
데	데/NNP
콤포스텔라	콤포스텔라/NNP
주교좌성당	주교좌성당/NNG
앞엔	앞/NNG+에/JKB+ㄴ/JX
오전	오전/NNG
10시가	10/SN+시/NNB+가/JKS
채	채/MAG
되지	되/VV+지/EC
않은	않/VX+은/ETM
시각인데도	시각/NNG+이/VCP+ㄴ데/EC+도/JX
완주자들이	완주자/NNG+들/XSN+이/JKS
증서를	증서/NNG+를/JKO
치켜들고	치켜들/VV+고/EC
환호한다.	환호/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.66.3.4
성당 안으로 들어서자 야고보 성인(스페인어로 산티아고)의 무덤을 참배하려는 행렬이 장사진이다.

성당	성당/NNG
안으로	안/NNG+으로/JKB
들어서자	들어서/VV+자/EC
야고보	야고보/NNP
성인(스페인어로	성인/NNG+(/SS+스페인어/NNP+로/JKB
산티아고)의	산티아고/NNP+)/SS+의/JKG
무덤을	무덤/NNG+을/JKO
참배하려는	참배/NNG+하/XSV+려는/ETM
행렬이	행렬/NNG+이/JKS
장사진이다.	장사진/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.66.3.5
땀에 전 티셔츠를 입은 한 남성이 무릎을 꿇고 두 손 모아 깊은 기도에 빠져 있었다.

땀에	땀/NNG+에/JKB
전	절/VV+ㄴ/ETM
티셔츠를	티셔츠/NNG+를/JKO
입은	입/VV+은/ETM
한	한/MMN
남성이	남성/NNG+이/JKS
무릎을	무릎/NNG+을/JKO
꿇고	꿇/VV+고/EC
두	두/MMN
