# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.95
metadata : {}


# id : NWRW1800000033.95.1.1
[LH 3주년]부패없는 깨끗한 기업 LH, 국민 사랑받는 기업으로 다시 태어나다

[LH	[/SS+LH/SL
3주년]부패없는	3/SN+주년/NNB+]/SS+부패/NNG+없/VA+는/ETM
깨끗한	깨끗하/VA+ㄴ/ETM
기업	기업/NNG
LH,	LH/SL+,/SP
국민	국민/NNG
사랑받는	사랑/NNG+받/XSV+는/ETM
기업으로	기업/NNG+으로/JKB
다시	다시/MAG
태어나다	태어나/VV+다/EF


# id : NWRW1800000033.95.2.1
LH직원들이 임대아파트 어린이들에게 무료급식을 하고 있다.

LH직원들이	LH/SL+직원/NNG+들/XSN+이/JKS
임대아파트	임대/NNG+아파트/NNG
어린이들에게	어린이/NNG+들/XSN+에게/JKB
무료급식을	무료/NNG+급식/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.95.3.1
부실 공기업의 대명사, ‘부실공룡’ 등으로 불렸던 한국토지주택공사(LH)가 다양한 구조개혁안을 성공적으로 수행하면서 화려하게 변신하고 있다.

부실	부실/NNG
공기업의	공기업/NNG+의/JKG
대명사,	대명사/NNG+,/SP
‘부실공룡’	‘/SS+부실/NNG+공룡/NNG+’/SS
등으로	등/NNB+으로/JKB
불렸던	불리/VV+었/EP+던/ETM
한국토지주택공사(LH)가	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+가/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
구조개혁안을	구조/NNG+개혁안/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
수행하면서	수행/NNG+하/XSV+면서/EC
화려하게	화려하/VA+게/EC
변신하고	변신/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.95.4.1
LH는 ‘2011년도 공공기관 고객만족도 조사’에서 인천국제공항공사, 한국공항공사, 한국도로공사 등 19개 공기업과 함께 우수등급을 받았다.

LH는	LH/SL+는/JX
‘2011년도	‘/SS+2011/SN+년도/NNB
공공기관	공공/NNG+기관/NNG
고객만족도	고객/NNG+만족도/NNG
조사’에서	조사/NNG+’/SS+에서/JKB
인천국제공항공사,	인천국제공항공사/NNP+,/SP
한국공항공사,	한국공항공사/NNP+,/SP
한국도로공사	한국도로공사/NNP
등	등/NNB
19개	19/SN+개/NNB
공기업과	공기업/NNG+과/JKB
함께	함께/MAG
우수등급을	우수/NNG+등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.95.4.2
이번 조사는 173개 공공기관을 대상으로 지난해 11, 12월 두 달간 현장실사를 통한 개별 면접 방식으로 이뤄졌다.

이번	이번/NNG
조사는	조사/NNG+는/JX
173개	173/SN+개/NNB
공공기관을	공공/NNG+기관/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
지난해	지난해/NNG
11,	11/SN+,/SP
12월	12/SN+월/NNB
두	두/MMN
달간	달/NNB+간/XSN
현장실사를	현장/NNG+실사/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
개별	개별/NNG
면접	면접/NNG
방식으로	방식/NNG+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.95.5.1
이번 평가로 LH는 통합 출범 이후 3년 연속 우수기관에 선정됐다.

이번	이번/NNG
평가로	평가/NNG+로/JKB
LH는	LH/SL+는/JX
통합	통합/NNG
출범	출범/NNG
이후	이후/NNG
3년	3/SN+년/NNB
연속	연속/NNG
우수기관에	우수/NNG+기관/NNG+에/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.95.5.2
노숙인쉼터와 대학생 보금자리주택 등 맞춤형 주거복지사업, 기동보수반 운영을 통해 주택 판매 후 서비스를 강화한 것이 주효했다.

노숙인쉼터와	노숙인/NNG+쉼터/NNG+와/JC
대학생	대학/NNG+생/XSN
보금자리주택	보금자리/NNG+주택/NNG
등	등/NNB
맞춤형	맞춤/NNG+형/XSN
주거복지사업,	주거/NNG+복지/NNG+사업/NNG+,/SP
기동보수반	기동/NNG+보수/NNG+반/NNG
운영을	운영/NNG+을/JKO
통해	통하/VV+아/EC
주택	주택/NNG
판매	판매/NNG
후	후/NNG
서비스를	서비스/NNG+를/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
주효했다.	주효/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.95.6.1
특히 콜센터는 고객 서비스를 크게 개선했다는 평가를 받고 있다.

특히	특히/MAG
콜센터는	콜센터/NNG+는/JX
고객	고객/NNG
서비스를	서비스/NNG+를/JKO
크게	크/VA+게/EC
개선했다는	개선/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.95.6.2
