# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.369
metadata : {}


# id : NWRW1800000046.369.1.1
알맹이 빠진 '野 혁신안'

알맹이	알맹이/NNG
빠진	빠지/VV+ㄴ/ETM
'野	'/SS+野/SH
혁신안'	혁신안/NNG+'/SS


# id : NWRW1800000046.369.2.1
최고委는 그대로 두고 사무총장 없애는 혁신案 의결… 유승희, 文대표 비판하자 이용득 "黨이 콩가루" 맞받아

최고委는	최고/NNG+委/SH+는/JX
그대로	그대로/MAG
두고	두/VV+고/EC
사무총장	사무총장/NNG
없애는	없애/VV+는/ETM
혁신案	혁신/NNG+案/SH
의결…	의결/NNG+…/SE
유승희,	유승희/NNP+,/SP
文대표	文/SH+대표/NNG
비판하자	비판/NNG+하/XSV+자/EC
이용득	이용득/NNP
"黨이	"/SS+黨/SH+이/JKS
콩가루"	콩가루/NNG+"/SS
맞받아	맞받/VV+아/EF


# id : NWRW1800000046.369.3.1
새정치민주연합은 13일 당무위원회를 열어 사무총장직 폐지를 골자로 한 혁신안을 의결했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
13일	13/SN+일/NNB
당무위원회를	당무/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
사무총장직	사무총장/NNG+직/NNG
폐지를	폐지/NNG+를/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
혁신안을	혁신안/NNG+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.369.3.2
그러나 최고위원회 폐지 등 핵심적인 부분은 다음 회의로 미뤘다.

그러나	그러나/MAJ
최고위원회	최고/NNG+위원회/NNG
폐지	폐지/NNG
등	등/NNB
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
부분은	부분/NNG+은/JX
다음	다음/NNG
회의로	회의/NNG+로/JKB
미뤘다.	미루/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.369.3.3
당내 반발을 의식해 물러선 것으로 보인다.

당내	당내/NNG
반발을	반발/NNG+을/JKO
의식해	의식/NNG+하/XSV+아/EC
물러선	물러서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
