# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.182
metadata : {}


# id : NWRW1800000037.182.1.1
[휴지통]“아이다 대표곡 왜 안불렀나”… 뮤지컬 디바 ‘감기 굴욕’

[휴지통]“아이다	[/SS+휴지통/NNG+]/SS+“/SS+아이다/NNP
대표곡	대표곡/NNG
왜	왜/MAG
안불렀나”…	안/MAG+부르/VV+었/EP+나/EF+”/SS+…/SE
뮤지컬	뮤지컬/NNG
디바	디바/NNG
‘감기	‘/SS+감기/NNG
굴욕’	굴욕/NNG+’/SS


# id : NWRW1800000037.182.2.1
차지연씨 목 아파 건너뛰어… 일부 관람객 항의로 알려져 제작사 “관객 전원 재관람”

차지연씨	차지연/NNP+씨/NNB
목	목/NNG
아파	아프/VA+아/EC
건너뛰어…	건너뛰/VV+어/EC+…/SE
일부	일부/NNG
관람객	관람객/NNG
항의로	항의/NNG+로/JKB
알려져	알려지/VV+어/EC
제작사	제작사/NNG
“관객	“/SS+관객/NNG
전원	전원/NNG
재관람”	재/XPN+관람/NNG+”/SS


# id : NWRW1800000037.182.3.1
강추위가 뮤지컬 디바에게 굴욕을 안겨줬다.

강추위가	강추위/NNG+가/JKS
뮤지컬	뮤지컬/NNG
디바에게	디바/NNG+에게/JKB
굴욕을	굴욕/NNG+을/JKO
안겨줬다.	안기/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.182.4.1
1일 오후 3시 서울 구로구 신도림동 디큐브아트센터에서 공연 중이던 뮤지컬 ‘아이다’에서 주인공 아이다 역의 배우 차지연 씨(사진)가 급성후두염 증세로 솔로곡 한 곡을 생략했다.

1일	1/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
서울	서울/NNP
구로구	구로구/NNP
신도림동	신도림동/NNP
디큐브아트센터에서	디큐브아트센터/NNP+에서/JKB
공연	공연/NNG
중이던	중/NNB+이/VCP+던/ETM
뮤지컬	뮤지컬/NNG
‘아이다’에서	‘/SS+아이다/NNP+’/SS+에서/JKB
주인공	주인공/NNG
아이다	아이다/NNP
역의	역/NNG+의/JKG
배우	배우/NNG
차지연	차지연/NNP
씨(사진)가	씨/NNB+(/SS+사진/NNG+)/SS+가/JKS
급성후두염	급성/NNG+후두염/NNG
증세로	증세/NNG+로/JKB
솔로곡	솔로/NNG+곡/NNG
한	한/MMN
곡을	곡/NNG+을/JKO
생략했다.	생략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.182.4.2
차 씨가 건너뛴 곡은 2막에서 아이다의 유일한 솔로곡 ‘이지 애즈 라이프’.

차	차/NNP
씨가	씨/NNB+가/JKS
건너뛴	건너뛰/VV+ㄴ/ETM
곡은	곡/NNG+은/JX
2막에서	2/SN+막/NNB+에서/JKB
아이다의	아이다/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
솔로곡	솔로/NNG+곡/NNG
‘이지	‘/SS+이지/NNP
애즈	애즈/NNP
라이프’.	라이프/NNP+’/SS+./SF


# id : NWRW1800000037.182.4.3
5분가량 이어지는 곡으로 풍성한 성량과 시원한 고음 처리로 아이다의 베스트 넘버로 꼽히는 노래다.

5분가량	5/SN+분/NNB+가량/XSN
이어지는	이어지/VV+는/ETM
곡으로	곡/NNG+으로/JKB
풍성한	풍성/NNG+하/XSA+ㄴ/ETM
성량과	성량/NNG+과/JC
시원한	시원하/VA+ㄴ/ETM
고음	고음/NNG
처리로	처리/NNG+로/JKB
아이다의	아이다/NNP+의/JKG
베스트	베스트/NNG
넘버로	넘버/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
노래다.	노래/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.182.5.1
공연 제작사인 신시컴퍼니 측은 “감기 기운이 있던 차 씨가 1막 마지막 곡을 진행하다가 목 상태가 급속히 악화됐다”며 “2막을 더블이나 커버 배우로 교체하면 관객의 몰입이 깨질 것을 우려해 성대 부담이 큰 솔로곡만 빼고 공연을 지속했다”고 설명했다.

공연	공연/NNG
제작사인	제작사/NNG+이/VCP+ㄴ/ETM
신시컴퍼니	신시컴퍼니/NNP
측은	측/NNB+은/JX
“감기	“/SS+감기/NNG
기운이	기운/NNG+이/JKS
있던	있/VA+던/ETM
차	차/NNP
씨가	씨/NNB+가/JKS
1막	1/SN+막/NNB
마지막	마지막/NNG
곡을	곡/NNG+을/JKO
진행하다가	진행/NNG+하/XSV+다가/EC
목	목/NNG
상태가	상태/NNG+가/JKS
급속히	급속히/MAG
악화됐다”며	악화/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“2막을	“/SS+2/SN+막/NNB+을/JKO
더블이나	더블/NNG+이나/JC
커버	커버/NNG
배우로	배우/NNG+로/JKB
교체하면	교체/NNG+하/XSV+면/EC
관객의	관객/NNG+의/JKG
몰입이	몰입/NNG+이/JKS
