# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.260
metadata : {}


# id : NWRW1800000033.260.1.1
부영 “한국의 세인트루이스로 만들겠다”

부영	부영/NNP
“한국의	“/SS+한국/NNP+의/JKG
세인트루이스로	세인트루이스/NNP+로/JKB
만들겠다”	만들/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000033.260.2.1
전북 연고 10구단 창단 선포식… “전주에 2만5000석 구장 신축”

전북	전북/NNP
연고	연고/NNG
10구단	10/SN+구단/NNG
창단	창단/NNG
선포식…	선포식/NNG+…/SE
“전주에	“/SS+전주/NNP+에/JKB
2만5000석	2/SN+만/NR+5000/SN+석/NNB
구장	구장/NNG
신축”	신축/NNG+”/SS


# id : NWRW1800000033.260.3.1
“한국의 세인트루이스를 만들겠다.”

“한국의	“/SS+한국/NNP+의/JKG
세인트루이스를	세인트루이스/NNP+를/JKO
만들겠다.”	만들/VV+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.260.4.1
부영그룹이 전북도(전주시 군산시 익산시 완주군)를 연고로 한 프로야구 10구단 창단을 공식 선언했다.

부영그룹이	부영그룹/NNP+이/JKS
전북도(전주시	전북도/NNP+(/SS+전주시/NNP
군산시	군산시/NNP
익산시	익산시/NNP
완주군)를	완주군/NNP+)/SS+를/JKO
연고로	연고/NNG+로/JKB
한	하/VV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
10구단	10/SN+구단/NNG
창단을	창단/NNG+을/JKO
공식	공식/NNG
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.260.4.2
부영과 전북도는 13일 서울 중구 소공동 롯데호텔에서 10구단 창단 선포식 및 협약식을 열었다.

부영과	부영/NNP+과/JC
전북도는	전북도/NNP+는/JX
13일	13/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
소공동	소공동/NNP
롯데호텔에서	롯데호텔/NNP+에서/JKB
10구단	10/SN+구단/NNG
창단	창단/NNG
선포식	선포식/NNG
및	및/MAG
협약식을	협약식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.260.4.3
부영그룹 이중근 회장은 “10구단 창단을 계기로 교육사업에 치중했던 사회공헌 활동을 문화스포츠 분야로 확장해 국민의 즐거운 삶에 조금이라도 기여하고 싶다”고 말했다.

부영그룹	부영그룹/NNP
이중근	이중근/NNP
회장은	회장/NNG+은/JX
“10구단	“/SS+10/SN+구단/NNG
창단을	창단/NNG+을/JKO
계기로	계기/NNG+로/JKB
교육사업에	교육/NNG+사업/NNG+에/JKB
치중했던	치중/NNG+하/XSV+았/EP+던/ETM
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
문화스포츠	문화/NNG+스포츠/NNG
분야로	분야/NNG+로/JKB
확장해	확장/NNG+하/XSV+아/EC
국민의	국민/NNG+의/JKG
즐거운	즐겁/VA+ㄴ/ETM
삶에	삶/NNG+에/JKB
조금이라도	조금/NNG+이라도/JX
기여하고	기여/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.260.4.4
민간기업 기준으로 재계 순위 19위인 부영은 건설 등 계열사 16개, 해외법인 10개를 두고 있으며 지난해 기준 자산 규모는 12조5438억 원이다.

민간기업	민간/NNG+기업/NNG
기준으로	기준/NNG+으로/JKB
재계	재계/NNG
순위	순위/NNG
19위인	19/SN+위/NNB+이/VCP+ㄴ/ETM
부영은	부영/NNP+은/JX
건설	건설/NNG
등	등/NNB
계열사	계열사/NNG
16개,	16/SN+개/NNB+,/SP
해외법인	해외/NNG+법인/NNG
10개를	10/SN+개/NNB+를/JKO
두고	두/VV+고/EC
있으며	있/VX+으며/EC
지난해	지난해/NNG
기준	기준/NNG
자산	자산/NNG
규모는	규모/NNG+는/JX
12조5438억	12/SN+조/NR+5438/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.260.5.1
김완주 전북지사는 “수도권에는 이미 4개(두산 LG 넥센 SK)의 구단이 있다. 수원에 야구팀이 생기면 5개로 늘어난다. 반면 호남권은 그대로 1개(KIA)뿐이다. 수도권에 집중되지 않고 분산되면 프로야구의 열기는 더욱 뜨거워질 것”이라며 “전주에 2만5000석 규모의 야구장을 신축하는 등 최고의 인센티브를 제공하겠다”고 말했다.

김완주	김완주/NNP
전북지사는	전북/NNP+지사/NNG+는/JX
“수도권에는	“/SS+수도/NNG+권/XSN+에/JKB+는/JX
이미	이미/MAG
4개(두산	4/SN+개/NNB+(/SS+두산/NNP
LG	LG/SL
넥센	넥센/NNP
SK)의	SK/SL+)/SS+의/JKG
구단이	구단/NNG+이/JKS
있다.	있/VA+다/EF+./SF
수원에	수원/NNP+에/JKB
야구팀이	야구팀/NNG+이/JKS
생기면	생기/VV+면/EC
5개로	5/SN+개/NNB+로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF
반면	반면/NNG
호남권은	호남/NNP+권/XSN+은/JX
그대로	그대로/MAG
1개(KIA)뿐이다.	1/SN+개/NNB+(/SS+KIA/SL+)/SS+뿐/JX+이/VCP+다/EF+./SF
수도권에	수도/NNG+권/XSN+에/JKB
집중되지	집중/NNG+되/XSV+지/EC
않고	않/VX+고/EC
분산되면	분산/NNG+되/XSV+면/EC
