# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.242
metadata : {}


# id : NWRW1800000032.242.1.1
이국철의 가방 2개…‘거짓말은 누구’ 밝혀낼까

이국철의	이국철/NNP+의/JKG
가방	가방/NNG
2개…‘거짓말은	2/SN+개/NNB+…/SE+‘/SS+거짓말/NNG+은/JX
누구’	누구/NP+’/SS
밝혀낼까	밝혀내/VV+ㄹ까/EF


# id : NWRW1800000032.242.2.1
정권실세 비리 수사 탄력

정권실세	정권/NNG+실세/NNG
비리	비리/NNG
수사	수사/NNG
탄력	탄력/NNG


# id : NWRW1800000032.242.3.1
신재민에 준 카드명세서 등 뇌물 증거자료 제출

신재민에	신재민/NNP+에/JKB
준	주/VV+ㄴ/ETM
카드명세서	카드/NNG+명세서/NNG
등	등/NNB
뇌물	뇌물/NNG
증거자료	증거/NNG+자료/NNG
제출	제출/NNG


# id : NWRW1800000032.242.4.1
박영준 “일본서 음식값 친구가…” 영수증 공개

박영준	박영준/NNP
“일본서	“/SS+일본/NNP+서/JKB
음식값	음식값/NNG
친구가…”	친구/NNG+가/JKS+…/SE+”/SS
영수증	영수증/NNG
공개	공개/NNG


# id : NWRW1800000032.242.5.1
신재민(53)·박영준(51) 전 차관 등 이명박 정권 실세 관련 각종 의혹을 수사중인 서울중앙지검 특수3부(부장 심재돈)가 3일 의혹을 제기한 이국철(49) 에스엘에스(SLS)그룹 회장을 두번째로 불러 조사했다.

신재민(53)·박영준(51)	신재민/NNP+(/SS+53/SN+)/SS+·/SP+박영준/NNP+(/SS+51/SN+)/SS
전	전/MMD
차관	차관/NNG
등	등/NNB
이명박	이명박/NNP
정권	정권/NNG
실세	실세/NNG
관련	관련/NNG
각종	각종/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특수3부(부장	특수/NNG+3/SN+부/NNG+(/SS+부장/NNG
심재돈)가	심재돈/NNP+)/SS+가/JKS
3일	3/SN+일/NNB
제기한	제기/NNG+하/XSV+ㄴ/ETM
이국철(49)	이국철/NNP+(/SS+49/SN+)/SS
에스엘에스(SLS)그룹	에스엘에스/NNP+(/SS+SLS/SL+)/SS+그룹/NNG
회장을	회장/NNG+을/JKO
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.6.1
이 회장은 이날 오전 9시50분께 관련 자료를 담은 여행용 가방 1개, 손가방 1개를 들고 변호인과 함께 검찰청에 나왔다.

이	이/NNP
회장은	회장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
9시50분께	9/SN+시/NNB+50/SN+분/NNB+께/XSN
관련	관련/NNG
자료를	자료/NNG+를/JKO
담은	담/VV+은/ETM
여행용	여행/NNG+용/XSN
가방	가방/NNG
1개,	1/SN+개/NNB+,/SP
손가방	손가방/NNG
1개를	1/SN+개/NNB+를/JKO
들고	들/VV+고/EC
변호인과	변호인/NNG+과/JKB
함께	함께/MAG
검찰청에	검찰청/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.242.6.2
